index,396_1_www.expedia.de,396_2_www.expedia.de,396_3_www.expedia.de,396_4_www.expedia.de,396_5_www.expedia.de,396_6_www.expedia.de,396_7_www.expedia.de,396_8_www.expedia.de,396_9_www.expedia.de,396_10_www.expedia.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1433.18,3345.8,1442.66,2231.6000000000004,1462.2000000000003,1461.6200000000001,1693.4000000000005,1472.68,1074.1200000000001,2976.7999999999993
3,3657.36,5189.52,3601.68,5197.12,4602.799999999998,3575.7599999999998,5570.96,3560.64,1802.36,5316.24
4,5059.74,8560.72,4888.38,6094.46,6241.6,4818.12,8429.360000000002,4987.68,3242.360000000001,6182.78
5,6157.2,15764.200000000003,5887.64,10066.400000000001,8322.8,5985.4800000000005,8210.600000000002,6359.72,16445.56,11059.199999999995
6,8364.1,18111.600000000002,8211.7,17098.2,17508.0,8342.9,17653.4,8106.6,16296.2,17718.9
7,14775.959999999994,35429.08,17585.52,37057.36,24855.399999999994,17460.64,38258.56,17745.52,26268.36,32845.48
8,17780.42,32795.24,17528.66,35077.08,32567.6,22625.220000000005,37365.32,22259.439999999984,30518.920000000002,30558.42
9,26040.64,60789.72,31476.24,59005.52,30444.2,41992.76,46797.36000000004,35970.52,28462.64,60763.52
10,24142.46,67435.16,29701.48,62654.38,31481.4,40032.98,64945.4,35950.80000000001,34003.64,66844.24
11,22837.6,71598.6,28342.199999999997,69264.8,37527.0,38572.4,69111.2,39393.8,53450.2,72488.39999999998
12,24329.12,73517.32,35957.7,73796.02,39528.200000000004,39922.82,73377.08,41610.92000000001,57666.12,73241.86
13,26788.63999999998,73906.68000000001,40122.4,74441.8,68283.4,43965.44,74747.8,58196.639999999985,60172.04,71697.48
14,30707.34,83660.40000000001,66354.58,75894.79999999999,72491.4,48602.7,72853.56,69516.84,72883.56,83112.4
15,32436.4,91101.08,70989.8,83414.08000000002,74155.8,50324.68,87081.16,68864.52,70686.68000000001,103317.68000000001
16,38796.7,98938.4,73291.5,100728.29999999996,81022.0,52649.3,95632.2,70598.4,89314.20000000003,103720.6
17,41100.88,113071.88000000005,72696.24,103311.52,83028.79999999997,52788.68,103407.76,77230.52,103826.56,102576.88
18,44106.54,145915.76,70862.38,104575.12,91463.59999999999,54341.31999999988,108290.48,76095.04000000001,103660.36,107310.59999999998
19,45522.96,179939.87999999992,77650.4,108322.68,96396.8,82411.4,123263.75999999998,74531.31999999999,103976.68,157457.39999999997
20,46297.48,281715.6,87524.83999999998,172574.40000000002,123377.79999999986,88770.68,196538.96000000014,81913.59999999998,102968.56,213206.15999999977
21,51337.799999999996,332532.2,98556.00000000003,198945.59999999992,150278.0,98633.39999999998,273297.60000000003,90125.6,126619.40000000001,297383.9999999999
22,63927.36,379605.2,102270.84,284557.32000000007,176382.4,101980.12,337038.56,108339.31999999999,190863.04,351462.7599999999
23,69770.44000000015,401269.48,102639.96,341111.04,204505.1999999997,104488.52,410790.24000000034,148093.08,282481.52,382145.6
