index,43_1_twitter.com,43_2_twitter.com,43_3_twitter.com,43_4_twitter.com,43_5_twitter.com,43_6_twitter.com,43_7_twitter.com,43_8_twitter.com,43_9_twitter.com,43_10_twitter.com
1,67.0,67.0,67.0,67.0,67.0,-442.0,-48.0,67.0,-115.0,67.0
2,-189.72,1700.24,1712.08,1694.32,1504.8200000000002,1373.14,-304.72,-205.0,-89.47999999999996,1726.88
3,1393.44,803.3599999999999,913.1199999999999,748.4799999999998,2425.08,486.7599999999999,1278.44,1366.0,1681.8400000000001,1059.68
4,3584.0799999999977,2401.38,2363.46,4607.34,7156.92,4568.68,2579.88,2686.0,1430.040000000003,2316.06
5,4577.64,4254.719999999999,4613.12,4524.079999999999,11373.08,4306.04,4462.64,4849.0,4751.92,4546.08
6,4423.9999999999945,6047.3,6741.1,6664.1,44446.99999999999,9199.399999999996,7198.2,7296.0,6704.200000000006,7396.9
7,9911.6,8375.76,8769.68,8227.400000000003,57145.92,12600.04,6427.3600000000015,6939.0,6917.08,6170.600000000001
8,9605.92,10103.98,14414.119999999999,14087.48,55302.14000000001,11746.960000000001,10016.399999999998,11281.5,9251.199999999999,12596.519999999995
9,12136.599999999999,12698.32,13848.12,13854.6,81209.28,16298.600000000002,13450.36,10723.0,14196.68,13441.32
10,48314.08,13745.200000000008,30477.54,59399.60000000001,89662.86,28295.04,48080.08,29762.0,13964.2,26036.72000000001
11,67302.99999999999,45337.6,29026.600000000002,67042.4,89530.4,68549.2,82875.4,53474.0,50480.20000000005,63187.2
12,69211.42,43716.86,38236.07999999996,65547.36,95698.44,67070.81999999999,81200.42,55703.5,85392.72,87150.81999999999
13,74976.59999999995,42406.12,56479.96,82473.12,94842.2,65471.92,85787.84,70838.0,83852.31999999999,86508.92
14,82902.02,46042.54,58811.640000000014,86305.16,170200.2799999999,83995.86,86376.68000000001,76139.0,82413.76,85126.58
15,86570.48,48276.36,61544.92000000001,90003.48,247289.83999999976,88263.24,88273.44,77837.0,84201.88,87031.11999999998
16,90846.3,50120.9,77480.60000000002,92337.7,334679.4000000001,90114.3,92448.1,79604.5,88595.20000000001,91810.20000000001
17,90860.44,52375.36,91964.12,92411.48,358003.4,92468.52,92028.44,81996.0,92578.72,92505.32
18,93092.78,82975.71999999999,94807.14,95617.54,435178.89999999997,94849.1,95169.62,95391.5,92625.64,96124.86
19,94545.88,95566.92000000001,96592.04,92634.8,508992.48000000004,98183.88,93905.88,97041.0,94530.2,96501.8
20,96775.14,97362.26000000001,95288.22,91581.9,606702.04,97461.92,96080.79999999999,97147.0,97688.12,96024.42
21,100784.2,98973.79999999999,94372.0,101933.6,625312.6,142400.1999999998,104294.8,97135.0,97260.8,98855.6
22,100871.84,97305.70000000001,100601.02000000002,110159.88,648403.7200000001,220219.16000000024,104094.16,97081.5,98603.56000000016,100903.58
23,100815.64,109055.12,108835.04000000001,109880.04,655913.76,283181.12000000017,103411.68000000001,165267.0,154067.36000000004,100383.84
24,143679.4800000002,108213.52,108520.16,109951.98,679928.42,304247.60000000003,156676.4800000002,202105.0,215838.40000000002,115517.60000000006
25,192615.71999999994,107731.68000000001,107978.48,122955.64000000001,681158.76,343123.8,216639.71999999997,266941.0,245904.12000000017,171983.7200000001
26,229755.0,110021.5,145157.0,176902.0,682349.5,391734.0,284733.5,334374.0,262403.0,237934.0
27,275239.2,165067.44000000015,199991.4800000002,244700.19999999998,712139.2,472325.95999999996,368074.7600000001,377501.0,274212.60000000003,308365.6
