index,52_1_www.linkedin.com,52_2_www.linkedin.com,52_3_www.linkedin.com,52_4_www.linkedin.com,52_5_www.linkedin.com,52_6_www.linkedin.com,52_7_www.linkedin.com,52_8_www.linkedin.com,52_9_www.linkedin.com,52_10_www.linkedin.com
1,67.0,-48.0,-48.0,-442.0,67.0,0.0,-442.0,67.0,67.0,-442.0
2,1411.639999999998,1904.6999999999996,594.9199999999995,4462.86,898.5600000000002,975.9399999999998,2242.6800000000003,915.7999999999995,1750.319999999999,2199.88
3,6552.32,4855.0000000000055,8131.36,6002.48,6937.5199999999995,8528.8,5690.239999999998,6962.200000000002,10924.4,6064.96
4,11569.399999999994,16078.5,27958.18,20415.97999999997,12301.400000000016,25967.599999999984,26765.32,16163.200000000003,13225.24,17057.760000000002
5,22640.52,47070.799999999996,50489.28,38237.36,42578.32,43028.32,40661.24,39206.6,45687.08,40356.36
6,54555.799999999996,54216.0,55174.7,53958.50000000001,52151.6,52046.8,53912.4,55514.0,51524.4,54196.6
7,62108.83999999999,58954.20000000002,69715.64,59366.4,58479.24,55418.600000000006,58585.52,58833.000000000015,60872.32,57769.600000000006
8,62829.08,67811.7,136591.6,88269.58,64219.60000000003,84682.39999999998,67004.56,65907.09999999999,80192.79999999997,61959.4
9,80900.32,85583.00000000001,267320.12000000017,185796.75999999998,184198.16,211441.87999999983,158938.16000000024,120318.80000000019,133287.43999999997,112747.63999999993
10,95100.47999999995,236224.0,402832.7600000001,314588.2,319535.36,315059.54,314187.68,259075.4,284901.88,206957.39999999997
11,227971.99999999994,319095.0,586205.0,337216.60000000003,326181.6,456233.8,379719.2000000003,326200.0,356990.19999999984,320773.8
12,364381.63999999996,442841.6000000001,593053.02,470615.32,398664.48000000004,578062.98,504675.84,460533.2000000001,574472.56,435053.76
13,538635.36,578467.6,595793.08,575632.24,566599.1200000003,579165.04,575913.64,588181.2,588196.96,489150.56
14,580940.8799999999,582154.2,602243.38,586177.28,591450.52,581477.58,582266.64,589452.1,606178.8,585081.08
15,603276.04,584263.4,604970.84,598270.24,591805.64,587335.36,581783.52,591753.7999999999,616490.48,585604.12
16,605240.6,587180.5,609025.6000000001,607014.1,594097.4,589767.1,584499.2,597737.0,627072.8,587517.8
17,607779.52,590137.2,645177.7200000001,612300.08,598253.3200000001,591531.2,587917.28,598717.8,635749.12,591680.92
