index,254_1_www.whatsapp.com,254_2_www.whatsapp.com,254_3_www.whatsapp.com,254_4_www.whatsapp.com,254_5_www.whatsapp.com,254_6_www.whatsapp.com,254_7_www.whatsapp.com,254_8_www.whatsapp.com,254_9_www.whatsapp.com,254_10_www.whatsapp.com,255_1_www.whatsapp.com,255_2_www.whatsapp.com,255_3_www.whatsapp.com,255_4_www.whatsapp.com,255_5_www.whatsapp.com,255_6_www.whatsapp.com,255_7_www.whatsapp.com,255_8_www.whatsapp.com,255_9_www.whatsapp.com,255_10_www.whatsapp.com,256_1_www.whatsapp.com,256_2_www.whatsapp.com,256_3_www.whatsapp.com,256_4_www.whatsapp.com,256_5_www.whatsapp.com,256_6_www.whatsapp.com,256_7_www.whatsapp.com,256_8_www.whatsapp.com,256_9_www.whatsapp.com,256_10_www.whatsapp.com,257_1_www.whatsapp.com,257_2_www.whatsapp.com,257_3_www.whatsapp.com,257_4_www.whatsapp.com,257_5_www.whatsapp.com,257_6_www.whatsapp.com,257_7_www.whatsapp.com,257_8_www.whatsapp.com,257_9_www.whatsapp.com,257_10_www.whatsapp.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1493.56,1531.78,1442.66,1472.68,1484.46,1458.46,1524.5,1320.800000000001,1533.6,1526.32,1428.44,1509.94,1509.94,1474.26,1544.52,1419.0800000000004,1442.66,1447.3999999999999,1504.48,1491.74,1451.4199999999996,1455.3,1483.76,1591.7,1235.8200000000004,1505.3200000000004,1502.66,1475.84,1548.4400000000005,1469.52,1330.8,1325.74,1355.76,1360.5,1338.3799999999999,1322.58,1343.1200000000001,1635.52,1350.4,1360.5
3,3739.52,4129.52,3601.68,3560.64,3622.3200000000006,3580.08,4138.0,5375.92,4127.4,4135.88,3695.8799999999997,3950.48,3950.48,3558.48,4114.68,4114.68,3601.68,3595.2,3897.519999999999,3716.080000000001,4108.32,3584.4,4101.96,3601.68,4419.999999999998,4097.72,3856.72,3556.32,4186.76,3564.96,4039.4,4110.68,4045.3199999999997,4035.0,4083.16,4117.56,4072.84,3876.2,3876.2,4035.0
4,4663.36,4570.26,5041.38,4914.68,4716.26,5077.96,4315.5,6683.619999999999,4375.2,4651.44,4987.92,4252.98,4218.98,4966.76,4126.879999999998,4294.120000000002,3299.3399999999997,5064.2,6675.439999999991,4766.94,5540.560000000009,5135.799999999999,5204.680000000001,4998.38,6727.94,4852.759999999998,4300.459999999999,4855.84,4694.919999999995,4681.5199999999995,4184.64,4094.54,5441.48,5366.5,5010.3,4187.82,5155.08,4135.08,4104.08,5247.0
5,8550.56,8440.52,6036.64,8469.72,8468.960000000001,6182.84,8286.0,10022.960000000005,8220.4,8596.880000000001,6157.84,8318.36,8284.36,8551.04,7898.679999999999,8385.48,6059.64,6935.399999999997,10250.68,8627.24,8257.52,6182.2,8310.56,5993.64,8196.679999999993,8217.92,8316.04,8469.36,8578.64,8178.08,5136.16,4841.68,4239.679999999999,4084.0,4528.12,4590.56,4457.88,4506.28,4828.360000000001,6864.0
6,7635.800000000001,11472.999999999996,8356.7,8025.6,7855.299999999997,8089.699999999999,9729.0,12590.300000000001,11479.0,10950.999999999989,8277.2,8743.000000000005,8709.000000000005,8298.699999999999,11894.800000000001,13065.599999999999,8379.7,8389.0,13033.800000000001,7772.699999999999,13492.4,8209.5,12447.6,8313.7,11506.39999999999,13527.4,9715.300000000001,8030.8,12818.4,8106.400000000001,6350.8,6274.7,8510.199999999999,8424.0,6495.599999999995,5952.9,6226.6,5947.400000000001,6115.400000000001,9284.0
7,13445.32,13292.2,12462.08,13554.52,13287.08,13570.16,13119.0,15266.239999999998,13487.0,13843.64,11876.24,13141.88,13043.96,13570.88,12964.039999999999,15146.599999999984,13614.36,13566.4,13948.480000000001,13198.76,31963.200000000044,13602.8,19182.320000000007,13549.36,12263.84,14738.399999999998,13081.84,13536.76,19430.199999999924,13281.28,8265.36,8469.44,7980.24,7949.0,8298.52,8144.48,8446.88,7937.12,8105.12,13132.0
8,30572.32000000002,34610.08,13415.0,18776.15999999999,31266.320000000003,13351.26,35094.5,21352.64,34255.4,21745.800000000003,13531.24,29898.55999999996,35011.62,20885.040000000048,34624.96,34342.72,13226.66,13328.4,16228.359999999999,30144.240000000034,33841.78,13380.3,34315.84,13450.66,21156.84,34636.880000000005,34964.1,23060.279999999988,34854.96,13846.039999999985,7620.920000000001,10563.399999999989,13597.119999999999,10998.0,13222.519999999999,8896.900000000001,12625.480000000001,7508.1999999999925,7676.1999999999925,12010.0
9,33246.96,32450.52,34800.68,33903.64,33743.64,26352.400000000005,33427.0,41752.159999999996,32465.2,34097.84,35464.12,33613.04,33202.96,34456.48,32758.24,32474.76,34934.68,35170.2,21353.36,34023.84,34833.24,34601.2,32814.04,35663.68,43430.23999999996,32717.72,34123.92,34779.32,33104.68,35287.72,13541.52,13594.16,13316.04,21494.0,13146.400000000001,13320.720000000001,13338.599999999999,13219.04,13389.04,16196.0
10,31678.920000000002,33370.72,35841.3,32265.04,32003.46,33542.880000000005,31701.0,40608.16000000001,33515.6,32614.32,33789.32,32117.960000000006,31696.960000000006,32712.219999999998,32295.680000000008,35168.31999999999,33393.14,33442.200000000004,32658.359999999982,32440.82,36020.9,33196.4,37147.03999999999,34122.14,41598.06,34424.28,32614.66,32971.52,36998.8,33356.56,13286.08,13506.78,32431.280000000002,32807.5,29736.479999999992,17574.759999999904,22947.28000000003,13021.24,13244.76,15638.5
