index,68_1_www.nytimes.com,68_2_www.nytimes.com,68_3_www.nytimes.com,68_4_www.nytimes.com,68_5_www.nytimes.com,68_6_www.nytimes.com,68_7_www.nytimes.com,68_8_www.nytimes.com,68_9_www.nytimes.com,68_10_www.nytimes.com
1,67.0,-442.0,67.0,-48.0,67.0,67.0,-48.0,67.0,67.0,0.0
2,75883.79999999996,18724.200000000015,13679.76,6570.079999999999,8079.199999999996,8491.52,7436.12,10631.08,9000.62,17417.880000000012
3,132704.6,100352.6,95672.16,101887.24,98423.72,100476.24,88647.52,101432.92,98667.56,97900.68
4,302125.1,141860.00000000006,118342.44,126827.24,146167.16,135800.35999999993,268686.27999999997,141420.16,273540.88,126663.56
5,528107.0,332771.2,165586.60000000006,141442.6,325401.3999999999,229600.2,584943.64,224301.12,503344.68,292329.4
6,1027995.0,517542.0,307324.4,191914.0,392089.8,390879.0,897251.0000000001,389042.0000000002,716069.7999999999,343679.00000000006
7,1592412.2,939035.4,545654.2,521918.76,776484.36,703819.8799999998,1193352.2,831325.7200000001,873974.7200000001,643622.6800000005
8,2065472.3999999997,1325220.4000000006,786450.2000000001,910325.2000000001,1400709.92,1059561.4,1288089.08,1181727.52,1151093.8,1144973.8000000005
9,2412063.4,1670976.8,997503.52,1199344.44,1733736.4799999997,1519463.7599999998,1640175.04,1470100.84,1588951.2,1631934.8
10,2634643.3,2022090.0,1158111.48,1456053.36,2050870.8399999999,1878227.4799999997,1969045.4400000002,1762708.04,1937066.6,1993747.4000000001
11,2659692.0,2296284.0,1392904.8,1621506.4,2382891.5999999996,2246197.0,2296032.0,1877180.8,2227081.8,2139864.8
12,2878425.8,2491693.6,1671487.6,1899813.6,2538749.76,2383930.78,2588244.28,2105416.44,2591474.58,2392937.72
13,2979466.5999999996,2639867.4,1984072.1600000001,2119516.2,2612205.64,2612207.8,2597460.24,2392358.44,2600598.84,2563431.360000001
14,2995547.4,2719366.4,2342750.8,2425425.2399999998,2710206.52,2646544.94,2634046.6799999997,2617040.2,2635811.72,2628415.9200000004
15,3016132.0,2726611.2,2592930.68,2646651.08,2727741.2,2694456.36,2646093.8,2636496.16,2695085.48,2703485.12
16,3250185.0,2747045.0,2653589.8000000003,2656154.8,2750488.4,2775706.3,2748758.6,2657032.0,2712531.7,2715457.2
17,3279072.2,2910373.4,2705771.68,2751223.3200000003,2943291.12,2983950.56,2762010.72,2758883.32,2846568.08,2717039.6
18,3292006.4,2933143.4000000004,2854016.2,2773459.16,2968606.7600000002,3001206.94,2769903.48,2966663.88,2974141.8000000003,2800773.68
19,3374727.3999999976,2985552.4,2921363.2,2785223.16,2978522.48,3105138.1999999997,2801667.48,2981332.7600000002,2995773.72,2938297.88
20,3604734.3,3019930.3000000003,2948085.1600000006,2815774.2400000007,3030986.4799999995,3172866.22,2901318.7600000002,2991471.08,3113500.44,2980816.52
21,3622505.0,3114021.0,3052209.4,3010941.6,3100685.5999999996,3201575.6,3169667.6,3089383.2000000007,3176677.4,3079123.0
22,3710361.1999999997,3338387.6,3079720.4,3107229.6,3370395.56,3226220.32,3253753.24,3176164.08,3237879.8000000003,3171079.36
23,3770925.399999999,3430157.0,3128942.8000000003,3275772.84,3547057.8,3261051.64,3281041.08,3271659.16,3278049.96,3175610.44
24,3786398.5000000005,3492577.4,3145516.16,3290675.56,3562257.3600000003,3267252.7,3292454.28,3276170.12,3281200.48,3192328.68
25,4151943.4,3627618.6,3171496.88,3296501.96,3622585.84,3298812.0799999996,3304550.2399999998,3288836.44,3291203.0799999996,3295739.12
26,4186270.0,3728342.0,3295556.0,3306018.0,3778936.0,3332141.5,3312164.0,3298084.0,3295863.5,3302257.0
27,4197412.8,4025287.6,3461624.44,3427492.12,3920907.6,3348263.84,3380713.76,3545935.48,3346153.24,3353945.88
28,4203703.9,4086137.2,3613650.08,3608543.52,4053793.52,3362529.78,3386618.96,3675697.8800000004,3404298.3600000003,3406662.24
29,4227082.4,4089039.6,3624238.2,3702379.76,4087694.96,3431972.24,3408510.4,3834933.480000001,3643782.04,3589372.12
30,4258303.999999999,4096729.1,3735872.68,3871520.720000002,4098923.04,3500791.64,3512230.9200000004,4046084.8000000003,3657688.92,3672341.12
31,4296080.0,4114401.0,3805027.6000000006,4073447.4,4102630.2,3508176.6,3686739.4,4109877.4000000004,3677848.4,3685158.4000000004
32,4303274.8,4145163.3,4070675.4800000004,4129466.56,4126269.7999999993,3509786.24,3876027.2,4115999.64,3739284.18,3735575.2
33,4313808.2,4151611.6,4134890.44,4147061.32,4179010.32,3709490.56,4149472.56,4158913.04,3789008.68,3999302.9600000014
34,4323497.9,4156199.9,4154458.64,4151045.96,4180816.04,3936032.9599999995,4161582.88,4163398.12,3877916.2799999993,4146511.28
