index,6_1_www.facebook.com,6_2_www.facebook.com,6_3_www.facebook.com,6_4_www.facebook.com,6_5_www.facebook.com,6_6_www.facebook.com,6_7_www.facebook.com,6_8_www.facebook.com,6_9_www.facebook.com,6_10_www.facebook.com
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,-442.0
2,1292.58,1157.78,1212.0799999999997,559.5,990.5199999999998,1231.04,1233.02,1147.8799999999999,982.8799999999999,784.4000000000002
3,4656.84,2293.76,4595.12,4540.0,4463.08,4422.720000000004,4513.360000000002,4586.24,4453.5199999999995,4322.599999999999
4,7065.819999999997,6742.880000000004,6837.22,7959.5,6524.32,6907.96,6901.48,6554.56,6521.08,5703.600000000003
5,10927.24,8285.32,9316.640000000003,11664.0,10568.84,8133.239999999998,9897.400000000003,10369.599999999997,12223.800000000001,10065.2
6,16106.000000000004,13667.4,13223.500000000002,15327.0,14459.4,13216.6,15602.600000000024,14850.800000000001,13377.1,15342.0
7,33818.48,13709.400000000007,28876.239999999994,37322.0,36525.16,21915.480000000007,33606.12,37227.28,37268.28,28318.999999999978
8,31285.920000000002,37209.78,35559.58,34867.5,34116.36,37108.04,31383.14,35078.159999999996,34819.34,37613.8
9,37686.76,35631.24,36128.64,40534.0,37236.6,35201.32,32702.4,38121.359999999986,35375.4,35399.8
10,40740.48,33303.64,39331.04,44941.5,41300.44,37339.240000000034,36557.1,42030.32,41114.26,41295.0
11,43794.200000000004,37261.0,40656.4,49375.0,45486.6,41986.0,40772.0,46342.799999999996,45376.4,47736.0
12,47980.12,42068.72,44923.159999999996,55708.5,48036.439999999995,46205.8,45392.62,48151.520000000004,47942.54,49853.799999999996
13,47228.16,45775.56,47065.88,63639.0,52953.759999999995,48574.08,46648.88,56605.16,50454.92,54262.999999999956
14,107456.76000000013,47750.94,52417.92,65556.0,54296.32,54134.72,49205.76,55880.44,49047.82,59266.99999999999
15,231923.2799999999,52717.680000000015,52358.08,64434.0,53716.88,53211.44,52978.399999999994,57677.96,60400.20000000013,64227.2
16,269659.0,54891.000000000015,51169.1,65349.5,97218.60000000037,55596.6,54923.4,56386.00000000001,189102.40000000008,63349.0
17,273415.0,55029.56,87388.72,67022.0,221509.2,54358.439999999995,54245.04,130195.12,276927.96,64692.6
18,395752.87999999995,54112.76,165594.88,105180.0,280706.08,97488.1200000002,53613.98,219404.3999999999,308556.39999999997,110184.39999999963
