index,82_1_www.mozilla.org,82_2_www.mozilla.org,82_3_www.mozilla.org,82_4_www.mozilla.org,82_5_www.mozilla.org,82_6_www.mozilla.org,82_7_www.mozilla.org,82_8_www.mozilla.org,82_9_www.mozilla.org,82_10_www.mozilla.org
1,-442.0,67.0,67.0,67.0,67.0,-442.0,-442.0,-48.0,-442.0,-442.0
2,1595.6,78.15999999999951,-103.12000000000063,-182.47999999999988,-136.24000000000012,1571.92,1394.5,960.2000000000005,1322.58,1592.64
3,1155.8,1415.64,1470.5200000000002,1458.12,1489.4799999999998,1219.16,715.7999999999998,1175.6000000000001,600.639999999998,1163.72
4,303.40000000000043,426.04000000000025,517.7200000000003,1189.5600000000006,2632.360000000002,1949.1599999999996,2189.9,2777.2999999999997,2699.0800000000004,2867.08
5,2292.6,4645.16,4619.88,1610.959999999997,4695.639999999999,4580.72,4358.2,4546.8,4460.28,2305.24
6,4374.0,4595.3,4560.099999999999,2431.2999999999997,4002.5999999999995,4507.6,6056.0,5040.0,6866.900000000001,4389.8
7,3772.6000000000013,7061.52,7113.360000000001,4476.36,8376.76,6950.84,5906.0000000000055,6542.2,5698.319999999999,6930.119999999996
8,9660.800000000001,6379.0199999999995,7402.6799999999985,5531.199999999995,9329.039999999999,7425.479999999999,8016.4,6197.3,11081.46,6567.679999999999
9,8964.6,9030.599999999997,9601.16,6686.52,10066.68,8462.960000000001,9746.6,11957.600000000002,13329.720000000001,6238.64
10,9085.4,13792.76,10927.3,7568.7199999999975,46074.400000000016,12951.640000000001,12813.300000000007,13244.2,13513.899999999998,11032.199999999995
11,9184.0,13185.4,12960.999999999995,8865.999999999996,84503.20000000004,13345.8,14235.0,13803.0,43447.59999999996,13273.4
12,10865.999999999998,14034.98,48138.55999999998,10689.62,148815.40000000002,13594.72,15618.1,36217.80000000003,116655.52,13390.88
13,15789.79999999995,30726.119999999995,115095.51999999999,10588.960000000001,194497.84000000003,24758.679999999997,53499.400000000016,103892.80000000008,165954.24,14964.599999999984
14,45610.19999999999,74985.91999999995,171403.04000000007,12284.76,195795.32,65314.76000000002,56061.7,153480.80000000013,182066.22,82058.95999999999
15,80433.59999999999,120502.92,196475.48,29705.79999999991,216059.32,98656.35999999997,87076.59999999996,185723.6,218612.92,132237.7599999999
16,126790.0,154044.7,197391.99999999997,67896.5999999999,222972.80000000002,124218.39999999998,125253.0,198353.5,255536.5,154010.2
17,146694.8,188001.32,216028.92,117164.36,235644.7200000001,154113.44,170353.20000000004,218420.2,256737.72,187370.76
18,179639.2,198774.74,216170.26,137794.12,254542.24,198946.36,198828.40000000002,219158.80000000002,266003.0399999998,197390.43999999994
19,196560.2,218869.52,215462.68,137293.44,259755.24,199588.2,216349.00000000003,255310.00000000003,281403.44,217717.72
20,196890.99999999997,238718.03999999998,230704.75999999998,168617.95999999993,260780.92,218628.24,253680.3,255153.4,280436.4,224400.08
21,218340.0,255857.4,260286.39999999997,207210.2,262563.6,218031.4,264456.0,263106.0,282099.6,232172.0
22,253549.0,271855.28,280526.38,223155.8,276518.32,235997.68,273328.8,279992.3,327357.8799999999,256985.56
23,253270.4,273235.72,280380.84,231551.04,348121.24000000034,235028.92,276974.4,282343.0,379051.63999999996,258331.56
24,262068.19999999995,275337.48,280284.8,256783.24,386949.76,246944.52,288582.19999999995,334353.0,389700.86,264842.44
