index,346_1_www.notebooksbilliger.de,346_2_www.notebooksbilliger.de,346_3_www.notebooksbilliger.de,346_4_www.notebooksbilliger.de,346_5_www.notebooksbilliger.de,346_6_www.notebooksbilliger.de,346_7_www.notebooksbilliger.de,346_8_www.notebooksbilliger.de,346_9_www.notebooksbilliger.de,346_10_www.notebooksbilliger.de,347_1_www.notebooksbilliger.de,347_2_www.notebooksbilliger.de,347_3_www.notebooksbilliger.de,347_4_www.notebooksbilliger.de,347_5_www.notebooksbilliger.de,347_6_www.notebooksbilliger.de,347_7_www.notebooksbilliger.de,347_8_www.notebooksbilliger.de,347_9_www.notebooksbilliger.de,347_10_www.notebooksbilliger.de,348_1_www.notebooksbilliger.de,348_2_www.notebooksbilliger.de,348_3_www.notebooksbilliger.de,348_4_www.notebooksbilliger.de,348_5_www.notebooksbilliger.de,348_6_www.notebooksbilliger.de,348_7_www.notebooksbilliger.de,348_8_www.notebooksbilliger.de,348_9_www.notebooksbilliger.de,348_10_www.notebooksbilliger.de,349_1_www.notebooksbilliger.de,349_2_www.notebooksbilliger.de,349_3_www.notebooksbilliger.de,349_4_www.notebooksbilliger.de,349_5_www.notebooksbilliger.de,349_6_www.notebooksbilliger.de,349_7_www.notebooksbilliger.de,349_8_www.notebooksbilliger.de,349_9_www.notebooksbilliger.de,349_10_www.notebooksbilliger.de
1,48.0,-442.0,611.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,1539.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,8372.539999999999,14850.76,10740.42,8951.100000000004,12196.439999999999,14979.74,13245.399999999998,6369.0,7827.399999999998,7625.0599999999995,5152.42,5342.3,4964.96,4950.5199999999995,5573.6,4818.28,3046.66,5073.72,6906.5,4852.82,4298.62,4893.320000000001,6644.24,5250.82,5191.72,5020.919999999999,4988.160000000001,4784.24,5068.94,5398.7,6666.86,5215.68,5130.42,4660.26,4665.480000000002,4192.6,5133.080000000001,4191.76,4562.360000000001,4092.4400000000005
3,46384.23999999992,63563.96,36185.59999999999,33892.88,26933.84,100053.11999999994,35223.68,19726.0,20803.72,46489.28000000002,15135.12,15230.800000000001,14894.08,13279.800000000003,8754.400000000007,12533.68,9298.200000000006,15001.44,16605.0,13349.199999999999,12613.64,15633.679999999993,16006.360000000002,15517.759999999998,15119.44,13949.080000000005,14781.320000000002,16096.240000000002,12209.400000000005,11744.000000000005,17115.76,12270.240000000002,13055.84,14204.759999999998,17189.44,16714.199999999997,14820.88,16248.12,16709.92,14176.199999999992
4,189036.28,89367.72,88704.7,59776.38,122771.76,174093.58,83610.02,63102.0,142291.83999999997,95142.81999999995,19382.52,19317.600000000002,19245.68,19253.08,19045.440000000002,20315.839999999997,18523.84,19249.04,45187.5,19209.04,19133.06,18878.12,25252.039999999994,19548.68,19448.88,22413.28,19090.64,18862.239999999998,19250.76,19460.2,45114.82,19256.04,19360.52,19127.68,44938.88,41415.49999999999,19321.64,19142.24,20229.960000000006,26085.419999999962
5,352255.92,188193.08,205937.2,143420.12000000008,276389.48,389682.2399999999,206724.24,116768.0,290110.52,199171.04000000007,46258.11999999995,45764.0,47239.799999999996,54100.24,44246.32,45766.92000000001,43005.96,49978.72,77594.0,44255.04,45290.96,45415.72,44122.200000000004,42741.52,25012.23999999999,27199.920000000002,30241.84,48446.12,43457.32,40413.00000000001,80028.64,33651.96,43720.56,27117.08,62646.159999999996,80646.6,24173.08,64348.71999999992,52501.56,47132.76
6,441040.5,327637.00000000006,292896.49999999994,339091.0,446290.6,520318.99999999977,418529.80000000005,212511.0,446769.2,438753.0,127877.4,80093.5,105350.5999999999,81272.20000000001,75142.80000000003,50067.399999999994,46731.000000000015,101818.39999999992,143181.0,53605.2,60513.500000000044,57350.499999999985,160207.4,105550.9,70455.2,74229.4,60420.399999999914,124793.59999999999,55093.799999999996,45614.5,176422.99999999997,48751.4,47785.1,51535.299999999996,88229.00000000001,101030.0,52599.3,143969.0,81697.6,74528.19999999994
7,651046.96,599519.7599999999,564735.8,547839.2800000001,655670.4799999999,665826.68,521269.2,390585.0,593718.72,586505.6,222090.51999999993,106284.8,257211.36,148139.44,94011.16,95768.19999999998,102444.0,165095.2,216057.0,68529.28,78647.28,89368.64,164489.64,146263.56,124727.68,104902.56,72789.48,203903.72,122226.08,50349.4,273434.08,114923.20000000003,59758.15999999994,58239.79999999998,141997.6,200121.79999999993,69138.64,183766.63999999996,111754.56000000004,131609.96
8,677795.78,687346.32,663355.2799999999,666411.94,683633.76,685100.18,662947.1599999997,497793.0,686203.46,665773.36,312480.66,217543.5,292024.8,243090.80000000002,146723.20000000004,188027.56,174568.2,178099.58,346391.0,146103.19999999998,139882.44,147170.59999999995,203520.4000000001,211078.61999999994,205536.44,157638.96000000005,106851.2,302761.76000000007,204675.0,105015.5,334430.0,135973.40000000002,110944.88,105161.64,206051.48,317748.5,94786.18,321779.6399999998,235670.83999999976,152608.88
9,709859.2799999999,697207.8,677234.4,692787.3200000001,701953.36,707306.6,686587.32,581672.0,774770.24,687269.76,426772.96,327581.8,417858.12,328572.32,204727.68000000002,220646.16000000003,213339.40000000002,217332.15999999995,426349.0,313313.32,225491.80000000002,212658.11999999994,295558.4,269684.92,293208.07999999996,268611.4,163922.8,406935.12000000005,290757.88,141144.00000000003,408847.36,181555.12000000002,171597.07999999993,246417.88,320135.84,418160.2,176377.51999999996,343434.24,355657.44,253232.35999999993
10,760627.12,720345.32,693992.78,709814.66,718831.12,729726.84,708844.64,675395.0,778606.42,701824.64,438623.47999999963,432836.2,426046.8,357275.28,275331.84,303844.4,323351.4,349238.6399999999,518454.0,425359.82,313141.4,397604.1,421909.36,379494.82,344126.52,407033.2,251477.19999999998,432803.64,392984.44000000006,205272.2,566035.4,265426.19999999995,267157.27999999985,390369.76,404175.2,472495.39999999985,278660.56,445276.95999999996,413701.56,364646.55999999994
11,780132.6,744467.2000000001,697782.8,727238.6,741163.0000000002,749510.8,732835.0,696063.0,824100.6,714851.2,494244.0,477906.0,512062.7999999999,440101.4000000001,386634.00000000023,391742.80000000005,452954.0,440771.8,638157.0,454315.20000000007,419723.6000000001,542272.0,516879.2,496214.4,386975.19999999984,441309.2,292870.7999999998,549666.7999999999,431110.4,253372.0,653301.6,400077.3999999999,396271.39999999997,436963.60000000003,490429.0,567295.0,356987.6,577944.9999999998,565883.7999999999,467863.7999999995
12,852793.94,833233.8,771946.44,792483.76,787841.8,827463.1,795488.3,714628.0,862381.88,731014.44,601137.24,553817.7,637486.4,593946.92,465622.60000000003,480296.88,635351.0599999999,511692.12,663943.0,523860.42,497307.82,599709.7999999999,656134.4800000001,547473.3,519409.77999999997,568730.5600000002,395945.64,649945.08,523794.24000000005,344555.50000000006,666721.12,465853.64,494702.2799999999,564583.5200000001,593330.8800000001,652370.6,429885.96,649873.96,596120.2,540610.3
