index,88_1_myspace.com,88_2_myspace.com,88_3_myspace.com,88_4_myspace.com,88_5_myspace.com,88_6_myspace.com,88_7_myspace.com,88_8_myspace.com,88_9_myspace.com,88_10_myspace.com
1,67.0,-48.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,67.0
2,25272.64,28023.02,24229.42,36439.22,13446.160000000002,29746.84,27972.12,24293.280000000002,27614.280000000002,28989.84
3,88890.52000000018,75213.79999999999,79428.48,83387.08,55238.36,146480.0800000001,59857.68,156743.7999999999,93240.39999999998,56736.04
4,297705.63999999996,286049.06,395517.04,364738.66,335035.8,410791.48,324725.58,331012.83999999997,293032.52,288918.52
5,495261.52000000025,392367.44,544095.84,534655.88,474885.24,565021.44,487672.44,485369.27999999997,556539.7599999999,462906.23999999993
6,680104.6,654573.7,688913.3,696383.9,663369.8,684380.6,685925.2,682752.7999999999,653624.9999999999,594982.2
7,771141.1599999999,691298.52,839596.2000000001,924092.6,766295.24,825662.8,704037.2800000003,766155.5599999998,765742.3199999998,692573.24
8,949459.28,783726.46,1027114.66,1048654.54,956360.72,1003267.48,960693.8599999999,962759.7999999998,945538.12,837592.88
9,1027277.9600000001,951764.44,1075989.64,1089754.8,1079235.84,1013160.6,1069749.04,998275.96,1067292.5999999999,940028.6799999996
10,1077531.76,1075729.78,1198116.8799999997,1399371.8399999999,1087096.28,1241803.5200000003,1081543.56,1070954.56,1079293.56,1072683.0399999998
11,1224872.8,1088232.4,1259224.4,1529928.6,1227378.0,1246289.4000000001,1279396.8,1263232.8,1229930.2,1168612.5999999996
12,1523936.12,1269013.2000000002,1412169.48,1662442.28,1522152.2000000002,1339576.84,1584057.18,1269541.24,1504285.3599999992,1269240.3199999998
13,1584152.76,1586575.76,1629129.72,1877036.52,1596914.72,1620198.44,1597631.88,1465757.5599999996,1592877.88,1579066.92
14,1600412.64,1595373.26,1666067.6,1939563.06,1614109.08,1655201.76,1649073.92,1620722.28,1608834.28,1619868.56
