index,354_1_www.deezer.com,354_2_www.deezer.com,354_3_www.deezer.com,354_4_www.deezer.com,354_5_www.deezer.com,354_6_www.deezer.com,354_7_www.deezer.com,354_8_www.deezer.com,354_9_www.deezer.com,354_10_www.deezer.com,355_1_www.deezer.com,355_2_www.deezer.com,355_3_www.deezer.com,355_4_www.deezer.com,355_5_www.deezer.com,355_6_www.deezer.com,355_7_www.deezer.com,355_8_www.deezer.com,355_9_www.deezer.com,355_10_www.deezer.com,356_1_www.deezer.com,356_2_www.deezer.com,356_3_www.deezer.com,356_4_www.deezer.com,356_5_www.deezer.com,356_6_www.deezer.com,356_7_www.deezer.com,356_8_www.deezer.com,356_9_www.deezer.com,356_10_www.deezer.com,357_1_www.deezer.com,357_2_www.deezer.com,357_3_www.deezer.com,357_4_www.deezer.com,357_5_www.deezer.com,357_6_www.deezer.com,357_7_www.deezer.com,357_8_www.deezer.com,357_9_www.deezer.com,357_10_www.deezer.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,256.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1392.1,1499.02,1406.32,1528.1399999999999,1456.8799999999999,1357.34,1428.44,1433.18,1528.1399999999999,1345.5,3636.3999999999996,4038.44,4081.44,3973.919999999999,3916.4000000000015,3447.7999999999997,4019.88,4004.76,3894.9,4065.96,4079.72,1529.5999999999992,3162.2000000000007,4095.2,3264.2000000000003,4096.92,2194.3999999999996,3807.8399999999997,3561.72,1197.199999999999,26209.66,25517.32,26180.319999999992,25744.68,26227.62,28735.28,25707.82,26336.36,26584.88,28420.54
3,3948.6,3604.24,2420.12,4164.76,3582.2400000000002,4041.88,3695.8799999999997,3657.36,4133.76,3780.000000000001,4543.64,4210.5599999999995,4533.44,4983.76,4934.679999999999,5276.32,4308.04,5517.959999999997,6129.2,4327.72,5219.04,5434.08,5026.88,4754.2,5062.68,6054.959999999997,5428.52,5575.280000000001,6170.56,5222.68,37687.68,39710.840000000004,56708.16,49280.51999999999,51690.04,40816.44,44418.52,34095.440000000024,36082.24,39782.64
4,5083.899999999999,4686.560000000009,4844.96,5084.12,5057.88,5111.82,4868.92,5161.74,4571.38,4131.9,8615.44,8042.08,8487.58,16255.6,8339.56,8602.300000000001,8218.619999999999,7669.240000000002,9678.599999999997,8330.72,8497.6,6207.32,8473.68,8556.1,8467.48,11539.799999999992,8421.08,8713.56,17313.1,6117.44,266140.7,256719.76,303040.08,325509.3,306672.72000000003,320725.12,348974.0,159113.88,359288.63999999996,375185.45999999996
5,6293.599999999999,7223.88,7071.48,7307.119999999995,6137.5199999999995,3883.12,6731.04,6259.2,8496.400000000001,4838.799999999999,22597.559999999994,18781.400000000005,17259.2,23865.52,17439.2,17824.72,17435.4,17825.079999999994,23431.6,17284.48,17474.92,8409.799999999996,14596.48,14421.200000000003,16601.280000000002,14160.919999999995,9558.199999999999,12479.840000000002,22213.480000000003,8380.599999999993,632445.76,565843.44,653466.32,647733.4,646481.72,635979.32,646846.52,538191.92,632107.28,640483.36
6,8183.5,7980.099999999999,7152.4,8119.7,8108.599999999999,8180.8,11250.00000000001,8466.1,9808.399999999994,6134.5,24281.600000000002,24889.599999999995,25628.7,26868.399999999998,23080.600000000002,23924.6,23557.200000000008,19593.6,23662.5,22207.399999999998,23304.400000000012,17691.6,20364.50000000002,24864.5,22403.99999999999,18163.999999999996,18053.8,23093.899999999998,24091.899999999998,17034.0,677045.2000000001,654940.0,783315.5999999999,714418.5,706207.2,672749.6,769773.8,660490.9,721344.0,766688.2999999998
7,10304.000000000011,17212.159999999996,8377.560000000005,17354.120000000003,17493.64,7673.16,12001.84,14676.04,17630.6,8163.6,30067.32,27285.16000000001,25978.239999999998,29265.28,24582.480000000003,24113.960000000003,28065.36,25684.68,30924.4,28022.36,25445.88,17630.84,23801.64,22752.399999999994,24075.279999999995,25340.200000000004,23921.96,20591.88,30453.68,21998.96,817058.92,752935.16,953552.48,939651.96,841979.6000000001,854636.8,934337.56,747730.28,918159.28,950936.04
8,17222.2,20817.719999999998,17970.12,21138.22,20903.28,17219.44,14996.320000000007,17568.2,17558.04,8015.000000000009,31185.320000000003,29151.52,30294.02,31924.84,30297.839999999997,30724.88,29301.18,30095.36,29208.699999999997,29618.64,26061.44,20908.399999999983,24399.92,25992.9,24459.16,28537.280000000002,24493.07999999999,24812.24,30630.139999999996,23105.16,941869.4,925365.24,1009080.64,985698.38,966407.04,953562.84,974970.44,939356.38,948227.36,997671.5199999999
9,20575.8,20769.16000000001,17608.0,19214.68,19061.32,17952.16,15565.08,20058.64,21445.24,17319.0,31615.04,29959.880000000016,29041.600000000013,36825.04,28546.439999999995,29521.52,28334.88,29726.76,30405.799999999992,29545.879999999997,29597.84,23939.680000000004,30859.48,29790.600000000002,28177.28,31843.760000000002,25878.28,30844.84,30480.760000000002,25781.359999999986,1009032.52,983004.7999999999,1081161.8800000001,1180983.8,1015586.84,1016589.52,1197418.0799999998,984728.76,1047529.6,1115055.24
10,19187.600000000002,25349.680000000008,20451.04,23201.36,20391.920000000002,19996.98,24979.239999999998,20598.480000000003,24370.759999999966,19129.500000000004,30626.6,35543.64000000004,32938.240000000034,46148.6,27970.32,26995.960000000006,38515.54,30309.92,41933.9,30159.76,30481.400000000016,28616.83999999999,29749.78,29956.699999999997,29752.76,35523.48,29865.56,28674.82,37092.88,29494.32,1190361.5799999998,1173123.44,1205041.8800000001,1205717.56,1093131.98,1197560.2,1203443.74,1014191.9,1074919.92,1196271.26
