index,362_1_soundcloud.com,362_2_soundcloud.com,362_3_soundcloud.com,362_4_soundcloud.com,362_5_soundcloud.com,362_6_soundcloud.com,362_7_soundcloud.com,362_8_soundcloud.com,362_9_soundcloud.com,362_10_soundcloud.com,363_1_soundcloud.com,363_2_soundcloud.com,363_3_soundcloud.com,363_4_soundcloud.com,363_5_soundcloud.com,363_6_soundcloud.com,363_7_soundcloud.com,363_8_soundcloud.com,363_9_soundcloud.com,363_10_soundcloud.com,364_1_soundcloud.com,364_2_soundcloud.com,364_3_soundcloud.com,364_4_soundcloud.com,364_5_soundcloud.com,364_6_soundcloud.com,364_7_soundcloud.com,364_8_soundcloud.com,364_9_soundcloud.com,364_10_soundcloud.com,365_1_soundcloud.com,365_2_soundcloud.com,365_3_soundcloud.com,365_4_soundcloud.com,365_5_soundcloud.com,365_6_soundcloud.com,365_7_soundcloud.com,365_8_soundcloud.com,365_9_soundcloud.com,365_10_soundcloud.com
1,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2192.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,1539.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,6644.62,6266.360000000002,4320.5599999999995,4559.72,5268.52,4497.18,5160.94,4948.14,4969.76,4440.76,4214.64,6767.8399999999965,4707.94,4806.919999999999,6552.240000000002,6332.72,4944.96,4451.34,4643.54,4584.42,4872.919999999999,5175.04,5055.88,4384.459999999999,4637.48,6067.800000000001,4442.48,6580.599999999999,5195.72,4500.76,4638.280000000001,6687.12,4440.459999999999,4222.080000000001,5278.58,6308.0,5168.84,4337.48,4762.88,4365.599999999999
3,22686.44,21683.44,23054.960000000003,21864.440000000002,17107.92,16925.56,14862.719999999992,17319.88,15528.28,16815.920000000002,16123.44,24870.36,16700.760000000002,16475.44,26389.96,24638.48,16547.88,21109.440000000002,16868.72,17089.759999999995,16988.76,17129.12,16643.64,16680.84,16811.920000000002,30583.8,25532.439999999995,29313.399999999998,7778.76,29233.48,16291.119999999999,11293.56,16737.84,15512.679999999998,17289.68,25467.8,15860.159999999993,19578.399999999998,16622.28,20290.199999999986
4,19767.66,28032.88,27842.16000000001,23585.059999999998,22323.44,18543.78,22508.24,21678.74,20579.279999999995,20808.16,24171.440000000002,26111.519999999997,25057.82,24849.76,26258.18,25624.63999999998,24358.84,23607.859999999997,24782.88,23517.68,26768.76,25852.12,26399.64,28114.12,28051.559999999998,29180.6,26696.24,32072.2,28680.96,28548.96,25037.16,30730.279999999995,24627.66,24489.68,26082.82,25211.2,25173.86,24837.44,25735.859999999997,24141.8
5,31295.48,31472.36,34192.24,36530.08,24297.08,25551.36,21700.84,27065.32,26669.28,27066.72,26767.76,37751.48,29175.68,27991.359999999997,43010.28,33268.88,28457.52,32607.56,28264.07999999999,27091.96,30280.76,36972.56,30495.32,29804.88,32208.24,37826.399999999994,38508.04,38708.4,30595.72,43561.12,27286.559999999994,28630.96,31120.559999999998,28390.120000000003,27171.88,34491.4,26736.52,28360.32,26380.24,28529.399999999998
6,39383.899999999994,38914.799999999996,42948.00000000003,37468.7,33484.4,35544.299999999996,31509.799999999992,30508.599999999988,31557.600000000002,34330.4,37555.2,56749.6,38984.9,41299.3,65628.69999999997,51729.4,36723.8,36804.799999999996,38833.9,38062.29999999995,36686.200000000004,43534.6,43496.7,41071.400000000016,40858.200000000004,50627.0,44019.6,51762.0,32182.4,48447.099999999984,33773.99999999998,37260.4,39672.1,36026.7,39305.6,46256.0,36544.4,40398.8,41152.8,40176.0
7,85665.08000000002,67888.24,49364.20000000001,66595.24,39191.68,43834.840000000004,36703.96000000001,46189.92000000001,39426.92,81621.39999999978,41488.24,118374.92,41164.719999999994,86491.24,92776.68000000005,79770.15999999999,43205.28,60603.56,47957.12,46860.759999999966,43356.24,39950.479999999996,43461.56,46492.72,43490.119999999995,82440.20000000004,71392.72000000002,83452.6,47061.08,83224.92,42764.84000000002,45458.52000000005,38207.479999999996,42099.68,44226.32,66781.00000000004,45575.12,42333.56,42229.96,45325.200000000004
8,214298.08000000002,85333.2,63293.399999999994,89776.8,39980.200000000026,63271.57999999994,57283.63999999993,212975.64,51395.63999999999,199286.16,113460.87999999992,275121.79999999976,135319.39999999997,213714.16,226764.08000000005,94823.24,42477.79999999998,107680.40000000001,144761.63999999998,68340.58,64150.80000000002,79159.68000000001,82917.7,64216.06,70585.60000000003,234508.8,83954.12,84677.0,46894.159999999996,83186.74,55840.48,68855.84,67467.36000000003,62289.22,55076.4,93680.4,48397.979999999996,72988.83999999997,66021.70000000001,70653.8
9,242642.63999999998,191491.52000000002,113313.96000000005,94970.04,49645.84,138448.84,111836.24,226365.76,108942.96,240220.04,223232.28,340466.92,243288.64,243487.28,306125.56000000006,96601.4,121285.87999999992,233746.56,242936.76,127627.87999999998,190252.16,84356.24,84260.48,94347.92,86557.40000000001,276267.0,120196.2,144537.00000000015,52867.03999999999,199273.6,98027.64,133965.16,85972.76,90768.84,201708.16000000024,94987.0,91246.08,91925.24,217127.32,91424.59999999999
10,251974.39999999997,291565.9200000001,237458.52000000008,215703.28000000003,65187.68,240336.84,226707.63999999998,252533.38,246909.32,242450.48,251462.44000000003,592940.9599999995,258850.78,245457.96,639358.64,164708.2,241736.72,256368.44,245346.42,254556.9,247891.44,82749.52,101269.35999999999,96083.52,98090.76,464534.4000000001,293358.64,287904.20000000007,92726.96,448116.2799999999,200700.95999999993,241710.28,99603.40000000002,91859.72,327892.56,183629.20000000007,92612.87999999999,92051.32,244721.44,92389.4
