index,91_1_www.theguardian.com,91_2_www.theguardian.com,91_3_www.theguardian.com,91_4_www.theguardian.com,91_5_www.theguardian.com,91_6_www.theguardian.com,91_7_www.theguardian.com,91_8_www.theguardian.com,91_9_www.theguardian.com,91_10_www.theguardian.com
1,67.0,-48.0,67.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0
2,56894.28,21699.3,69621.86,32274.34,28726.18,137919.48,74181.31999999999,46185.66,34001.24,77316.36000000004
3,152360.48,149831.84,153114.04,153513.28,149449.67999999996,170559.2,170886.63999999998,152337.32,152734.76000000004,149113.84
4,187022.39999999994,175088.06,182043.6,174101.02,170783.42,384844.84,397805.84,178636.64,177692.7600000001,180005.19999999998
5,412548.6,329303.6000000002,447136.2,386554.16,267166.36,829762.88,672284.92,489552.56,387210.6,482838.24
6,642761.0,608314.0,661338.9,636713.3999999999,707621.9,878924.6,729148.8,539163.7,578309.8000000005,649828.4
7,681369.7199999999,697310.88,682919.84,681302.84,833510.0399999999,977328.76,972398.48,688083.1599999999,875971.4400000002,718634.48
8,840293.36,745187.38,734726.44,732346.34,895154.22,1085205.64,1018116.52,891484.9599999995,908604.1600000001,744706.8200000002
9,963755.96,939499.8,979870.88,969550.48,962589.56,1278153.32,1071066.84,978581.16,962148.52,976567.04
10,1002293.12,1017210.76,989811.86,1015186.54,996364.2,1291784.4,1268775.72,1032897.58,985824.9200000002,1010530.98
11,1082287.4000000001,1040340.4,1030591.0,1069543.0,1036087.6,1344785.4,1352153.4,1048823.0,1027712.8,1095069.2
12,1160579.36,1103484.3399999999,1110821.04,1138091.5999999999,1153977.56,1443468.44,1427918.96,1182024.94,1122040.36,1173027.36
13,1209810.44,1234462.28,1263739.72,1261924.08,1235987.6400000001,1525115.44,1467764.96,1283571.799999999,1155197.64,1330102.96
14,1332819.64,1352361.66,1347323.12,1309364.46,1355318.12,1591476.64,1494428.08,1352040.98,1290249.16,1351219.88
15,1350478.68,1371473.88,1361290.4,1324765.84,1366182.96,1605207.72,1561109.04,1370186.44,1303763.08,1426133.2800000014
16,1426537.4,1447345.8,1437864.7,1332283.3,1431461.6,1676741.2,1603877.8,1436062.8,1323317.4,1429479.4
17,1465027.84,1451985.32,1492282.84,1378037.48,1502597.84,1752539.52,1745690.24,1448471.08,1430819.04,1468352.96
18,1509230.76,1496978.98,1529811.0800000003,1447600.06,1578793.82,1844769.92,1845262.08,1463921.68,1461092.84,1517140.14
19,1528060.76,1548621.6,1539305.48,1557064.2799999982,1612773.32,1890127.44,1883728.7599999998,1522123.24,1510016.24,1550894.3599999999
20,1540631.68,1587471.42,1557481.16,1615490.66,1621134.66,1901954.1199999999,1909727.76,1557822.1199999999,1547080.1199999999,1613545.74
21,1567706.5999999999,1621844.0,1588376.2,1635910.4,1641108.8,1967348.4,1989808.4000000001,1624329.5999999999,1626156.0,1656546.0
22,1630998.9599999995,1691794.58,1644788.04,1667020.96,1672007.96,1989447.2,2004905.56,1669904.18,1655869.56,1714487.74
23,1674613.64,1799062.9600000004,1734331.4,1688639.52,1692528.48,2035781.0799999998,2032040.88,1699947.44,1674725.2000000002,1729539.6800000002
24,1693145.4,1830782.28,1809250.52,1705752.06,1738938.14,2044549.92,2051761.36,1712601.8399999996,1697276.92,1836081.56
25,1703585.24,1849918.4,1824033.7600000002,1813133.36,1769499.36,2064690.52,2069817.92,1782064.32,1768263.44,1852608.28
26,1731026.9999999998,1877349.5,1839236.5,1841738.0,1843585.5,2082000.0,2162116.0,1799481.5,1812344.0,1881202.0
27,1838742.3999999994,1907208.36,1888852.36,1882280.84,1917084.24,2119097.12,2211765.08,1810130.1600000001,1859294.68,1897766.08
28,1862470.64,1929329.22,1919761.58,1898026.32,1970260.48,2178236.08,2228466.28,1863004.76,1871615.3599999999,1919751.02
29,1891602.04,1970150.92,1934557.68,1910729.52,1977356.28,2246851.4400000004,2258778.56,1880303.56,1894806.16,1980872.72
30,1917030.04,1982747.18,1949670.44,1929042.58,1994787.86,2280821.48,2280367.44,1890370.86,1938104.52,2022962.92
31,1939196.5999999999,2005721.8,1975088.6,1995611.8,2009494.0,2302900.4000000004,2293803.4,1908089.2,2004865.2,2077699.8
32,1961763.08,2039054.62,1983962.6600000001,2026315.04,2021546.34,2336324.48,2315584.48,1925103.7600000002,2016751.08,2099818.94
33,2013847.08,2072362.5599999998,2012018.52,2041945.48,2058231.72,2346501.52,2329930.56,1967586.16,2024879.04,2195570.44
34,2025872.2,2095340.86,2026679.9199999997,2057061.6199999999,2080098.3999999992,2386337.0799999996,2343586.8,2019759.04,2044688.8,2209970.86
35,2030692.9600000002,2110600.32,2040834.3599999999,2068276.68,2114789.1999999997,2397496.32,2367367.9599999995,2077875.52,2060013.3199999998,2217359.44
36,2051204.8,2131087.4,2066806.4000000001,2084294.7999999998,2153952.9,2399314.6,2438181.2,2104455.8,2090860.2,2233281.7
37,2062741.72,2158269.56,2081815.04,2119234.3600000003,2178599.36,2422029.64,2430556.44,2138352.36,2108227.52,2249656.84
38,2075846.08,2231354.0,2126855.8,2165805.8600000003,2192480.0,2449564.96,2433558.8000000003,2156499.74,2188556.84,2335653.72
