index,370_1_www.surfmusik.de,370_2_www.surfmusik.de,370_3_www.surfmusik.de,370_4_www.surfmusik.de,370_5_www.surfmusik.de,370_6_www.surfmusik.de,370_7_www.surfmusik.de,370_8_www.surfmusik.de,370_9_www.surfmusik.de,370_10_www.surfmusik.de,371_1_www.surfmusik.de,371_2_www.surfmusik.de,371_3_www.surfmusik.de,371_4_www.surfmusik.de,371_5_www.surfmusik.de,371_6_www.surfmusik.de,371_7_www.surfmusik.de,371_8_www.surfmusik.de,371_9_www.surfmusik.de,371_10_www.surfmusik.de,372_1_www.surfmusik.de,372_2_www.surfmusik.de,372_3_www.surfmusik.de,372_4_www.surfmusik.de,372_5_www.surfmusik.de,372_6_www.surfmusik.de,372_7_www.surfmusik.de,372_8_www.surfmusik.de,372_9_www.surfmusik.de,372_10_www.surfmusik.de,373_1_www.surfmusik.de,373_2_www.surfmusik.de,373_3_www.surfmusik.de,373_4_www.surfmusik.de,373_5_www.surfmusik.de,373_6_www.surfmusik.de,373_7_www.surfmusik.de,373_8_www.surfmusik.de,373_9_www.surfmusik.de,373_10_www.surfmusik.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2192.0,-442.0,-442.0,491.0,-75.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2192.0,-442.0
2,21732.34,29100.08,22834.84,22190.52,22940.72,20891.899999999998,31995.95999999999,4113.62,21588.14,21607.98,8352.639999999996,12951.679999999993,11236.76,11952.259999999998,11813.32,11904.800000000003,18783.84,10178.24,11362.9,11936.039999999999,-480.84000000000003,-488.48,-1261.16,-496.12000000000006,-526.6800000000001,-103.92,-85.22000000000001,-444.7199999999998,-354.07999999999976,-496.12000000000006,12533.52,4095.2,11745.16,10942.1,1539.06,1418.799999999999,11715.859999999999,12384.32,10999.38,11780.26
3,260945.07999999993,284271.16000000003,302243.08,185963.11999999988,320620.52,216343.79999999993,318635.8,8137.68,297012.76,324679.24,17062.28,25084.760000000002,42420.08,32551.399999999998,40028.52,165143.59999999998,164941.15999999997,48272.96,35857.4,68854.6,1507.2,1497.3999999999999,682.3199999999999,1487.6,1448.3999999999999,1725.84,-394.52000000000004,1333.64,1339.96,1487.6,25179.52,4361.400000000001,35493.72,39644.19999999996,4121.04,5096.959999999999,28843.599999999995,63438.72,25186.72,17267.64
4,331686.66,334393.74,337144.84,329750.74,391271.88,333786.7,435143.08,16949.02,327278.48,334618.46,32720.52,83326.84,127252.92000000001,176936.34,189368.7,411018.29999999993,349441.3599999999,177420.32000000004,156033.10000000006,254825.36,1467.94,1472.68,672.3999999999999,1477.42,1499.02,1608.04,1479.28,1440.6399999999999,1375.9600000000003,1477.42,60779.79999999998,10901.500000000007,114840.64000000001,134153.1,6675.68,7000.920000000001,83840.46,168971.84,125194.12000000017,77796.83999999997
5,442561.79999999993,387591.24,350565.4,394629.44,414012.5999999999,380331.6,454795.16,21200.879999999997,438345.36,405626.92,137606.6799999999,199465.19999999998,252228.56,332112.8,305787.68,642898.4,633148.2,285639.12,327209.0,419321.2,1695.8000000000006,1806.6000000000008,1421.800000000001,1917.4000000000008,3018.2000000000016,2120.7999999999997,1379.6399999999999,4093.48,4079.72,2355.800000000001,152810.84,10303.599999999999,309252.36,253999.19999999992,8296.56,10603.64,198988.31999999992,310442.12,306281.52,268140.32
6,461701.10000000003,439193.2,410360.6,417751.89999999997,464171.6,416628.0,491042.0,32046.099999999995,481263.7,421159.4,268036.79999999993,322061.99999999994,385904.6,530906.1,437897.60000000003,664211.5,669500.2,422071.6000000001,449705.5,588901.6,4024.2,4013.4,3014.6,4002.6,3959.4,4118.2,2824.499999999995,3584.4,3573.6,4002.6,316822.80000000005,16267.0,314097.6,310378.5,11256.1,10843.2,308340.3,318177.60000000003,316318.2,312542.4
7,502674.68,519176.0,427003.84,456034.48,519047.76,523545.4,528756.0,70969.28000000009,503435.84,534321.88,356639.04000000004,496575.95999999996,489726.4,646536.52,579874.12,692721.9999999999,713585.4400000001,547117.12,609751.6000000001,707810.8,3567.12,3560.64,3210.3200000000006,3554.16,3809.8400000000006,4020.8399999999997,3644.2400000000002,4110.44,4123.16,3554.16,322762.56,24006.000000000015,355641.4,322656.4,11912.119999999999,15449.72,337443.52,356202.12,343763.04,331075.32
8,511702.34,534937.02,530137.96,510501.36,535241.72,539666.3,551926.56,142329.56,508124.98,551322.24,528894.48,633307.36,569996.1999999998,771978.66,647176.88,706787.7000000001,844675.52,678112.4,650592.2,775338.96,4103.02,4110.44,4512.68,4117.86,4365.879999999999,5317.84,3991.54,5160.919999999999,5273.88,4117.86,339467.04,33624.9,363803.32,351019.1,16367.119999999999,17779.72,348432.12,428982.26,356326.52,351660.28
9,525605.68,555085.6,545365.2,526007.64,557982.36,561735.6,590828.4799999999,207891.84000000005,521535.72,628830.04,624531.4400000001,736503.32,751138.6799999999,793421.2,651350.68,783245.8,921891.28,764820.24,658244.8,791928.0800000001,5432.44,5235.839999999999,4108.04,5318.96,5027.44,4983.64,5345.56,4507.48,7111.360000000002,5444.96,363431.6,65274.6,434976.5200000001,388605.99999999994,17559.760000000002,21395.24,358302.2,482603.36,426454.28,362436.84
10,544075.64,612736.5,621159.08,544902.5799999998,603654.2,632416.2999999997,704553.5599999999,302059.7,534092.5800000001,682623.98,764434.3999999999,783577.12,781852.6799999999,807408.06,673710.84,915560.3,979584.88,781219.84,686994.0,824831.64,4964.44,4742.679999999999,3420.9199999999996,4811.919999999999,4490.619999999999,6910.28,4630.380000000001,6695.72,6976.32,4937.919999999999,431418.0800000001,109553.20000000004,486097.8800000002,437493.3,33217.58,24338.48,429433.94,527863.62,475351.33999999997,432990.98
