index,97_1_edition.cnn.com,97_2_edition.cnn.com,97_3_edition.cnn.com,97_4_edition.cnn.com,97_5_edition.cnn.com,97_6_edition.cnn.com,97_7_edition.cnn.com,97_8_edition.cnn.com,97_9_edition.cnn.com,97_10_edition.cnn.com
1,-48.0,-442.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0
2,1586.1,525.84,1575.04,878.82,913.1199999999999,1190.88,1265.9599999999998,1316.34,1568.72,844.5200000000002
3,4265.800000000001,4478.12,2336.08,4611.32,4593.12,3878.879999999999,4758.76,4670.28,3110.759999999999,4629.5199999999995
4,8164.200000000006,5920.160000000003,6412.800000000001,9248.600000000002,8563.68,6728.080000000002,8363.74,8811.3,6226.719999999999,10169.719999999994
5,9473.000000000002,18459.36,11946.64,14299.44,18453.4,13449.6,22551.440000000024,28410.96,8421.52,20196.6
6,22596.0,40244.6,31216.999999999996,26769.4,40188.4,35622.4,40349.5,34986.1,15409.4,30009.4
7,36180.0,43627.24,33685.92,26972.24,43723.28,34373.6,44104.28,38193.24,36127.92,42897.2
8,39719.7,123624.40000000001,35741.11999999999,33680.020000000004,87747.36000000007,38175.52,47800.58000000001,44696.98,36083.15999999998,69900.35999999999
9,111034.8,215699.68000000002,73080.68,39941.88,197299.6,125285.03999999998,66211.92,108928.92,38384.76,136521.68
10,181409.20000000007,295165.44,146200.2,44049.28,285646.32,204028.72000000003,105631.6,237421.8,115890.44000000002,173178.48
11,253205.0,303725.8,211356.2,110051.2,298985.6,261608.0,134695.0,296783.6,177499.4,202032.8
12,334944.60000000003,405834.5599999998,267440.52,141246.19999999998,384511.8,298370.24,181250.40000000002,358478.6199999999,258137.72,239526.27999999997
13,400328.80000000016,426056.08,274675.64,193114.40000000002,450833.88000000024,366959.4,242631.80000000002,419484.4,282744.63999999996,299757.75999999995
14,449291.0,440207.44000000006,287924.08,272130.6,525432.1600000001,401308.68,340242.16000000015,430697.86000000004,298808.24000000005,382793.88
15,479097.0,506316.1600000001,297270.8,403671.27999999985,538473.64,462488.7199999999,414173.92,471842.24,331819.16,397188.8
16,523412.0,539418.6,302166.2,426459.4000000001,548019.2000000001,525310.0,442601.0,516825.0,374562.3999999999,428316.6
17,536456.8,566397.92,320780.75999999995,512891.24,600366.3200000001,532044.48,535820.52,580187.16,421603.6,443816.16
18,542277.3,590877.68,385731.27999999985,618441.76,634345.08,537073.6,618892.68,591393.24,453515.36000000004,463950.4
19,544620.0,611211.32,389601.72,644703.96,637838.64,585085.68,636422.32,613320.32,528288.8,476736.67999999993
20,563498.6,612955.6799999999,406673.8,647037.8,639984.7999999999,586173.72,639301.22,636387.38,534172.24,503000.88
21,573056.0,630985.6,433152.5999999999,712354.9999999999,668916.0,592581.0,706068.6,639365.8,578329.0,523446.79999999993
22,600999.0,644129.92,477890.2,757976.7199999997,723677.2000000001,604951.1999999998,758996.08,668005.26,596104.08,614953.2
23,670081.6000000001,649407.24,524071.4,843607.3599999998,757098.1199999998,628467.48,807006.24,700306.4,605921.44,711985.0399999997
24,741254.3999999999,663733.8400000001,586122.6799999999,913701.64,780019.96,670505.68,897252.36,744545.9,607358.08,801917.7999999999
25,821800.2,698837.76,615796.12,979109.3600000001,848001.5200000005,683621.3599999999,994015.96,785504.7600000002,611377.88,875309.96
26,867997.0,737500.0,620185.0,1040253.0,915068.0,716044.0,1027554.0,830057.0,613774.0,919385.0
27,944372.4000000006,798822.9600000004,622556.24,1104025.0399999998,1005365.2000000001,784879.0399999996,1113445.3200000005,852618.2000000001,658803.8,977664.2000000001
28,1057229.0,874551.48,641487.28,1161165.2399999998,1063976.4,857308.24,1187804.8,882660.02,666770.0,1013231.3999999999
29,1095685.1999999997,939348.8800000002,690960.1599999999,1241936.7999999998,1133056.6400000001,888498.3999999999,1222531.7200000002,896455.7200000001,682206.7199999999,1073508.44
30,1196183.3000000003,999273.9999999998,761208.5600000002,1308633.8,1207657.52,964257.2,1263706.6,940854.24,764048.96,1176923.64
31,1366792.0,1111070.8,777713.8,1371276.4000000001,1281679.2000000002,1040721.6,1316306.0,982685.0,828294.5999999997,1285052.2
32,1481012.6000000003,1202271.7599999998,822412.96,1439102.84,1374329.12,1086006.8,1383062.76,1024627.2799999999,879152.08,1363866.2799999996
33,1592540.0,1243196.4,925792.9199999999,1499578.5599999998,1466190.16,1159335.04,1429211.72,1090507.16,951414.1599999999,1447449.16
34,1716727.0,1288849.5200000003,1047207.7999999999,1550806.44,1515220.0000000005,1235880.4,1499998.1600000001,1141269.9200000002,1011984.64,1553631.56
35,1744716.0,1345249.92,1086889.0399999996,1620927.6799999997,1597051.2,1314771.36,1555493.7200000002,1219197.16,1089698.72,1698960.36
36,1796878.0,1410104.0,1133730.0,1658433.0,1654379.6,1382596.3999999997,1641607.6,1325695.6000000003,1150236.0,1759789.0
37,1839156.0,1450395.68,1169630.4000000001,1717584.48,1712531.2,1454991.4400000002,1702257.4,1433782.5199999998,1220820.8800000004,1892190.68
38,1887663.8000000003,1523063.2000000002,1213658.4,1770649.16,1762284.4,1528636.96,1761170.2400000002,1529436.2800000003,1258922.7999999996,1948180.92
39,1943683.9999999998,1586152.4799999997,1260375.28,1817682.32,1829876.96,1588015.5200000003,1840154.04,1591699.4799999997,1314128.8,2048949.0799999991
