index,99_1_www.paypal.com,99_2_www.paypal.com,99_3_www.paypal.com,99_4_www.paypal.com,99_5_www.paypal.com,99_6_www.paypal.com,99_7_www.paypal.com,99_8_www.paypal.com,99_9_www.paypal.com,99_10_www.paypal.com
1,67.0,0.0,67.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0
2,1473.92,1732.3,563.48,1808.6600000000003,554.36,518.24,426.90000000000003,1548.32,1797.48,148.68000000000004
3,2517.360000000002,1635.319999999999,2093.16,4656.320000000001,1957.9599999999996,2187.3999999999996,1876.8000000000015,4698.96,472.2799999999997,1450.5199999999998
4,4527.76,4669.62,5407.56,9053.58,3710.720000000004,947.5599999999994,1269.3000000000002,7842.799999999998,4603.26,4977.360000000002
5,6647.32,6852.64,4706.28,24113.52,5743.200000000004,5033.24,5083.0,19752.519999999997,6762.32,7440.76
6,10998.200000000008,13044.999999999987,6343.6,30128.1,8985.3,12812.4,4838.0,26365.6,14204.000000000025,9158.000000000002
7,22312.88,21936.24,19718.88,35008.04,20902.879999999997,14607.440000000008,18665.400000000012,30729.56,15644.16,17429.92
8,22574.36,22102.960000000003,22834.96,35777.55999999999,23355.52,14733.44,20794.8,32824.04,17060.46,22787.239999999998
9,29100.12000000001,40811.56,22922.8,45087.63999999995,23094.40000000001,23044.239999999998,23470.399999999998,42493.91999999999,23976.399999999998,27296.92
10,37431.759999999995,38870.119999999995,26856.760000000002,58942.92,25942.019999999997,24319.20000000001,24467.200000000033,58668.12,28210.76,25313.84
11,38461.6,41011.599999999984,27131.2,70457.99999999999,27384.400000000012,25876.8,25933.0,80693.40000000011,25950.2,28650.200000000008
12,42015.28,45242.36,33512.88,98067.49999999999,33229.04,26464.640000000014,28679.400000000012,128923.75999999985,31545.78,32842.08
13,43953.04,49517.48,33302.96,142100.2,39157.24000000002,30248.679999999997,33013.200000000004,192349.16,33889.04,42736.44
14,49040.84000000002,49768.02,46279.159999999996,234208.68,49438.32,32532.28,36196.5,269814.56000000006,37057.36,48407.0
15,50410.88,61946.28,49062.28,276070.39999999997,50993.20000000002,46780.40000000004,44895.4,285952.44,48170.99999999999,55160.0
16,51935.8,60958.4,48701.59999999999,283917.8,74174.00000000029,46029.99999999999,50819.0,290036.0,51228.700000000004,66435.40000000004
17,51009.479999999996,62642.2,83695.71999999999,293423.92,107974.20000000013,59130.80000000001,50273.4,317624.64,56925.68,89238.72000000007
18,65637.87999999999,65348.8,111313.92000000003,313331.12,144719.36,82097.2,61234.700000000084,370613.2,58583.4,150274.8
19,77144.28,125878.08000000012,144258.92,338709.9199999998,166117.28000000006,98037.92000000003,81356.00000000003,411728.8,93383.36,188335.16
20,76458.12,162914.32,156337.88,425772.9599999999,193736.72000000015,137567.20000000004,91326.5999999999,439225.92,93788.22,249664.32000000004
21,78220.59999999999,171182.8,186112.99999999983,459025.60000000003,240299.00000000003,152034.00000000003,145119.0,478114.80000000005,116247.80000000002,278326.2
22,77354.76,234318.2,246965.47999999995,482622.5999999999,279542.94,189589.0,148959.0,501837.91999999987,155755.6,278805.96
23,86477.96,277633.2,280599.92,555149.3599999999,278339.44,228038.60000000003,162791.40000000002,586765.28,176604.40000000002,286859.44000000006
24,108833.64000000007,284424.48,278985.28,626433.98,288703.58,277622.48,208873.2,664780.9999999999,200633.44000000003,307540.88
25,176698.60000000015,286529.76,291437.63999999996,692857.48,306769.08,276039.48,252662.40000000005,676461.52,228537.12000000017,343219.68000000017
26,243253.0,287480.0,314806.0,720869.0,338282.0,280556.0,284645.0,690649.0,282264.0,416975.0
