index,9_1_www.heise.de,9_2_www.heise.de,9_3_www.heise.de,9_4_www.heise.de,9_5_www.heise.de,9_6_www.heise.de,9_7_www.heise.de,9_8_www.heise.de,9_9_www.heise.de,9_10_www.heise.de
1,-442.0,-442.0,67.0,67.0,67.0,67.0,67.0,-48.0,67.0,-48.0
2,28533.480000000058,41895.600000000006,4953.099999999999,4961.72,4909.2,76269.64,9325.039999999997,71026.02,8708.36,49024.59999999999
3,75077.76,72775.4,52715.4,77394.92,76001.2,97054.96,74135.84,117244.36,75624.68,88488.28
4,86411.96,127401.24000000003,95734.99999999997,75803.39999999998,78539.20000000006,188379.56,108305.39999999998,180228.62,124715.24000000003,119338.26
5,103683.32,170063.36,116981.8,143757.08,95100.6,401665.92,188175.15999999997,394499.72000000003,181153.08,226985.5199999998
6,333632.6000000004,406486.9,172355.5,183956.8,114598.0,426376.6,306986.19999999984,447619.7,201807.4,421018.9
7,410054.32,451557.95999999996,187848.6,199699.28,154674.2,482770.32,435396.24,464325.96,408009.48,453496.6
8,471660.86,483563.62,248060.2,418662.08,190432.39999999997,592748.36,523119.82,471707.02,440777.76,573636.72
9,537406.9600000004,493321.80000000005,403536.2,438197.24,402751.6,663405.52,549983.6,623305.5199999999,474982.64,691670.08
10,588091.24,601894.22,446848.2999999997,479585.60000000003,423892.39999999997,762808.6799999999,585048.54,797870.8,506536.44,782830.1199999999
11,657730.0000000006,749326.2,494012.0,498556.6,446179.0,841520.8,784800.4,1038262.2000000001,565385.8,942767.7999999992
12,778879.62,857304.22,527568.8,561571.8399999996,461471.0,944222.9599999996,859489.8,1051697.94,707948.2000000001,1048970.28
13,829702.3600000001,956569.3600000009,554926.8,624043.8399999997,469608.60000000003,987150.92,1038970.5599999998,1115343.92,757367.9600000001,1059153.6
14,1033639.34,1063175.04,557831.9,649250.44,481644.4000000001,1011020.52,1049737.38,1186270.6,825899.36,1184867.34
15,1050051.96,1162804.24,642691.6,738634.3599999999,509418.0,1086883.28,1124526.84,1260371.24,844327.28,1213169.28
16,1061141.6,1197277.0,692826.0,853140.2,604211.0,1100089.6,1190864.6,1277614.4,870782.8000000005,1278223.2
17,1120315.68,1271566.08,753933.3999999999,991422.1199999996,712800.2,1280125.28,1211015.16,1302894.76,1058585.12,1290272.48
18,1236725.3800000001,1281410.12,783498.9999999999,1092935.76,769608.6000000001,1318788.8800000001,1270861.86,1326717.72,1152428.36,1353962.32
19,1264227.96,1295173.8,922570.0,1104005.56,786806.9999999997,1319947.64,1280280.76,1385555.2,1217294.72,1373624.24
20,1273059.14,1352989.78,1012899.0,1105205.32,842754.2000000001,1337139.1600000001,1296075.94,1392587.44,1232334.72,1374303.86
21,1288690.4,1371264.2,1037559.0,1170043.6,920044.0,1352255.6,1353353.8,1402477.8,1246311.8,1407109.4
22,1339727.4000000001,1371558.02,1043808.2999999999,1233344.92,1094722.8,1371859.3999999997,1380745.46,1412357.32,1255009.68,1418137.82
23,1360549.44,1382707.64,1120118.2,1245326.12,1098955.4,1394890.08,1384537.72,1432014.8,1315226.76,1431760.92
24,1516958.38,1397681.1400000001,1153047.8,1257776.84,1103004.4,1487636.44,1398373.1600000001,1447940.08,1351573.84,1560768.0199999996
25,1623293.4,1420222.48,1159337.6,1311976.48,1162291.6,1591557.48,1414089.56,1585735.32,1480639.4,1578525.24
26,1741847.5,1427691.0,1167874.0,1329142.0,1167904.0,1619666.0,1546468.5,1594958.0,1522262.0,1591692.0
27,1746393.08,1444971.08,1196197.4,1378814.04,1209454.8000000003,1632540.08,1555272.92,1651230.5999999999,1528621.2,1609148.04
28,1754679.96,1550288.54,1218742.0,1396657.56,1225782.2,1695382.1999999995,1565257.12,1687014.52,1673486.4,1686087.34
29,1772520.24,1610672.4800000014,1223330.8,1536900.56,1234651.6,1858916.08,1598727.1199999999,1691822.32,1693621.64,1691557.56
30,1778085.08,1629135.98,1229620.3,1582372.1599999978,1242180.2,1903729.7599999995,1619388.76,1888786.4199999995,1700221.56,1707957.08
31,1788523.6,1638177.2,1279922.0,1684448.2,1248307.0,1927166.8,1650081.599999999,1918780.5999999999,1704656.2,1713706.8
32,1803388.54,1934592.62,1300088.4,1691858.1199999999,1255710.2,1944786.96,1854943.52,1931176.5799999998,1717126.92,1921382.7599999993
33,1811402.24,1938489.56,1391020.0,1708816.04,1268488.2,1992605.16,1875097.12,2044851.44,1721437.5600000003,1954663.7599999998
34,1828556.16,1949259.94,1435525.8,1709581.76,1292263.4000000008,2173033.84,1887247.6,2261213.1999999997,1749495.96,1965163.1
35,1838164.2000000002,2004564.16,1492633.8,1720010.48,1387005.0,2702011.5999999996,1901734.1600000001,2630337.0399999986,1799060.6,1977207.6
36,1848692.2,2036271.0,1600686.5,1729226.8,1460573.0,2858631.4,1911577.0000000002,2950097.0,1830682.9999999998,2042270.8
37,1942649.96,2057658.96,1786298.2,1738115.68,1469403.8,3048280.88,1973084.639999999,3075910.04,1841079.72,2142589.84
38,2082597.36,2065013.2000000004,1798474.0999999999,1748575.96,1501294.4,3331742.3200000003,2283010.6799999997,3283297.16,1970551.96,2521906.5599999963
39,2104702.1600000006,2137966.04,1802874.4,1789508.56,1553561.6,3537351.64,2622472.399999999,3314113.52,1976633.76,2855990.76
40,2121356.72,2226129.3600000003,1815481.6,1801318.8800000001,1721778.8,3810712.32,2998971.1999999997,3692460.8,1983978.68,3069559.08
41,2131363.8,2407887.4000000004,1821659.0,1836477.2,1809338.0,3941253.9999999995,3223307.8,3969655.0,1989069.0,3218445.6
42,2143958.62,2760414.4799999986,1827109.1,1845593.08,1813546.8,3987326.72,3542607.84,4213122.26,2001458.92,3304959.02
43,2160296.76,2945487.96,1828379.8,1852323.76,1819569.2,4134728.7999999993,3849003.12,4293990.5200000005,2013203.2000000002,3602079.0799999996
44,2170625.7600000002,3181090.8000000003,1837359.3,1896956.24,1823890.5999999999,4386092.199999999,4140816.7200000007,4550110.599999999,2058344.84,3928263.999999999
45,2227723.68,3467863.1200000006,1844201.6,1924134.8799999997,1827214.0,4566060.6,4343031.159999995,4697180.4,2059967.08,4253665.92
46,2262963.1,3732121.599999999,1882912.0,2009476.2,1836714.0,4854619.4,4508283.799999995,4705790.199999999,2064644.5999999999,4379987.199999998
47,2265571.68,4072385.6,1891086.8,2030146.9199999997,1841967.8,5026073.08,4854018.08,4975636.56,2100826.92,4672900.6
48,2272254.88,4439728.2,1894398.3,2047255.16,1862506.6,5037624.44,4863247.14,5033852.9799999995,2186645.16,4867828.74
49,2274038.04,4785186.120000001,1899309.6,2069574.68,1865746.4,5063762.36,4872276.92,5068313.72,2187626.48,5023371.72
50,2277878.62,4922915.920000001,1898391.4,2179803.6799999997,1871277.0,5085202.52,4885834.52,5080379.14,2187392.12,5051286.2
