index,101_1_www.paypal.com,101_2_www.paypal.com,101_3_www.paypal.com,101_4_www.paypal.com,101_5_www.paypal.com,101_6_www.paypal.com,101_7_www.paypal.com,101_8_www.paypal.com,101_9_www.paypal.com,101_10_www.paypal.com
1,-48.0,67.0,-442.0,-442.0,-442.0,-48.0,67.0,-442.0,-442.0,-442.0
2,688.2800000000002,-495.71999999999997,1600.04,1580.8,1603.0,1390.52,350.0799999999998,1616.32,1585.24,1541.5
3,1151.84,1587.68,1143.92,1195.3999999999999,1136.0,2436.7599999999998,1333.3200000000002,1259.4799999999998,1183.52,1158.6000000000004
4,1903.8400000000045,712.1199999999999,372.1599999999996,1133.399999999997,418.0,4515.24,659.2400000000013,605.0400000000001,725.5200000000015,2470.8
5,4584.32,2365.36,2275.64,4544.8,2263.0,8358.079999999998,3635.319999999999,4619.2,2338.84,4578.400000000001
6,4062.9000000000005,4477.2,4354.3,4457.0,4338.5,12494.400000000012,4653.9,4393.0,4433.3,4278.5
7,6556.08,6967.6799999999985,6323.320000000002,6037.8,6079.0,17999.760000000006,6861.04,4052.119999999999,5932.839999999999,5398.600000000001
8,6337.2000000000035,7064.919999999999,6539.88,5711.599999999999,6555.0,22670.16,7512.559999999992,6825.959999999999,9506.24,11491.3
9,14345.600000000002,8419.88,8155.48,8261.6,8509.0,29766.72000000002,8744.88,6425.520000000001,9776.32,12963.199999999999
10,22291.72,10856.800000000001,13597.399999999998,8927.999999999993,12015.0,33880.44,9822.619999999999,7073.360000000002,18569.62,19586.6
11,22828.2,20108.8,15836.4,9818.0,16200.0,32397.2,15828.199999999999,13223.000000000004,20189.6,20706.0
12,22383.12,21840.24,15604.539999999999,19751.39999999999,15898.5,35717.68,17320.22,14950.359999999999,20629.42,22786.6
13,23369.000000000007,22498.04,22490.52,21969.800000000003,22813.0,41913.24,23081.640000000003,16594.36,22818.24,22334.8
14,46043.72000000006,22066.4,22156.7,23688.6,22505.0,43992.76,23917.56,22012.680000000004,22609.12,22615.499999999996
15,49351.88,33055.91999999999,22023.44,27097.8,22379.0,48344.76000000003,23386.4,22505.96,22464.4,39344.199999999975
16,48190.9,46224.799999999996,36317.79999999998,27543.0,22826.0,61555.00000000008,27190.8,22009.999999999996,31693.699999999997,43215.5
17,50122.04,48187.52,49388.880000000005,30846.2,23806.0,66559.08,29207.239999999998,25059.200000000026,35624.28000000002,41869.200000000004
18,51193.86,48562.240000000005,49309.259999999995,30430.4,30686.5,74638.4,37177.22,36962.799999999996,48056.44,48098.299999999996
19,55153.76,47666.96,48155.04,31206.99999999998,29767.0,95246.8,35734.88,41906.24,49764.32,47199.2
20,55113.58,47397.83999999999,47432.68,58286.8,29049.0,110159.96000000008,34725.96,41087.60000000003,49007.42,50819.39999999998
21,57649.6,50939.2,46660.4,57397.0,30708.0,134704.0,37122.4,42002.6,48138.200000000004,50960.0
22,57216.24,52796.55999999999,50767.84,56122.4,31275.0,150152.8800000003,38690.48,41150.04,49932.54,55474.599999999984
23,58985.04,54806.92000000001,52442.880000000005,57705.4,37269.0,209395.64,43482.36,40578.640000000014,51839.28,59814.200000000004
24,60677.8,56642.32,54330.42,57190.6,38237.0,248483.96000000002,45488.74,48733.35999999999,53481.58,59473.7
25,68688.56,57034.159999999996,56357.840000000004,59097.200000000004,39205.0,314832.92,47534.48,52057.88000000002,58230.04,59395.6
26,71725.5,59460.0,56399.5,63107.0,46121.5,325182.00000000006,52180.5,52618.0,58123.5,61046.0
27,71140.0,60829.20000000002,58781.16,67379.2,45996.0,329532.52,52163.880000000005,54888.32,58380.56000000001,61075.6
28,89321.35999999999,64791.16,58658.82,67408.6,45794.0,331445.24,57841.87999999992,58593.240000000034,61303.18,61034.99999999998
29,94681.84,71477.15999999997,59066.92,67595.4,48584.0,367554.7200000002,70319.79999999997,59253.96,65047.2,75646.39999999994
30,92783.02,79178.8,57174.26,67569.2,60901.5,375420.08,72246.88,59101.12,64579.86,79050.8
31,105539.20000000003,85966.00000000001,61275.99999999998,68006.0,68123.0,393840.6,71912.4,59671.00000000004,67580.0,78749.0
32,121372.12,86693.16,75685.32000000004,65418.80000000001,72790.0,395286.04,73133.4,65063.92,73835.9,78112.6
33,121904.56,84733.92,86338.56,70663.99999999999,72591.0,397304.68,79740.6,64523.24,73335.68,77485.8
34,123364.76000000017,103432.60000000002,85925.32,87008.00000000003,72235.5,397508.92,84074.96,64679.44,73230.08,77819.0
35,132293.6,121400.59999999993,85563.36,103954.40000000001,71972.0,398194.08,95913.39999999998,79709.43999999996,79348.75999999997,80515.0
36,139237.4000000001,127574.2,85089.4,103244.0,83981.0,399822.8,109927.99999999988,86326.00000000003,101969.00000000001,102115.0
37,175175.31999999998,127480.44,84735.56,103176.8,92344.0,404696.48,122384.68,87427.72,108175.2,117129.99999999999
38,182315.74,127278.52,93844.77999999996,103553.0,115275.5,414479.84,121732.18,116431.8,107766.14,127576.4
39,207927.75999999995,126666.88,99909.32000000004,102962.2,121309.0,413836.2,136103.36,121231.16,108602.0,152954.19999999998
40,244732.28000000006,126355.6,102096.96,102465.0,140972.0,415710.68,175652.31999999998,120750.68,114553.20000000003,166864.5
41,273994.0,138450.0,104042.4,104606.0,160675.0,421972.4,212878.6,120103.0,121005.00000000003,168411.0
42,324254.68,184878.15999999977,113055.80000000002,136844.4,161281.0,429857.92,218477.59999999998,123254.2,180607.56000000003,218981.79999999996
43,335121.04,200816.4,122762.24000000002,149981.0,195128.0,431320.56,226038.2,148102.19999999995,197342.44000000003,261119.9999999999
44,337157.8,234711.28,139084.28,157877.0,230224.0,434854.16,253562.9,187495.56000000032,219337.92000000036,281776.1999999999
45,338614.32,241562.80000000002,138565.28,180814.79999999993,264733.0,436365.88,289892.4,226047.64,244617.96000000002,299553.99999999994
46,339592.1,279838.0,153710.6000000001,185474.0,298239.5,438670.4,326378.0,236312.60000000006,279929.2,320891.5
47,344899.56,316913.2,191197.28000000003,209027.4,312495.0,440226.92,339213.0,265324.76,287893.80000000005,324073.2
48,349594.0,324180.4,240616.6,252072.59999999992,315405.0,442442.8,341135.19999999995,280533.96,294417.6,327130.3
49,351889.16,329134.6,264956.00000000023,292468.19999999995,317723.0,444427.83999999997,377435.68000000005,285917.2,312404.52,334817.39999999997
50,355643.18,333291.2,305575.7600000001,330474.5999999998,320429.0,446943.12,382176.88,291859.60000000003,318222.28,340463.6
