index,117_1_www.owasp.org,117_2_www.owasp.org,117_3_www.owasp.org,117_4_www.owasp.org,117_5_www.owasp.org,117_6_www.owasp.org,117_7_www.owasp.org,117_8_www.owasp.org,117_9_www.owasp.org,117_10_www.owasp.org
1,-442.0,-442.0,-442.0,-48.0,-442.0,67.0,67.0,-442.0,67.0,-442.0
2,1526.8,1526.8,1352.6000000000001,-526.6800000000001,1477.8,-472.8000000000001,-457.5200000000001,1321.0,-419.31999999999994,1594.12
3,1112.76,1112.76,2322.8000000000015,1437.92,959.9599999999998,1578.2,1571.88,510.0,1556.08,1159.76
4,3580.680000000001,2689.16,2797.200000000006,1008.5200000000015,2400.3599999999997,694.3000000000001,682.4200000000002,4452.0,652.7199999999999,280.48000000000025
5,4562.64,4562.64,4228.599999999999,2643.84,4570.76,4660.2,4697.48,4461.0,4790.68,2302.92
6,4120.799999999999,4120.799999999999,6459.0,4372.9,5669.000000000002,4457.5,4441.7,6907.0,4464.6,4389.900000000001
7,6598.84,6598.84,10061.6,4923.800000000003,6625.760000000002,6227.2000000000035,5831.680000000006,8598.0,5287.199999999997,6815.959999999999
8,8252.92,8495.92,9924.4,6576.28,8438.32,7161.500000000007,6648.820000000001,9711.0,6683.72,6741.7800000000025
9,9995.600000000002,10795.599999999999,18967.999999999996,5679.119999999999,10858.600000000004,8418.2,6293.960000000002,12914.0,8554.28,8318.36
10,12929.800000000001,15183.839999999997,17010.8,8952.200000000008,12785.52,11052.2,8890.800000000005,18101.0,9389.799999999992,10605.599999999997
11,18569.0,14724.199999999999,15788.0,13502.8,18151.399999999998,12686.0,13002.0,16888.0,12675.199999999993,13051.999999999998
12,16918.32,13769.679999999998,19761.600000000002,16386.260000000002,16654.72,17921.6,18675.8,18553.0,18083.96,18625.66
13,15958.08,15385.08,21586.6,17810.12,16457.120000000017,16628.6,17082.239999999998,19515.0,17819.16,17382.920000000002
14,17474.36,17342.36,24001.399999999998,16616.16,18948.880000000016,15753.9,16253.239999999998,21399.0,16555.16,16205.94
15,21467.239999999998,19422.079999999998,34101.20000000001,18146.64,21788.04,17420.199999999997,17646.640000000014,23748.0,15742.52,15413.239999999998
16,21134.600000000002,21501.8,35079.0,19779.6,21752.600000000002,20186.0,19696.3,24060.0,19800.4,19493.8
17,23643.56,31880.640000000003,38729.6,21891.36,23898.04,21201.600000000002,21642.04,34988.0,21935.16,21186.64
18,24139.52,32964.28,42073.799999999996,23675.82,36069.64,21932.800000000025,23900.98,36721.0,23882.720000000005,21214.66
19,35538.67999999999,34616.52,46912.60000000003,23585.28,37231.48,23564.000000000004,24247.600000000002,41244.0,23968.72,23563.72
20,36905.04,37118.92,79750.00000000001,24777.84000000002,38426.759999999995,35532.7,34739.240000000005,76647.0,29373.03999999999,24098.98
21,38394.799999999996,42193.2,127877.0,35629.59999999999,46838.400000000016,36720.0,35341.200000000004,114576.0,36251.40000000001,34621.40000000001
22,48463.79999999999,63440.79999999999,162313.80000000005,37129.04,71463.24000000003,38133.00000000001,37088.600000000006,125692.0,37398.359999999986,34699.31999999999
23,77125.32,88679.12000000017,195232.60000000006,38614.92,111810.40000000001,42649.00000000002,41482.92,132175.0,38585.2,36720.56
24,114470.20000000006,131535.52000000005,250976.6000000001,43714.7200000001,137064.0,64099.799999999996,63833.90000000001,134698.0,42755.59999999998,40564.24000000001
25,157103.48,168874.40000000002,263219.00000000006,63894.20000000001,194827.04000000015,89350.60000000014,90440.84000000024,151514.0,65110.76,62037.39999999998
26,191289.0,194226.0,307245.0,102154.0,216562.0,114534.00000000003,124362.5,168049.0,96682.0,77653.0
27,220369.87999999998,221268.79999999996,344019.8,116514.80000000002,256705.68,143623.0,142860.76,186362.0,118737.19999999998,115684.60000000006
28,241623.24,251344.4,359151.8,125622.6,266020.4,181544.60000000015,141848.4,195205.0,128590.39999999997,150924.32000000004
29,243185.24,253948.48,384621.2000000002,144866.4,275211.60000000003,214506.60000000006,174902.6,228426.0,153609.48,166598.52000000016
30,258472.71999999997,258925.71999999997,406021.6000000004,181175.86000000002,313283.43999999994,252254.60000000012,179258.8,248236.0,186812.8,195153.75999999992
31,257067.6,283123.80000000005,443823.0,196216.00000000012,324950.8,257070.0,193237.8000000002,267299.0,217855.79999999973,213355.39999999997
32,264697.2,312798.44000000006,476978.2,223178.52,345032.84,254975.9,216398.19999999998,278162.0,229846.2,227303.42
33,288802.4,331048.2,488211.0,250058.32,359847.12000000017,255115.00000000003,232336.40000000002,279737.0,258091.12,226073.24
34,324434.88,358042.72,516570.2,249457.62,415137.60000000003,266691.6000000001,245296.00000000035,282294.0,257417.16,250983.80000000008
35,339246.8,389611.39999999997,534677.0,253869.19999999998,445495.6800000001,268233.4,272243.68,328948.0,255987.32,256636.28
36,349576.0,415628.5999999999,534179.0,256778.3,477322.6,286003.0,273866.7,352844.0,254218.4,256403.80000000002
