index,118_1_www.skype.com,118_2_www.skype.com,118_3_www.skype.com,118_4_www.skype.com,118_5_www.skype.com,118_6_www.skype.com,118_7_www.skype.com,118_8_www.skype.com,118_9_www.skype.com,118_10_www.skype.com
1,67.0,67.0,-442.0,67.0,-442.0,-115.0,-48.0,67.0,-442.0,-442.0
2,1280.7,575.0,1223.1200000000001,329.02000000000004,1149.8600000000001,115.60000000000028,1177.1599999999999,1552.8400000000004,555.5199999999998,736.3800000000001
3,4680.599999999999,1810.0,4066.1600000000035,817.2799999999997,2287.12,3251.6,4591.04,4585.96,4492.079999999999,4356.72
4,6652.4,5185.0,6945.88,5212.54,5491.22,4951.599999999999,6701.5599999999995,7248.76,11544.22,6703.220000000002
5,13485.0,7482.0,7796.719999999998,9760.68,6795.200000000004,12599.8,11374.240000000014,11810.519999999988,19569.44000000001,19389.2
6,22387.0,7862.0,19242.0,19058.00000000001,14372.3,16306.0,21249.6,18998.4,45176.3,31365.800000000032
7,91888.8,19530.0,43518.72,24377.959999999995,23297.800000000007,37750.799999999996,45271.72,24825.519999999997,45787.16,44507.96
8,124585.9,23472.0,44626.119999999995,47295.94,61478.600000000006,39484.39999999998,46609.84,34286.880000000005,42520.86,45220.66
9,125462.6,47194.0,45894.72,48294.119999999995,100405.48,39219.200000000004,44161.96,34439.28,39678.88,45965.28
10,125588.9,48342.0,43680.56,48217.32,127135.54,36997.4,42027.56,34742.56,42738.68,42834.94
11,126372.0,46562.0,41094.6,45531.2,125540.8,34357.0,39855.200000000004,33355.600000000006,46468.400000000016,40417.6
12,123890.7,47311.0,39215.32,43435.22,123614.78,32561.600000000006,42528.24,31203.68,54797.64000000004,43780.24
13,127358.40000000001,45531.0,42505.44,43944.240000000005,121701.23999999999,38207.6,46147.56,61008.48,59792.72,48976.920000000006
14,130263.4,43349.0,45645.96,51739.259999999995,119722.18000000001,46283.6,52686.03999999999,102897.96,64208.78,53323.18
15,134674.20000000004,44059.0,50019.120000000046,58068.72,120828.04,50212.79999999996,56001.28,109787.72,66960.84,57398.4
16,142861.0,49715.0,55485.799999999996,60470.299999999996,128835.90000000001,54975.0,62451.2,132988.2,72050.6,63783.9
17,145077.2,53458.0,57899.28000000003,67231.72,128786.84000000003,61947.799999999996,62876.32,134655.08000000002,71705.80000000002,66365.76
18,147644.6,59495.0,64358.360000000015,69397.14,132590.54,61862.6,67495.96,143206.04,149433.67999999996,71165.46
19,148940.6,63695.0,66946.36,75088.20000000003,137675.32000000004,63261.8,72649.84,147912.64,168949.56000000017,70998.44
20,148890.69999999998,66173.0,66999.79999999999,80334.12,143253.16,67881.40000000001,71624.52,148213.12,256644.0800000001,86698.16000000002
21,147472.0,68677.0,68188.59999999999,79251.59999999999,145325.2,78848.0,111300.60000000037,148043.4,294485.80000000005,166035.20000000013
22,173879.40000000005,72063.0,79067.36000000007,102047.36000000007,148081.26,93329.40000000001,176000.60000000003,157892.36,359297.7,240776.56
23,194917.0,76573.0,84439.36,163144.2,152836.88,92300.8,222588.2,161645.64,387012.39999999997,250717.03999999998
24,194402.19999999998,81736.0,83921.84,229839.3,152506.6,97049.99999999996,228418.84,161210.4,404398.4000000001,303986.76
25,193567.6,77606.0,97339.40000000001,254265.5599999997,152447.00000000003,97339.2,242115.64,178921.6,417016.2,348667.9199999999
26,194812.0,95453.0,155805.00000000006,339919.0,211199.0,115609.0,267106.0,191537.99999999994,420545.5,386151.0
27,197021.2,116294.0,200411.2799999999,408769.27999999997,247502.80000000002,136939.99999999997,283352.64,208138.4,439767.4799999999,398666.24
28,220124.70000000013,115832.0,251479.2000000001,415319.06,287271.60000000003,167608.39999999962,296941.48,260061.2399999999,443487.2,418257.3
29,256976.40000000034,115145.0,266607.24,415590.84,329488.4,221375.99999999994,339343.8400000007,302788.5999999999,465212.16,427336.36
30,336707.00000000006,118244.0,270039.8400000002,424093.4800000001,396948.04000000004,278673.79999999923,398602.08,342880.68,464767.08,435395.2
31,391223.0,129467.0,347413.00000000023,439009.0,450344.0,301689.0,432914.39999999997,395503.59999999945,464411.4,440284.0
32,392904.3,160266.0,396754.60000000003,453758.6,465603.86,309653.3999999999,444254.72,432358.39999999997,471587.89999999997,445888.94
