index,11_1_www.heise.de,11_2_www.heise.de,11_3_www.heise.de,11_4_www.heise.de,11_5_www.heise.de,11_6_www.heise.de,11_7_www.heise.de,11_8_www.heise.de,11_9_www.heise.de,11_10_www.heise.de
1,-48.0,67.0,67.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-48.0
2,2464.2,6186.199999999999,9211.399999999998,4636.22,9153.479999999998,7079.72,6758.88,10562.88,7056.799999999998,7533.199999999996
3,11855.200000000004,43945.400000000016,49396.07999999997,46931.04,36064.92,45674.96,47171.68,54985.68,39028.4,61165.08
4,42413.4,73663.8,96851.2,55876.42,72758.98,96670.76,87790.56000000003,83403.51999999999,91597.5,100624.28
5,60930.8,124674.40000000004,150820.52,91714.28,122552.64,150083.72,96914.36,114601.52,146244.8,157233.2
6,66777.0,187911.0,317211.5999999999,145835.9,190659.1,282604.6000000004,145301.80000000002,177654.9,225247.5,401210.3
7,80976.4,400490.2,409247.08,154564.08,377621.4400000002,400729.32,167204.96,409698.48,398068.8,478999.36
8,122436.4,420881.4,526109.4400000001,197578.83999999976,413716.3,477436.08,338050.00000000006,434427.24,428150.8999999999,490237.18
9,184605.0,520288.6,529931.52,401346.6,476426.28,493655.96,399711.08,515686.80000000005,529958.4,528231.44
10,342002.00000000006,545061.4,554229.68,405743.60000000003,514355.34,539640.4,419399.2,558082.66,554831.9999999999,582912.06
11,398007.0,574346.0,646155.2,427547.2,546744.4,634432.8,465832.00000000006,581518.2,590465.0,620107.6
12,424859.0,663322.4,727168.1599999999,502774.6,567227.6,701636.96,544296.94,676425.56,640554.7999999999,715465.7599999999
13,467831.2,725181.2,765830.64,515947.96,731254.8,796699.04,547290.2,754947.48,734252.4,818180.88
14,477737.8,802694.4,870218.72,587315.86,789240.58,898214.44,557176.82,829594.8,818396.3999999999,909988.02
15,486348.0,866548.8000000002,934308.92,593551.28,862405.6799999999,947169.4,624568.8,878036.64,872833.2,953822.28
16,507469.0,938724.0,970487.9999999993,621521.1,925220.6000000001,961597.0,668240.7,911428.5,938985.5,967190.8
17,509566.8,976938.8,991681.48,683643.5999999999,943342.7999999999,992936.52,731602.6,974240.92,943595.2,994697.76
18,528848.6,984059.8,1000040.36,731013.64,982935.82,1006725.64,812151.4,990699.22,954042.1,1010960.8399999999
19,595814.6000000004,997147.2,1011622.28,781959.8000000002,993106.8,1013771.5599999999,820774.52,1001382.28,982264.8,1012043.52
20,668365.2,1004920.2,1015280.68,846791.6,1002592.76,1027039.52,875100.66,1010904.28,1012103.3,1068837.8199999998
21,723575.0,1011052.0,1059635.6,866617.6,1007377.4,1102525.8000000005,881988.8,1013931.8,1027367.0,1106763.6
22,755584.0,1020647.6,1202744.92,870406.92,1133140.9600000002,1282136.96,885638.76,1028698.52,1161874.9999999993,1223507.7599999988
23,796583.2000000001,1106915.600000001,1211274.16,935543.16,1200739.88,1285748.96,944767.48,1038074.44,1322737.2,1255301.72
24,848728.6,1282858.6,1218162.56,947011.38,1273942.58,1299383.56,961085.3,1177228.4400000002,1345655.2,1270114.6799999997
25,865086.2000000001,1291801.4,1228128.2,958472.28,1304005.12,1434433.6400000001,965444.36,1253713.04,1351881.2,1280215.64
26,869319.0,1295916.0,1236312.0,992821.5,1343030.0,1452351.0,973199.0,1342448.0,1358177.0,1281843.5
27,870991.4,1438589.6,1256103.24,999357.48,1361534.04,1464106.08,984887.24,1394319.6000000003,1364625.4,1291133.76
28,881808.4,1440403.6,1385789.56,1004653.92,1367844.08,1494627.36,1068707.32,1405299.66,1370685.7,1307477.94
29,910607.8,1449744.6000000003,1395476.56,1049938.96,1368557.1600000001,1497034.04,1209768.36,1411854.48,1377622.8,1319733.76
30,920427.6,1469043.2,1430302.8800000001,1055365.82,1373901.6199999999,1505367.96,1229559.2,1421443.6,1393886.2,1342330.66
31,924576.0,1468965.0,1441354.0,1151698.6,1384286.2,1530664.6,1322199.8,1437424.6,1423716.0,1377442.6
32,932103.2,1475821.8,1454224.64,1262008.4,1389946.34,1538525.48,1329231.96,1468468.02,1431745.7,1440268.3999999997
33,942716.6,1493899.6,1462055.64,1277047.8,1410546.96,1551133.32,1353678.68,1476845.12,1467792.7999999996,1483368.24
34,1046178.4,1503255.8,1548188.32,1415793.74,1436778.64,1602120.7600000002,1389011.6,1516500.68,1474054.9,1503333.399999999
35,1059896.0,1509438.6,1554890.68,1414636.24,1444423.1600000001,1612429.08,1550067.56,1626540.96,1487701.2000000002,1535457.76
36,1095891.0,1538950.0,1595185.4,1420018.3,1450285.9000000001,1625951.8,1660254.0000000002,1875268.4000000027,1530413.5,1547092.9
37,1268981.4000000001,1559132.2,1681383.96,1427216.04,1480396.08,1632415.04,1743813.76,2234820.7600000002,1651450.4,1560623.2399999988
38,1354189.6,1568074.6,2040763.839999998,1434369.4,1498090.2,1652014.7999999998,1748434.18,2501829.2,1921838.399999999,1697289.06
39,1375366.6,1641614.4,2362794.0,1442608.36,1506421.8,1690930.6,1752677.5999999999,2700803.8000000003,2271945.9999999995,2125927.3999999985
40,1381796.2,1649560.7999999998,2621881.799999999,1446758.28,1518594.2,1741222.52,1764846.6400000001,2962638.08,2473216.7999999993,2405802.8
41,1387507.0,1684305.0,2958651.0,1451575.2,1590518.9999999998,1790710.4,1766889.6,3145071.0000000005,2614954.0,2549496.8
42,1390209.2,1720500.2,3226304.92,1459321.94,1631772.2399999998,1846153.08,1776471.56,3289131.64,2765149.7999999993,2710918.08
43,1396202.6,1742367.8000000007,3393290.2800000003,1467636.6799999997,1710658.96,1890695.3600000003,1822843.16,3513734.2800000003,3005649.5999999987,2916069.44
44,1397454.4,1777104.2,3623228.36,1540192.74,1921632.96,1976826.8,1867732.58,3715866.480000001,3212806.9999999995,3145939.5999999996
45,1401775.2,1788345.6,3813117.04,1544678.6800000002,2194392.56,2079527.44,1916734.56,3962628.4,3409427.599999998,3386808.8
46,1406180.0,1867176.0,3960859.2,1554509.2,2459947.0,2071779.2,1932323.5,4171482.6000000015,3629924.9999999995,3707563.6
47,1409309.2,1911286.4000000004,4086345.4,1559473.72,2697837.959999999,2069730.76,1934821.12,4255509.36,3800316.0,3925606.1999999997
48,1445019.6,2002406.6,4295650.84,1562122.54,2963415.18,2079420.76,1937470.78,4300092.760000001,3997318.0,4137039.3999999994
49,1450719.8,2035024.0000000002,4367606.44,1568834.6400000001,3067751.56,2085599.16,1943135.76,4305583.12,4218938.199999999,4386037.96
50,1455246.4000000001,2141447.8,4421021.44,1608892.24,3202970.96,2093841.4,1950136.4399999997,4316027.76,4233403.3,4425385.24
