index,138_1_www.office.com,138_2_www.office.com,138_3_www.office.com,138_4_www.office.com,138_5_www.office.com,138_6_www.office.com,138_7_www.office.com,138_8_www.office.com,138_9_www.office.com,138_10_www.office.com
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,2015.3999999999999,4015.56,4059.7999999999993,4030.6800000000003,4019.88,4076.28,3579.0,4020.28,3957.24,3927.0
3,5253.16,4415.4800000000005,5800.32,4512.4400000000005,4328.04,4403.96,5919.0,4710.76,5278.040000000003,6387.0
4,8341.539999999999,7990.14,8508.12,7941.92,8226.619999999999,8385.960000000001,19267.0,8089.82,7824.600000000005,8828.0
5,16535.6,19310.28,15959.52,19857.199999999993,19176.44,18791.2,33379.0,20450.199999999997,19480.12,19354.0
6,31621.7,39966.2,47154.3,40398.600000000006,44881.9,45991.8,32087.5,33106.3,37647.799999999996,32569.0
7,28992.36,37544.35999999999,44375.52,37506.68,42396.119999999995,43293.84,37307.0,42066.96,39383.759999999995,41836.0
8,25660.06,40584.96000000001,41215.44,42478.28,51067.64,42685.36,45613.5,39716.62,36367.640000000014,39910.0
9,31398.76,45310.44,44331.08,48160.28,74916.52,76292.68,59933.0,84543.84,38834.68,40874.0
10,45957.28,80014.98,101505.34,52081.44,80950.45999999999,86802.72,76850.5,94829.54,47265.24,48788.0
11,51891.6,86120.2,107414.6,56439.6,86988.4,110961.8,82144.0,114721.4,49787.20000000004,51045.0
12,57309.92000000001,121456.42,113230.84,60583.840000000004,102718.80000000002,115026.52,118796.0,116651.14,72148.56000000001,59730.0
13,65044.36,123493.88,120481.12,94670.28,117852.88,118148.96,118370.0,119092.08,74045.68,78649.0
14,67605.20000000001,123248.94,121681.38,127006.39999999997,124447.95999999999,123977.88,132462.5,119966.62000000001,85985.92000000003,77177.0
15,88187.08,124626.31999999999,124884.32,132822.68,130056.23999999999,129577.56,163899.0,136776.8,91577.87999999999,98009.0
16,99251.70000000001,136245.5,127251.90000000001,146923.6,142855.19999999998,162052.4,196568.0,155389.5,112036.8,115197.0
17,144289.68,153053.12,133454.67999999996,180379.12,153312.80000000002,205117.56,201334.0,159342.52,130823.92000000003,126873.0
18,161991.28,166164.68,167980.2,180343.44,182764.38,239285.96,262736.5,161503.22,154600.68000000002,136789.0
19,162528.24,192281.32000000007,214654.07999999993,206443.03999999983,217293.36000000007,294342.59999999986,335412.0,182930.40000000002,181466.08,161521.0
20,160559.2,242903.87999999986,259172.35999999984,286635.6,274608.1200000001,331510.19999999995,403963.5,203506.06,196668.6,194765.0
21,172038.0,301875.4,297534.2,397063.39999999985,314911.0,383819.5999999999,458984.0,229524.00000000003,205600.0,233307.0
22,203659.62,334587.2,330093.89999999997,448259.31999999995,403177.33999999997,423925.92000000016,524249.5,281980.72,222327.40000000002,259992.0
23,231146.52,368909.43999999994,363722.36,537089.44,449633.9200000002,468049.4,575681.0,328001.2800000001,279593.64,340349.0
24,260689.88,403306.5999999999,428496.00000000006,590554.4400000001,502392.45999999996,536300.2,601344.0,376435.01999999996,330025.88,396693.0
25,365960.6,507589.67999999993,501930.80000000005,673820.72,556663.04,598213.44,641831.0,428825.83999999985,359195.44000000006,452978.0
