index,145_1_www.netflix.com,145_2_www.netflix.com,145_3_www.netflix.com,145_4_www.netflix.com,145_5_www.netflix.com,145_6_www.netflix.com,145_7_www.netflix.com,145_8_www.netflix.com,145_9_www.netflix.com,145_10_www.netflix.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0
2,3708.7200000000003,5289.0,5185.96,4991.4800000000005,4266.500000000002,5360.0599999999995,4121.04,3977.2400000000002,4844.860000000001,5171.64
3,6227.68,8314.400000000001,13862.040000000005,14756.56,8319.199999999999,13265.08,8330.32,8528.12,6926.68,10914.279999999999
4,13264.359999999999,33690.19999999998,41647.16,30945.06,16856.7,15552.380000000001,14924.519999999999,15730.79999999999,13479.18,39446.92
5,43336.399999999994,52561.2,61258.12,39246.96,47250.80000000004,40151.92,51096.4,72331.32,38211.4,46417.72
6,39763.6,65182.0,69226.80000000003,65432.499999999956,66522.0,40441.8,63554.6,91146.59999999998,48755.399999999994,67617.6
7,74788.32,81871.39999999997,107225.60000000002,104348.67999999998,84521.4,50916.07999999997,86297.96,102419.44,69699.84,88656.40000000001
8,85213.36,106951.40000000001,127309.6,116460.17999999996,106070.39999999998,86135.81999999999,98780.40000000001,107709.12000000001,73089.98,114517.88
9,103944.44,130040.99999999999,138462.68,179986.8,109874.8,114397.23999999999,109231.44,110676.08,113546.48,146099.03999999998
10,106903.2,169099.80000000002,169391.28,213152.68,125022.3,145415.0000000001,169416.36,179427.4,125050.98,206278.40000000002
11,112531.8,182587.0,211421.00000000003,298488.39999999997,140142.0,185503.0,173242.8,232499.8,162306.0,230265.19999999995
12,152717.8,210033.99999999997,257062.64,369155.18,201077.0000000003,224480.34,198344.80000000013,273230.88,213219.58,295802.52
13,156027.88,246040.6,273577.76,407071.68,232311.8,282605.68,237129.72,306914.72000000003,269821.8000000001,319246.48
14,209401.36,326412.8,313522.39999999997,415313.98000000004,287262.9,349214.26,279920.92,348583.92000000004,284154.44,356416.52
15,297821.1199999997,332604.6,343700.2,515586.9199999999,316955.0,395260.79999999993,321482.16,379347.39999999997,345476.84,443816.8
16,386834.6,375809.0,411105.00000000006,557500.1999999996,360720.5,438298.99999999994,380121.6000000001,438656.60000000003,388655.7999999997,530059.4
17,468014.96,407401.6,476692.04000000004,630098.52,388856.2,487502.67999999993,455405.04000000004,466369.72000000003,431237.08,569185.24
18,550914.4,482098.99999999994,544759.6,689815.2,425325.2000000001,505778.82,531103.92,482195.52,434876.56000000006,620229.9199999998
19,651431.36,550375.5999999994,608227.92,736750.8,485699.0,541997.7200000002,554064.04,526629.6,495566.16,683898.96
20,743528.4,623318.2000000001,678347.6800000003,806643.9,534999.9,610785.2999999999,596518.9599999998,594102.44,556013.8,773445.24
21,806288.6000000003,676551.0,765287.8,853214.0,613179.0,667588.5999999999,652372.0,669322.0,630828.6,825794.3999999999
22,928798.6799999996,728034.0,829662.72,889721.48,681614.5,738748.88,695431.0,735544.24,688742.1,896825.6
23,1008972.48,768213.0,888839.4000000006,953581.1599999999,725637.4,799545.0,763416.88,793100.9199999999,702027.2,959211.24
24,1140185.48,833725.1999999997,951679.96,1013347.56,809563.3,916046.7199999999,831075.8000000002,869338.5599999999,769031.24,1045417.6
25,1200360.28,917531.3999999999,993729.2800000001,1075871.4,868212.0,1013996.3599999999,938809.3200000001,976752.7999999999,845514.8,1107574.92
26,1256579.0,994560.0,1071668.0,1114399.5,941337.5000000001,1108830.0,1039518.0,1062392.0,943312.0,1162099.0
27,1260604.8800000001,1058448.8,1116912.7199999997,1147914.6,998695.6000000002,1174956.6,1137551.28,1156885.4,1064569.76,1227334.72
28,1276436.84,1070659.6,1195054.9600000002,1195904.38,1091287.7000000002,1292447.54,1179134.56,1227211.16,1132191.74,1230356.72
29,1320817.16,1110717.8,1234070.32,1198885.92,1132113.0,1318738.44,1229271.72,1236965.68,1164051.52,1303328.24
30,1360444.08,1157796.6,1283297.4,1229267.1199999999,1159866.1,1330277.6400000001,1254235.24,1249378.52,1186844.9,1353955.8
31,1406469.7999999996,1202298.0,1361518.2000000002,1287090.4,1235153.0,1341704.4,1312771.2000000002,1280430.0,1238380.2,1432924.8
32,1476331.44,1261810.0,1424173.3200000003,1311912.0999999999,1299478.5,1405292.8800000001,1387678.16,1309561.96,1327067.1,1466633.2
33,1556187.4,1306187.4,1479499.84,1362035.36,1366622.5999999999,1475073.5999999996,1426067.6,1358893.76,1363894.56,1574599.04
34,1651810.0,1355226.8,1493942.52,1405358.06,1423754.3000000003,1527019.24,1582445.8800000001,1380644.92,1415015.46,1622555.72
35,1770335.84,1360022.2,1569236.4,1440074.52,1480093.0000000014,1538720.52,1603913.24,1441502.0799999996,1420289.76,1695695.84
36,1851129.7999999998,1416472.0,1607684.4000000001,1484173.9,1510500.5,1607750.6,1664738.2,1519026.7999999984,1477852.1,1758341.0
37,1881613.68,1459007.5999999994,1676396.84,1501055.6,1562842.6,1698617.56,1673069.48,1594085.68,1554609.24,1805774.7200000002
38,1883666.84,1524108.5999999996,1725999.24,1598745.6799999997,1620620.8,1768287.28,1685983.1199999999,1645097.439999999,1609930.02,1816453.36
39,1889542.8,1596932.6,1766771.48,1693426.64,1710091.2000000004,1803122.24,1697762.64,1689863.72,1678649.28,1888590.6
40,1902116.04,1642152.2,1787568.68,1774402.5199999998,1746602.3,1864506.78,1715788.56,1693460.12,1779548.4800000002,1985340.6799999995
41,1903417.2,1678493.0,1825097.2,1848853.9999999998,1775841.0,1884084.7999999998,1791119.7999999996,1754780.1999999997,1890929.1999999997,2094017.0
42,1907362.12,1708276.2,1867880.04,1954094.1,1815884.6,1942318.5,1861832.76,1801577.5199999996,1939837.42,2146339.28
43,1911289.3599999999,1738000.7999999996,1913513.24,1976408.08,1850783.6000000003,1962935.36,1918276.92,1947457.76,1944378.04,2142464.48
44,1906671.8,1828225.0,1962155.2399999993,1982335.48,1953205.0000000002,1969990.06,1923083.08,1952219.56,1943078.32,2149143.72
45,1910761.88,1910623.8,2032334.2000000002,1987272.12,1952264.0000000002,1974470.24,1931406.24,1951166.96,1947481.12,2154076.32
46,1911400.6,1944706.0,2093876.4,1991341.9,1955866.0,1977505.9000000001,1937639.2,1953534.6,1950552.3,2159703.8
47,1914298.8,1943051.4000000001,2146114.24,1998895.44,1962437.2,1981515.08,1940724.72,1957335.92,1955657.48,2166741.72
48,1916866.84,1947723.6,2145078.08,2011708.84,1965416.3,1985723.2,1944444.56,1961993.96,1958707.32,2170378.52
49,1921818.72,1954589.8,2149430.32,2016004.12,1970183.8,1999958.28,1946744.92,1966023.32,1964742.8800000001,2184830.96
50,1924568.52,1960894.0,2155346.84,2021182.36,1972938.1,1999673.64,1951583.8800000001,1970655.16,1966553.98,2184673.52
