index,14_1_www.b-tu.de,14_2_www.b-tu.de,14_3_www.b-tu.de,14_4_www.b-tu.de,14_5_www.b-tu.de,14_6_www.b-tu.de,14_7_www.b-tu.de,14_8_www.b-tu.de,14_9_www.b-tu.de,14_10_www.b-tu.de
1,-442.0,-115.0,-442.0,67.0,67.0,-442.0,67.0,67.0,-442.0,0.0
2,1453.3,224.20000000000002,1632.36,395.4000000000008,442.24,1399.4,399.04,337.8,1360.2,424.48
3,883.56,536.6,619.7600000000001,1319.5999999999997,2176.52,729.5200000000002,259.44,271.6,619.7600000000001,2016.2000000000003
4,2331.98,2146.6,2231.08,2975.2,1160.4599999999996,2193.16,1926.02,1982.9,3368.319999999999,1120.9200000000005
5,4347.64,1766.2,4418.44,3822.600000000003,5408.84,4367.88,1139.88,1164.2,4418.44,4922.32
6,6396.400000000001,3044.0,6165.200000000001,4675.0,5216.9999999999945,4400.999999999997,3444.8000000000015,2883.5,5939.399999999999,4983.599999999999
7,7008.919999999999,5150.2,5695.84,6901.5999999999985,7671.32,13241.36,4946.04,5062.2,12945.68,7147.3200000000015
8,8391.42,4895.400000000001,10753.519999999995,8406.199999999999,14603.460000000001,12983.359999999999,7665.08,7500.8,12858.36,9498.800000000001
9,19557.039999999997,7273.4,20839.12,9982.000000000005,21445.16,14302.56,7695.96,6434.599999999999,15880.08,21528.32
10,21138.800000000003,8991.199999999999,49845.200000000004,21025.600000000002,48024.58,16019.48,8485.539999999999,13571.90000000002,29305.719999999998,33239.39999999989
11,52326.0,10153.0,56815.6,48718.0,46276.8,51912.39999999999,21579.2,21127.0,40280.0,57050.4
12,56400.08,17549.600000000013,55571.32,56270.2,48015.48,51390.52,36331.880000000005,57417.100000000006,52368.79999999999,57455.96
13,60548.35999999999,36969.000000000015,61586.32,65551.00000000009,68936.92000000001,55301.64,57074.48,56265.799999999996,62189.44,59165.96
14,72026.58,46253.000000000015,61586.68,72453.20000000001,72508.83999999998,55289.36,55778.64,57790.60000000002,72779.31999999999,61579.76
15,74177.76,51297.6,102319.63999999991,75570.59999999999,96389.72,55610.31999999999,57946.76,59410.6,73419.31999999999,63035.12
16,81153.00000000001,52909.0,103808.8,78923.0,106921.2,56624.199999999975,61435.000000000015,63709.5,76284.6,81326.2
17,105598.16,52372.4,104893.04,78842.00000000001,130975.11999999995,60113.59999999999,63791.44,63237.8,80431.76,97849.39999999998
18,104394.18,59408.60000000003,108262.28,82189.2,182701.76,92218.20000000001,65153.11999999998,65414.1,89598.20000000001,144272.31999999998
19,106094.12,74193.6,122635.04,87317.40000000004,238597.0800000001,120433.43999999992,65100.72,108484.60000000014,95014.40000000001,178481.92
20,133638.07999999996,76319.8,148802.68,110626.8,321539.51999999996,149848.63999999996,98628.24,171526.79999999996,98953.84,245607.2799999999
21,147945.8,75931.0,191428.0,128867.0,369094.4,174808.19999999998,99320.2,233327.0,112131.0,296752.99999999994
22,169801.74,78348.40000000001,245425.08,188218.60000000006,414585.8800000001,208607.96,123281.95999999995,296893.20000000007,145508.04,364316.5199999998
23,197861.64,97348.00000000001,278897.8399999999,232673.20000000007,489735.32,245316.03999999998,170051.84,352937.80000000005,175839.59999999998,411721.63999999996
24,229010.47999999998,132984.80000000002,321197.8399999999,268355.20000000007,529229.08,275174.67999999993,193590.36,426938.79999999993,229230.87999999992,444844.19999999995
25,281735.88,176363.2000000001,364247.2,315907.6000000004,569423.12,312849.88,216953.67999999996,470255.80000000016,270855.52,501494.08
26,315440.5,219640.0,401702.0,371298.0,611159.0,343740.0,253457.0,510921.0,317284.0,540699.0
27,365463.7600000001,242495.40000000002,452368.04000000004,397649.80000000005,663600.0399999998,363869.76000000007,289412.72000000015,530288.4,389339.16000000003,577289.64
28,415306.76,280573.8,502909.4000000001,442152.6000000001,683670.42,402129.47999999986,328615.1599999998,534725.0,428370.08000000013,595764.7999999999
29,453092.36,313161.8,525068.1199999996,486951.40000000014,727702.6,444030.83999999997,358389.76,579013.2,469216.63999999996,609855.36
30,504557.04000000004,344372.8,582729.08,510430.20000000007,778196.2399999999,485003.4,400908.28,586131.7000000002,509087.19999999995,653680.68
31,564225.8000000002,386704.0,590093.4,549079.0,827721.9999999999,520105.39999999985,437768.4,606569.0,571198.4,715387.5999999999
32,607124.5599999998,404783.00000000006,658515.32,593919.4,876657.92,561798.4799999997,490388.92,644207.1000000001,609375.84,768821.7199999996
33,669320.48,443615.8,671312.6,633031.0,935732.9599999998,586271.72,526846.4,686677.4000000001,617786.72,834505.48
34,736169.32,466120.5999999999,679873.4,674744.4,975062.4799999997,593931.5599999999,546717.62,699794.5999999999,640569.44,891348.96
