index,151_1_opensource.org,151_2_opensource.org,151_3_opensource.org,151_4_opensource.org,151_5_opensource.org,151_6_opensource.org,151_7_opensource.org,151_8_opensource.org,151_9_opensource.org,151_10_opensource.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1548.16,1564.54,3855.7200000000003,1138.7999999999997,1114.1000000000006,1408.2999999999997,1501.8999999999999,3607.0999999999995,1778.8999999999987,736.0200000000002
3,4141.44,3296.12,5776.32,5090.599999999999,2906.8399999999997,4867.800000000002,4964.5199999999995,4652.96,4939.36,3525.5199999999977
4,4791.480000000002,4400.78,5939.52,6969.8,6586.7,6787.1,6522.52,8037.82,4332.18,6582.78
5,8311.16,8421.16,9731.56,8484.199999999999,8384.64,10530.4,8611.76,12904.560000000001,8553.56,7550.16
6,10475.4,13370.1,11902.800000000001,13158.0,12969.400000000001,13110.5,13149.6,14023.4,12434.499999999995,17454.099999999977
7,18087.600000000002,22160.36,20606.039999999997,21322.399999999998,22173.48,16071.199999999999,21267.96,22024.84,22410.76,20897.120000000003
8,22262.76,20036.440000000002,30325.84,21633.4,19689.58,21141.3,19339.84,19550.319999999992,20243.22,18822.36
9,20072.92,18392.48,27795.04,22947.8,20634.2,30031.8,20286.88,23019.88,20846.800000000003,22265.2
10,20433.44000000001,22256.9,27976.76,24047.8,24226.66,28062.6,26559.74,28848.100000000002,24762.36,26839.46
11,22348.600000000002,26215.6,34205.0,28260.0,28836.6,26551.0,29655.400000000012,33412.4,31292.4,33304.4
12,25154.76,29383.439999999977,38828.76,36460.800000000025,33060.159999999996,29910.8,40272.39999999999,43682.07999999994,32971.1,43199.86
13,30686.48,32768.12,45099.16,42409.000000000015,33086.399999999994,33772.0,43821.840000000004,47416.6,47126.68,42400.880000000005
14,32649.440000000002,45279.02,50836.28,42684.4,50150.98,38286.1,48345.22,50870.619999999995,48991.04000000001,54813.32
15,44069.24,42837.44,57388.80000000002,45320.60000000003,51181.60000000001,40255.8,68539.27999999998,66205.04,60749.04,60107.799999999996
16,43717.6,51770.4,76270.0,62327.0,60944.799999999996,51877.5,69225.2,72542.90000000001,75263.09999999998,77276.3
17,46514.19999999999,60885.799999999996,75213.20000000001,65698.00000000001,84297.20000000001,56886.2,67526.8,89860.6,88520.8,83452.59999999999
18,62416.64,61247.54000000001,109376.79999999999,64490.000000000015,95743.40000000001,55467.1,90581.3,98556.14,105586.29999999997,97163.70000000001
19,68913.60000000002,61525.32000000001,152949.07999999996,111997.4,109059.28,62594.00000000004,123726.8,115003.79999999999,138385.23999999982,127879.03999999998
20,85869.8,86088.09999999998,195818.96,154733.00000000003,120481.80000000003,82371.00000000003,154124.02000000005,128128.89999999997,151184.78,162283.89999999997
21,113511.20000000001,125927.5999999999,201512.2,186023.0,151653.00000000003,88003.0,193355.0,166891.19999999995,187092.1999999998,176033.0
22,134076.2,158435.9599999998,224526.96,224359.0000000001,191149.2400000001,90938.00000000003,200959.7199999999,185187.1,213982.79999999996,180521.1
23,152188.4,199342.24000000002,257408.99999999985,258005.6,226913.12000000005,123402.60000000006,234374.68,206162.19999999992,231221.28,191362.71999999997
24,162736.36000000002,222202.81999999995,275605.88,261710.0,250099.30000000005,149343.9,251968.69999999998,223586.34,250195.9,199711.29999999996
25,166259.80000000002,240148.44,277259.44000000006,275123.2,257088.8,185341.8,259581.64,236725.4,264130.43999999977,208049.4
26,201723.0,257319.0,282685.0,278085.0,278619.5,215493.0,275192.5,244439.5,271282.5,231501.5
27,257938.9999999999,275090.84,307663.9600000004,288016.8,297605.2,237910.20000000004,279754.44,270645.76,283644.9999999997,255240.12
28,292240.64,293751.62,344622.0,292563.2000000001,299821.98,241504.00000000006,282102.60000000003,290635.69999999995,297038.72,261494.87999999995
29,310503.72,296189.12,366213.27999999997,310625.20000000007,314459.68,258535.6,303751.39999999997,300011.36,323245.2,273384.32
30,342780.64,309273.24,377106.8,312825.8,323699.9,276529.3,330722.28,322227.24,327313.76,286136.38
31,364250.60000000003,316675.19999999984,434494.80000000005,330462.0,373040.2,279328.0,359610.6,328769.60000000003,345723.0,292415.80000000005
32,376840.4,360520.72,474835.07999999996,366136.4,380918.76,291575.70000000007,360511.66,345116.55999999994,351049.46,308888.1
33,392179.67999999993,413136.8399999999,554113.8,394686.2,384788.76,304539.00000000006,389913.08,361583.19999999995,363197.5999999999,324121.6
34,428593.12,468991.25999999983,576829.4,418273.00000000006,411654.48,348048.6000000003,400827.39999999997,370540.84,387174.44,376683.8
35,445592.07999999984,479828.84,595825.48,447289.19999999995,428251.44,392103.20000000077,422534.16000000003,374166.96,424214.2799999998,390113.27999999997
36,492150.1999999998,524134.8999999999,661637.6,480701.0,463184.10000000015,431273.5,436335.49999999994,394704.5999999998,458971.3,398407.9
37,529107.9600000001,531771.24,721188.92,512404.4,482208.4000000004,449955.4,454892.64,431298.3199999999,489015.39999999927,434928.55999999994
38,541338.48,532998.62,739786.2000000001,560932.0000000001,533272.4,476691.7,488189.3,478909.7,558927.7399999996,481060.39999999997
39,596183.1599999999,569891.9199999999,804980.76,582630.0,583227.4400000001,478637.00000000006,527789.92,484175.68,622757.2,514620.63999999984
40,629477.3599999999,590835.72,837830.0800000001,625453.6000000008,602288.86,485392.89999999997,567008.24,485602.32,634419.74,547743.9199999999
41,634272.6,638585.9999999999,916457.0,662481.0,621084.2000000002,500406.0,611741.4000000001,556184.2,675223.1999999996,585721.2
42,657237.52,654418.06,1004673.2,700566.0,675060.2000000001,534519.5,658769.6599999999,579534.5399999999,752791.72,628581.74
43,692769.7600000002,691728.6,1086163.2,719349.0,715036.4800000002,568332.0000000003,705071.7999999999,593287.2,817285.5999999999,640279.92
44,694223.88,764002.7799999997,1146514.16,774629.8000000003,732184.0599999999,595676.3,750032.9400000001,626398.8799999994,907785.5599999999,655892.7799999998
45,733273.2,817682.9999999997,1148315.96,843546.2000000008,738889.4,667988.4000000003,826321.08,679166.0,984836.12,726676.0399999996
46,764464.0,854516.5999999997,1150558.6,896368.0000000001,762083.6000000002,717683.0000000001,889083.0000000001,740335.7999999996,1012327.9999999997,768195.7999999999
47,810526.2,916810.3999999999,1153292.76,961735.0,806485.6000000001,772135.0,958680.4399999998,776052.9199999993,1080382.7599999998,806544.3999999992
48,846881.8,929192.2999999999,1156928.52,969157.2000000002,831392.4000000001,839296.4,1013761.78,848088.8399999994,1131503.8999999992,840718.7
49,886541.2000000001,982200.2,1159001.4,1027035.4000000006,887916.52,890251.2000000001,1019432.28,945591.44,1139453.92,903780.44
50,935712.08,1038688.78,1161237.36,1086307.2000000004,924326.8,938472.4000000004,1032865.1,1016728.3599999999,1139488.96,980129.2799999998
