index,153_1_www.icann.org,153_2_www.icann.org,153_3_www.icann.org,153_4_www.icann.org,153_5_www.icann.org,153_6_www.icann.org,153_7_www.icann.org,153_8_www.icann.org,153_9_www.icann.org,153_10_www.icann.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1553.6200000000001,1889.699999999999,1440.6399999999999,1472.9800000000002,1559.0800000000002,1529.96,1533.6,1462.2000000000003,1225.0399999999997,1472.9800000000002
3,4104.08,5387.68,4110.44,4391.759999999999,4619.360000000001,4131.64,4158.4,4106.2,4497.520000000001,4104.08
4,4414.28,6323.94,5671.519999999998,5536.639999999998,5040.36,4631.32,6722.400000000001,5763.599999999995,6306.92,5265.639999999998
5,8306.12,10619.599999999993,8270.84,8524.88,8881.84,8534.08,9903.4,8622.199999999999,8132.159999999999,8253.88
6,13516.400000000001,22107.899999999998,10805.000000000004,15041.6,12152.60000000001,11345.00000000001,11500.0,15124.0,14637.000000000005,14770.6
7,21714.2,39197.599999999984,22084.56,22339.440000000002,22900.96,20989.6,15364.599999999988,22506.19999999999,23987.84,21897.279999999995
8,23989.579999999998,60553.840000000004,27391.88,28649.219999999987,26094.600000000006,24130.720000000005,15639.99999999999,42449.999999999985,35773.8,41678.89999999998
9,42746.600000000006,64389.04,60178.200000000004,50152.19999999997,43298.08000000001,50024.36000000005,29580.399999999976,79472.2,60918.32000000002,71416.56
10,65744.23999999999,69253.3,66091.64,80043.14,67934.24,73168.64000000004,31555.6,84433.2,81164.68,88036.08000000005
11,77641.4,88992.4,74286.20000000001,82432.0,74014.60000000006,80547.4,64997.0,102342.0,89164.60000000003,115567.8
12,83600.34,113375.39999999998,97626.4,102487.1,100916.48,91033.60000000002,69524.8,139336.99999999997,143360.4,150668.59999999998
13,94487.08000000002,141357.4,109178.59999999999,138960.19999999998,134461.12,132574.63999999998,81177.8,154556.99999999997,147536.72,177714.27999999997
14,117773.79999999994,168834.1,167688.56000000006,178620.14000000004,169652.40000000002,166910.84,106340.59999999996,177879.79999999996,167892.36000000002,208081.16000000003
15,166271.80000000002,183542.79999999996,211493.28000000003,232157.19999999998,187837.96,204089.68000000005,144253.59999999995,204774.99999999997,182240.88,253122.75999999983
16,214099.60000000003,198251.49999999997,249889.79999999996,290618.5,246818.20000000007,227868.40000000002,173664.0,241351.0,226926.4,285006.0
17,250847.88000000003,225233.19999999998,293072.88,320692.12,287055.8,253587.08000000002,208824.8,310064.79999999993,256655.2400000001,338602.28
18,267437.77999999997,287771.92,293321.92,321287.02,294947.72,301591.4,245558.79999999987,359319.9999999998,304644.87999999995,339120.02
19,277648.32,341685.68,294841.32,322538.96,296128.88,346552.84,296298.0,390744.2,312132.96,340398.24
20,281623.08,388970.46,298702.2,326857.9,296170.5200000001,371515.88000000006,357866.00000000006,388805.4,313964.88,342943.7
21,288245.6000000001,386513.6,301300.8,341840.0,298719.4,388368.2,382953.0,418395.0,345341.8,353281.39999999997
22,300180.42,391653.58,350045.24,373839.68,334834.0000000002,399174.32,381035.4,423407.8,348746.8,372640.6
23,341762.24,395892.56,360100.76,387209.6,378214.8000000002,399957.44,384951.0,431900.3999999996,351125.8,433946.67999999976
