index,160_1_www.oracle.com,160_2_www.oracle.com,160_3_www.oracle.com,160_4_www.oracle.com,160_5_www.oracle.com,160_6_www.oracle.com,160_7_www.oracle.com,160_8_www.oracle.com,160_9_www.oracle.com,160_10_www.oracle.com
1,-442.0,67.0,67.0,-442.0,67.0,-442.0,-442.0,67.0,67.0,67.0
2,4059.08,3133.2000000000016,4232.56,3875.64,1482.6000000000001,4132.7,3959.4,1390.3600000000001,1627.5199999999998,2646.0
3,4278.919999999999,5023.5599999999995,4496.4400000000005,4351.76,5853.120000000001,8564.0,4946.399999999997,5007.360000000001,5520.36,4721.0
4,8390.759999999998,8587.52,7953.3200000000015,7706.279999999998,6730.279999999998,18688.200000000004,7580.999999999988,8453.48,8695.84,7673.0
5,18755.32,19141.32,29105.760000000002,20799.800000000003,24708.320000000007,29559.600000000002,28002.199999999975,19129.11999999999,19098.72,30009.0
6,27704.4,28515.0,29441.8,29972.600000000002,29849.8,65065.5,30981.0,28135.4,28143.399999999998,30250.0
7,37586.20000000001,33991.20000000001,66203.79999999999,74321.48000000007,34358.60000000001,95298.0,55431.2,34221.159999999996,47404.60000000002,66766.0
8,68559.48000000004,108001.51999999999,148696.56000000003,111188.76000000001,91700.76,176096.20000000004,80352.39999999995,97090.11999999997,93155.20000000013,108092.0
9,118617.36,173888.08,212639.87999999992,143838.68,135024.44,219430.20000000007,92618.6,138661.47999999998,127559.6,144205.0
10,214853.44,265759.48000000004,307711.15999999974,189873.64,183858.8,293469.0,146551.39999999997,216116.04000000007,146985.2,228648.0
11,296980.20000000007,361629.8000000001,408392.5999999998,238663.6,234747.6,364256.0,203429.0,291541.8,186012.8,279145.0
12,388515.4,427359.76,525542.32,270442.36,280917.43999999994,430133.40000000014,250258.1999999998,337787.27999999997,209703.96000000002,339754.0
13,464258.4,533171.5600000002,624940.48,363856.12000000005,379816.0000000001,505784.60000000003,348039.39999999973,374177.76,249978.92,421552.0
14,500618.0,624656.68,632223.64,397056.2,475194.56,566315.0,449202.5999999999,437396.8,298622.6,497124.0
15,601072.36,632783.88,635023.56,468371.4,489047.64,633744.0,559359.0,525994.36,333635.04000000004,617398.0
16,617388.2,634143.4,640496.0,521412.0,545603.4,636635.5,623246.5,595524.4000000001,372595.6,634899.0
17,632707.64,648430.1200000001,735321.5599999997,618868.48,586008.0,690005.8,634619.8,635105.64,416868.4,639682.0
18,633826.84,686499.36,798557.6,635535.88,641014.56,709207.5000000001,639278.0,638164.68,486869.6,691920.0
19,638033.28,709089.8800000001,808617.88,637601.24,641663.84,793209.4,672670.2,671397.2,576812.2799999998,753654.0
20,713618.64,800157.76,823402.2,660477.8,651899.4,810113.9,696928.6000000002,741143.6,641090.92,805991.0
21,770192.0,810554.6,953018.9999999997,735974.0,685391.3999999998,865050.0,725838.0,799524.0,644241.6,813110.0
22,807277.92,869303.2000000001,993754.44,801818.0,753958.28,976358.7,801127.0,808061.6,649826.2,912245.0
23,829101.4800000001,966520.7200000001,995161.84,844777.7999999998,808208.36,997413.4,810658.4,820180.2399999999,705866.2000000003,968647.0
24,959010.04,994985.32,996725.68,933770.0,817849.52,998281.8,847524.9999999998,885515.36,784208.6,990440.0
25,994454.4800000001,995946.5599999999,1004469.12,948607.16,899820.9200000002,1006151.4,888240.1999999995,927271.68,821515.4800000001,997723.0
26,994229.0,998672.0,1026461.0,984748.0,970528.0,1012543.5,940383.5,963648.0,897832.0,1002405.0
27,1000988.88,1006176.36,1047643.5199999999,988649.12,1002866.84,1039926.6,959375.7999999999,995014.68,980778.52,1018282.0
28,1007494.84,1016567.88,1052270.8800000001,1003870.4,1004531.76,1055917.6,999475.1,998422.64,1002048.48,1026502.0
29,1020024.52,1026703.12,1066267.56,1014502.88,1008545.92,1114893.2,1008811.6,1016274.56,1005167.96,1052641.0
30,1030840.16,1037331.5600000002,1115365.0399999998,1022800.48,1021122.28,1139396.8000000003,1024485.5999999997,1022022.0,1006804.72,1072693.0
31,1053363.6,1051274.8,1171923.6,1051932.6,1025090.8,1180547.0,1031621.0,1024306.6,1010167.0,1121685.0
32,1059669.24,1064521.48,1172499.7999999998,1057025.32,1032412.0399999999,1185163.5,1053135.6,1038785.92,1023555.84,1137400.0
33,1102454.4000000004,1114158.56,1212836.76,1104821.0,1061966.72,1201111.0000000007,1064262.0,1079525.32,1029032.84,1179990.0
34,1171307.0000000002,1143112.6400000001,1288432.44,1141593.04,1074660.8,1291150.0000000002,1108660.4,1117819.28,1038236.92,1187609.0
