index,164_1_www.snapchat.com,164_2_www.snapchat.com,164_3_www.snapchat.com,164_4_www.snapchat.com,164_5_www.snapchat.com,164_6_www.snapchat.com,164_7_www.snapchat.com,164_8_www.snapchat.com,164_9_www.snapchat.com,164_10_www.snapchat.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,-419.72,-435.0,-511.4000000000001,-354.07999999999976,-572.52,371.03999999999985,-261.82,-259.28000000000003,189.75999999999976,-557.24
3,1571.92,1566.0,1468.0,1339.96,1389.6000000000001,1390.52,824.2400000000002,1634.08,1377.8799999999999,1409.2
4,1430.02,1439.5,1488.1000000000001,1375.9600000000003,1531.78,921.2399999999999,1453.3,1330.48,1141.8000000000002,1520.86
5,1117.24,1031.0,2139.000000000001,3965.1600000000003,3549.7999999999993,144.32000000000005,1422.1200000000001,1493.56,3987.48,2893.3999999999987
6,4095.2,4078.0,3981.0,3756.3999999999996,3830.7000000000003,2302.1999999999985,1516.1000000000001,1444.9999999999986,3277.6,3894.9
7,3683.04,3606.0,3675.400000000002,4152.84,4129.52,3852.56,2935.3999999999996,4100.36,2598.84,4091.119999999999
8,4157.34,4111.5,5233.800000000003,5515.2,5628.78,6132.88,4057.36,3837.1199999999994,2858.44,5222.839999999997
9,5361.52,5483.0,5152.2,5210.719999999999,5313.12,6601.4,3747.24,3739.52,5086.88,5255.44
10,5044.5199999999995,5128.5,4629.099999999999,4578.92,4673.26,6588.84,3786.4599999999996,4531.759999999999,5540.8399999999965,4611.62
11,4432.400000000001,4453.0,4106.0,6539.2,7942.599999999995,7651.599999999998,4375.199999999999,5127.8,6997.400000000001,6542.2
12,6351.56,5303.0,8586.199999999999,8532.28,8572.34,8606.44,5583.78,4852.919999999999,8396.56,6324.58
13,6084.08,6123.0,8435.6,8485.84,8543.52,9507.600000000002,5235.88,4343.52,7919.12,8605.84
14,8421.68,7414.0,8177.900000000001,8560.960000000001,8555.38,14297.08,5027.88,5191.319999999999,10919.599999999999,8486.14
15,8188.76,8234.0,8400.800000000001,7786.4800000000005,8160.4400000000005,14169.720000000001,4602.52,6071.16,14168.56,8108.679999999999
16,8393.9,8437.5,7701.5,12824.400000000005,11575.999999999996,15753.2,4951.800000000002,6092.400000000001,14042.8,10088.399999999996
17,9966.76,8035.0,10334.000000000002,14264.88,14393.64,18254.4,6435.32,8342.64,15643.72,10787.320000000002
18,11183.400000000001,9916.0,12854.6,13867.88,14196.04,17887.88,6299.26,8130.72,18312.760000000002,12527.799999999996
19,12777.76,14312.0,13176.800000000001,14705.040000000017,13855.32,31574.160000000003,8105.159999999995,8300.52,17924.2,13871.64
20,13326.120000000003,14128.0,13694.1,18409.8,16355.599999999988,40716.28,8436.380000000001,7856.16,18462.760000000002,17227.199999999993
21,13719.800000000001,14032.0,13794.0,18072.399999999998,18362.0,59476.19999999998,8446.6,8446.999999999996,33591.4,18402.0
22,15100.199999999993,13756.5,18319.6,28145.83999999998,18049.36,74217.75999999997,8466.42,11808.320000000007,33586.72,18092.32
23,18406.760000000002,18445.0,18030.0,36726.48,20766.319999999985,84815.79999999999,8115.4400000000005,11950.96,36285.68,26939.559999999998
24,18125.0,18187.0,20214.600000000006,46839.88000000005,35515.58,89456.40000000001,9378.199999999999,13435.160000000003,36044.72,30267.1
25,17859.6,17907.0,33246.600000000064,56492.799999999996,37067.4,110116.64000000001,12647.84,13591.64,39628.4,35221.15999999996
26,23667.5,20856.0,37954.5,63540.0,46458.5,117897.0,14371.0,13595.0,43317.0,51563.5
27,28385.2,36784.0,41694.00000000001,67861.20000000001,60002.479999999996,132689.71999999997,14234.32,18370.56,47970.6,62698.35999999998
28,36441.86000000001,38919.5,50445.50000000003,73545.40000000001,78180.68,143759.8,14226.88,18152.8,55411.52,69798.62
29,42421.83999999999,70020.0,63139.60000000006,77555.6,84630.95999999999,163895.87999999995,13784.56,17953.8,59486.92,78088.03999999996
30,51919.32000000001,80297.5,72403.80000000003,96004.32,112446.23999999999,178836.48,13843.66,17764.52,64454.119999999995,85946.44
31,56991.59999999999,91938.0,81120.0,107727.80000000002,126173.19999999997,188289.6,17489.600000000002,27734.400000000016,70182.0,97512.19999999992
32,61039.48000000001,101389.5,90048.40000000002,114279.08,138281.83999999997,197742.72,18423.16,35081.520000000004,74178.72,102568.56
33,66060.76,115013.0,95937.20000000001,119108.84000000001,170744.67999999996,207195.84,18221.0,43031.8,81074.75999999997,107343.24
34,75606.65999999995,120520.0,113957.9,130571.6,187617.24,216648.96,18004.36,47749.96000000002,101965.43999999996,107133.74
35,89521.32,132842.0,116570.2,149972.84,206325.99999999997,226102.08,19303.760000000006,52749.6,116248.15999999995,109811.79999999999
36,103225.49999999999,143119.5,124101.5,169995.80000000002,226643.09999999998,234418.0,40134.40000000002,56938.00000000001,127795.2,124596.39999999985
37,111212.28000000003,158849.0,145560.00000000003,179823.52000000002,239872.59999999998,242220.68000000002,62192.839999999975,66372.63999999996,134372.03999999998,137001.79999999996
38,145613.99999999997,172548.0,157341.2,187339.4,250648.69999999998,257670.44,69214.16000000002,84457.12000000002,148621.15999999995,142707.74000000002
39,159679.76000000004,195760.0,164760.80000000002,194386.6,266004.48,270285.72,76189.59999999998,99132.27999999996,174428.5199999999,156607.23999999996
40,172409.77999999997,200585.5,177632.40000000002,212170.68000000002,278949.2399999999,291351.6,83742.04000000001,105549.84,189440.91999999998,169672.3
41,185685.0,223130.0,185052.0,225592.60000000006,307216.3999999999,307292.5999999999,86290.0,107532.4,216393.2,186826.0
42,208777.74,249082.0,192471.6,241353.04,323977.0199999999,331056.16,106349.52000000002,118691.84000000001,225626.47999999998,186810.02
43,230663.19999999998,261404.0,202617.2,245717.67999999996,329453.48,330849.92,108967.4,132008.40000000002,242492.56000000006,193081.99999999997
44,243611.3,268274.0,214262.10000000003,261297.68,329857.22,346202.8,110180.20000000001,137114.91999999998,254671.59999999998,214947.87999999992
45,255174.4,275144.0,221818.00000000003,278673.8,330069.52,345769.64,120700.8,146228.92000000004,270546.68000000005,223747.8
46,261443.80000000002,277866.5,227729.00000000012,290627.80000000005,330016.3,348784.2,123221.50000000001,151412.4,284280.19999999995,234345.79999999996
47,271270.8,295582.0,242083.6,306398.2,331011.2,348904.96,133726.36,157255.2,294061.6,238001.84
48,275385.12,311311.5,246505.5,327515.6800000001,341745.39999999997,349642.68,147786.60000000003,165001.11999999997,313579.39999999997,251110.71999999994
49,290471.8,329733.0,260854.4000000001,330338.12,346865.44,349280.92,162816.84,170934.16,325514.44,259880.04
50,299330.89999999997,330033.5,268933.5,330284.52,346998.36,351075.24,170159.16,179266.08000000002,332512.39999999997,261380.29999999996
