index,165_1_www.symantec.com,165_2_www.symantec.com,165_3_www.symantec.com,165_4_www.symantec.com,165_5_www.symantec.com,165_6_www.symantec.com,165_7_www.symantec.com,165_8_www.symantec.com,165_9_www.symantec.com,165_10_www.symantec.com
1,67.0,-442.0,-442.0,-442.0,-442.0,256.0,-442.0,-442.0,-442.0,-442.0
2,3820.88,5317.919999999999,4125.28,5121.0199999999995,2298.5,4187.34,5368.82,5285.92,4099.84,4126.34
3,7815.960000000005,8036.5199999999995,8448.32,8101.3600000000015,8450.0,8549.76,7534.3600000000015,12013.959999999994,8356.24,8497.44
4,18611.44000000001,18879.36,19123.44,19076.72,19028.0,19100.679999999997,18372.36,19188.559999999998,18383.4,18266.54
5,21043.04,20081.48,19830.36,20353.84,19622.0,35088.56,39528.2,29370.08,18792.680000000004,20217.720000000005
6,46447.40000000002,60747.1,43326.200000000004,69562.1,71130.0,37033.9,50015.1,93089.59999999998,29665.8,183672.59999999998
7,61166.24,66438.04,54431.24,71461.12,156473.0,80879.39999999998,83721.12,124280.36,131068.08000000012,223117.99999999994
8,74350.96,71742.4799999999,71095.44,101772.15999999999,204281.5,92859.66,110450.72,156735.64,228444.28,324316.4799999999
9,84275.08,80534.52,84886.4,107043.68000000001,244926.0,129348.43999999999,119339.23999999987,162809.48,300181.2400000001,345596.8
10,99062.84,117853.80000000002,110250.44,135639.39999999997,245851.0,173580.03999999998,206828.18,223342.63999999998,345407.88,343938.86
11,140877.4000000001,145174.8,149440.80000000005,172635.99999999985,310521.0,224980.5999999998,260885.5999999999,251951.59999999998,344139.6,346691.4
12,189803.80000000002,173613.19999999995,183301.12,229961.3199999999,342729.0,279164.61999999994,302406.6,285911.88,350205.04000000004,359073.62
13,259335.64000000007,214238.67999999996,239474.56000000003,261454.24,362703.0,324220.08,358253.52,335705.19999999995,363073.56,373663.72000000003
14,321237.4,250647.30000000002,356838.6800000001,320115.12,399436.0,328614.74,420610.95999999996,405201.96,374085.72000000003,422800.75999999995
15,383853.08,326028.0799999995,390703.20000000065,371729.83999999997,440236.0,345175.44,436093.56,429384.4799999999,418493.0400000002,425394.32
16,417551.00000000006,424513.3,429324.00000000006,419218.99999999994,459427.5,366959.8,466142.2,472245.5999999999,425073.6,458133.7999999999
17,443589.92,450459.3199999999,450051.68000000005,447301.12,480306.0,373232.28,483413.27999999997,511609.84,456058.08,476451.39999999997
18,477337.76,459820.98,465912.68,465497.54,496201.5,380353.02,486639.9,543447.1199999996,475983.32,479052.84
19,487382.84,462899.80000000005,478252.24,467110.16,498776.0,420272.36,483963.48,549449.36,479361.96,477163.48
