index,180_1_www.aboutads.info,180_2_www.aboutads.info,180_3_www.aboutads.info,180_4_www.aboutads.info,180_5_www.aboutads.info,180_6_www.aboutads.info,180_7_www.aboutads.info,180_8_www.aboutads.info,180_9_www.aboutads.info,180_10_www.aboutads.info
1,1210.0,1210.0,-442.0,1210.0,-442.0,1210.0,1210.0,1210.0,1210.0,1210.0
2,2686.8,2730.9,1341.54,2745.6,1480.82,2804.4,2760.3,2875.8,2667.2000000000003,2775.0
3,5280.04,5313.64,4076.28,5323.96,3575.4399999999996,5365.24,5334.28,3530.999999999999,5262.76,5344.6
4,6500.52,6537.98,4715.040000000001,6516.3200000000015,4771.42,6702.36,6560.42,5365.299999999999,3932.08,6833.4
5,7477.24,7561.52,4328.96,5586.04,6237.279999999996,6129.120000000001,7558.04,6351.6,7672.56,7369.800000000001
6,9453.199999999999,9566.1,5876.7,9422.6,21209.899999999998,9517.6,9479.699999999999,7382.0,11070.39999999997,9718.0
7,20393.52,15589.039999999999,15111.16,15037.439999999999,19623.84,22507.52,21949.079999999998,9644.199999999999,20646.88,25380.8
8,19012.56,13848.880000000001,20905.76,22523.48,23039.06,20920.44,19994.18,20537.399999999998,22875.19999999998,23805.6
9,22396.92,16989.72,19557.56,21563.079999999998,31070.559999999994,27049.64,23263.32,19014.2,29717.88,28338.8
10,24449.39999999999,20669.92,20629.86,25737.199999999993,34528.68,25559.64,25201.84,18845.499999999993,31281.04,31763.8
11,32845.399999999965,21950.2,27162.200000000004,29779.399999999998,35330.799999999996,27475.4,33724.6,26822.0,34687.6,35279.0
12,36899.96,35659.68,26726.32,31267.08,35822.68,35624.88,35255.14,26503.8,36708.159999999996,37080.8
13,36828.64,36681.24,29592.480000000025,35848.119999999995,43347.79999999999,36694.840000000004,38728.88000000003,27927.200000000004,37200.92,36971.0
14,39501.0,37090.24,34517.07999999999,43362.72,47834.04,62666.480000000025,54549.81999999998,35706.4,55832.68,37416.4
15,48256.56,37828.799999999996,48000.920000000006,56717.600000000006,58677.36,74675.0,87961.36,36716.8,66746.6,52908.2
16,49363.79999999999,43456.8,59012.199999999975,77465.20000000001,83966.8,97590.8,97435.4,51597.0,80170.4,53300.0
17,50741.88,55968.799999999996,78485.23999999999,101597.88,84416.84,109631.72,101880.88,67337.2,92178.67999999998,61981.0
18,60303.399999999965,67997.09999999999,98272.08000000002,120305.99999999999,101482.84,118147.76,102929.46,80827.6,97380.16,64080.6
19,88038.59999999996,70507.92,118299.79999999999,128274.24,116520.67999999996,118716.92,117309.40000000002,96878.99999999999,100031.31999999996,96565.4
20,96644.71999999996,86854.73999999999,123036.04,128935.32,133180.59999999998,122413.20000000001,117739.92,107058.9,127415.07999999999,110846.8
21,126984.39999999998,103590.4,130018.8,132536.40000000002,135487.2,146939.39999999994,118832.8,108313.0,142320.99999999997,123217.0
22,127540.24,122070.59999999998,132364.28,157918.2,144771.92,177045.64,127431.08000000002,119680.79999999994,168884.96,144417.8
23,131097.12,123881.52,137896.28,177575.40000000002,171957.27999999997,188153.47999999998,147381.56,128920.99999999996,169626.92,157539.6
24,136157.8,134640.46,168156.3,201453.64,208415.04,208820.08000000002,175688.47999999992,151254.5,172768.52,158608.4
25,147991.4,146023.48,193726.88000000003,200519.32,213293.48,210981.72000000003,190842.32,171800.39999999994,183043.59999999998,165656.00000000003
26,190503.0,176222.0,208183.0,204718.0,214416.5,212681.0,191608.5,182896.0,207940.0,180404.0
27,203489.6,193181.12,209319.76,210354.32,228681.4799999999,236928.32,203903.51999999987,181970.2,226946.55999999997,205933.20000000007
28,210472.16,194559.26,210984.52,234527.40000000002,249033.96,248682.88,224938.69999999998,184296.79999999996,233412.96,219122.2
29,213086.68,202991.71999999997,215587.0,253619.04,258913.08,253631.76,241287.72,195187.2,234454.92,220878.59999999998
30,224317.24000000002,218616.36,234615.9,259265.04,260240.82,255015.04,240421.78,207592.79999999993,235816.24,223072.8
31,234794.99999999997,230160.0,244413.2,262287.2,273173.39999999997,264434.80000000005,241762.2,222406.0,268997.8,239587.0
32,259486.11999999994,237147.04,246056.02000000002,264014.68,281800.16000000003,274306.52,252558.1,232459.49999999997,283797.16,258188.8
33,266605.56,247027.12,249414.12,283800.24,282621.64,275328.44,267211.76,234233.8,293411.2399999999,274302.8
34,268260.64,248532.66,252674.3,282337.92,283953.14,276733.64,272567.0,243701.40000000002,315233.16000000003,275579.4
35,270139.96,257127.12,276337.4,283685.52,286587.08,277990.88,292581.24,243138.6,317953.76,276687.2
36,272385.4,266320.7,280726.7,287565.2,293871.3,278458.4,303709.0,250064.5,319273.6,283200.0
37,286891.16,272643.27999999997,282019.64,288873.52,294222.96,286226.32,311000.2,264952.0,318135.6399999999,284199.2
38,290176.39999999997,287339.48,288854.96,296222.32000000007,297921.94,286607.64,315231.12,271952.7,319272.24,285403.6
39,289402.36,296989.92,293040.52,298064.64,299013.04,291139.80000000005,313874.16,271641.4,322871.32,287110.2
40,291378.36,300273.68,293584.8399999999,311430.52,314137.43999999994,294281.16,315376.89999999997,274740.2,324173.96,288405.2
41,295497.4,303607.6,305576.8,322350.6,320328.2,297927.2,318464.6,275945.0,328340.6,295969.0
42,302817.96,311324.4599999999,307567.88,323606.12,324298.9,312789.32,327456.62,277720.8,330690.96,304838.6
43,313036.48,313105.28,308541.68,324675.76,333660.39999999997,315262.36,328435.52,289595.79999999993,340838.12,312473.0
44,316693.08,314142.86,319417.24,327502.92,350343.36,315120.04,329826.22,293043.2,350157.92,315278.4
45,329937.36,320268.91999999987,320679.08,351781.1600000001,352306.12,323444.48,331317.56,299705.4,364750.84,317780.2
46,330879.8,329416.9,322196.3,352735.4,356722.1,324620.6,334566.5,301124.5,370664.6,331030.0
47,347038.24,332330.32000000007,337979.04,361412.72,380423.6,334926.08,335603.28,312139.2,387718.16,346607.9999999999
48,348360.72000000003,335510.36,341895.54000000004,376840.8000000001,384136.96,351559.24,350773.72000000003,313512.1,402934.1599999999,355427.6
49,357596.19999999995,336651.24,343211.08,392807.64,405650.1599999999,360949.84,357400.76000000007,323716.4,417130.72,359656.00000000006
50,369820.76,344687.82,346196.08,400283.68,417046.22000000003,371841.92,374014.2,326675.2,418429.04000000004,367638.6
