index,206_1_www.justice.gov,206_2_www.justice.gov,206_3_www.justice.gov,206_4_www.justice.gov,206_5_www.justice.gov,206_6_www.justice.gov,206_7_www.justice.gov,206_8_www.justice.gov,206_9_www.justice.gov,206_10_www.justice.gov
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1484.46,1450.56,1458.46,1444.24,1431.6000000000001,1467.94,1557.4,1379.46,1452.14,1504.48
3,3626.0400000000004,3590.88,3580.08,3599.52,3670.2,3567.12,3586.56,3983.16,3588.72,3880.1599999999994
4,4386.82,4881.56,5334.96,4885.32,4999.8,4834.44,5103.72,5383.58,5165.02,4264.880000000001
5,8447.24,6303.24,6441.84,6407.8399999999965,6120.799999999999,8303.76,7697.519999999998,4099.28,6164.56,8297.12
6,8037.000000000009,8021.2,8350.699999999999,8207.8,8297.0,7853.3,8464.4,8411.199999999999,8314.300000000001,8084.999999999997
7,14449.8,14760.68,15005.880000000001,14663.72,13877.60000000001,14475.359999999999,14759.16,7715.840000000001,14824.92,14380.399999999998
8,24851.94,25938.36,26722.24,26281.079999999998,22722.800000000014,25441.1,26198.68,14188.36,26499.38,26667.359999999986
9,26312.359999999997,26873.16,27045.44,23705.64,24912.399999999998,26807.12,26517.08,26110.559999999998,27117.12,25653.76
10,24353.78,25379.239999999998,25606.620000000003,21915.96,23180.199999999997,41373.24000000002,25584.16,27072.14,25599.58,23935.36
11,51086.799999999996,28224.6,24665.199999999997,40341.8,40772.0,45697.2,60301.8,25733.199999999997,49392.99999999992,46021.399999999994
12,60656.159999999996,53962.72,25746.54,66158.08,55113.40000000001,48101.660000000025,80837.92,24304.86,56124.86,60479.4
13,84322.4,59788.48,46357.52,70190.88,63268.00000000002,57093.68,80868.76,52463.399999999936,62181.72,64470.8
14,88471.48,63726.32,62871.06,75305.48,93402.2,63334.22,101022.44,66864.12,77207.54,68353.56
15,91170.84,93927.35999999999,65080.44,76539.36,92530.0,69319.16,100594.72,69519.76,76741.96,71053.92
16,95114.1,104630.4,69127.9,78858.6,98280.0,73407.7,98941.6,72700.9,76740.4,105205.20000000001
17,109145.36,104307.96,76790.24,101396.0,102959.2,105171.32000000004,108041.99999999999,72138.36,106453.00000000001,102898.68
18,108667.04,108616.08,97139.60000000002,102412.72000000002,103589.2,110651.42,108148.24,74388.82,107350.42,104208.08
19,108165.16,105657.48,100437.52,100519.59999999996,107658.00000000003,117434.68000000001,115103.36000000002,106357.28000000001,107344.76,108883.95999999999
20,115238.36,111977.32,99298.44,119349.91999999978,108276.6,117931.5,113427.0,108990.46,110075.58,108993.0
21,114035.8,110662.00000000001,110748.6,147450.4,145081.0,117024.8,114172.6,107209.79999999999,108611.0,117374.6
22,153658.76,108739.04,116243.45999999995,156522.8399999999,148141.8,119212.74,130809.56,108048.6,111496.04,115775.84
23,154724.40000000005,109646.76,144847.6,162516.48,160910.80000000002,161846.08000000007,144957.51999999996,108568.56,112286.31999999999,117561.56
24,174904.60000000003,129303.4,160659.18,166419.88,163940.0,168855.46,165357.87999999992,108705.18,120544.62,125869.71999999997
25,219397.08,145148.51999999981,162980.19999999998,201474.36,192407.00000000003,175237.48000000019,180417.9199999999,141490.55999999985,158784.44000000003,167218.79999999978
26,272175.0,203465.0,204331.0,214866.0,194086.0,196191.0,239463.0,158575.0,197832.5,175563.00000000003
27,287626.2,242283.75999999983,232811.52000000002,232405.52000000002,215934.0,201582.20000000004,276619.20000000007,170039.16,232793.19999999998,194171.43999999992
28,323896.02,260436.6,268817.44,249195.63999999984,229720.4,206773.08,309974.1999999999,187846.96000000002,247943.4,246253.68000000002
29,371301.27999999997,287595.5199999998,336552.72,269156.27999999997,308095.6000000002,253849.0400000001,358586.15999999986,241016.88,279056.8800000003,262390.79999999993
30,378177.0,336971.36000000004,382732.08,311823.7199999997,340556.6,295281.56,406554.12,272221.16,314565.44,275368.32
31,392032.0,372865.60000000003,406928.2,354907.2,352003.0,334605.4,419674.99999999994,308109.0,363445.80000000016,326620.9999999998
32,406966.18000000005,386064.64,422850.12,398313.27999999997,385909.60000000003,375777.43999999994,423834.6,347998.49999999994,376685.60000000003,361895.52
33,442710.4,429028.4399999998,480127.08000000013,420900.16,427223.00000000006,382668.6,463531.36,371525.24,456074.16000000003,361015.16
34,468488.5800000001,461543.56,511732.58,474982.44,494793.8,380768.98,513746.63999999996,373208.18,502897.72000000003,379508.87999999966
35,470007.27999999997,512272.23999999993,538561.68,512090.52,511066.39999999997,397192.80000000005,542895.16,374879.08,530125.0,393987.16
36,515008.40000000026,550568.2,566986.4,529946.7999999999,565607.0,445696.9,585943.0,401816.60000000003,584266.6000000003,436411.39999999985
37,549250.64,604119.4,582392.64,553111.6,616409.0000000001,452196.48,643266.6000000001,453704.5200000001,637711.2,467495.52
38,639225.9600000002,643721.4000000001,644949.02,603444.4399999998,672158.8,525069.9199999999,700867.9599999995,501121.79999999993,672866.28,485987.23999999993
39,673920.08,711640.0399999999,670671.72,659394.6799999996,721965.6,559084.64,791874.0399999996,535149.04,676995.6,506220.36
40,683285.28,775871.7999999997,681990.04,711462.32,735217.0,613081.42,830353.3999999999,568183.2000000001,725063.9,514777.3199999999
41,683724.8,862857.5999999994,697797.2,780206.3999999997,804383.0,669547.2000000001,847056.1999999998,611166.0000000001,794316.7999999999,544786.7999999999
42,702523.2,893488.76,701665.7999999999,870653.7599999998,839582.2000000001,691146.48,895622.08,670175.0400000005,847599.92,589183.9599999997
43,707888.5200000004,897271.08,700505.4400000001,893523.04,894149.6000000001,701661.2,896365.96,684158.36,894274.28,614688.12
44,761615.0000000003,896752.72,725817.0,894832.08,894241.8,708804.6000000001,896723.64,682910.44,895709.62,645309.9599999998
45,806634.8000000003,903159.24,790701.4400000001,896672.56,895679.4,777944.8000000002,903184.88,682720.32,896764.7999999999,692446.44
46,867583.8000000005,903846.6,845051.7000000001,899726.0,897521.0,830834.6,903666.8,702088.4,896748.7,716316.3999999998
47,920048.2400000007,922639.8,923951.64,902169.88,902716.2000000001,901014.36,922573.6,760877.92,903171.12,750981.24
48,922628.46,922232.92,923023.46,904766.24,903316.8,923095.34,922060.72,800396.4400000001,903632.94,775724.2
49,924006.52,924329.4,924350.08,924395.08,922895.8,924240.88,924121.8,825552.6799999999,923423.52,813896.1199999999
50,927641.16,927450.96,928073.64,923654.84,922572.8,926410.56,927284.52,847053.48,924173.14,839537.76
