index,221_1_moodle.org,221_2_moodle.org,221_3_moodle.org,221_4_moodle.org,221_5_moodle.org,221_6_moodle.org,221_7_moodle.org,221_8_moodle.org,221_9_moodle.org,221_10_moodle.org
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1463.1,1596.02,1355.76,1327.32,1438.6000000000001,1594.12,1448.3999999999999,1347.86,1487.6,1526.8
3,2769.7999999999997,2604.2,4045.3199999999997,4107.24,3141.7999999999993,1440.6399999999999,3018.2000000000016,4062.52,2355.800000000001,1693.4000000000005
4,3704.3599999999988,3638.3800000000006,4536.400000000001,4097.72,3880.1599999999994,3942.12,3823.480000000001,4163.799999999999,3554.16,3580.08
5,5195.52,5424.64,4428.24,4629.24,5105.92,4484.64,5336.08,4433.64,5287.96,5235.96
6,4267.799999999999,4389.200000000001,6646.200000000006,6984.399999999997,5548.599999999995,5027.799999999999,6572.4,6214.3,4284.799999999999,4324.2
7,8196.08,7108.480000000002,8062.04,8317.92,8569.12,5689.519999999998,8659.88,8430.44,6248.68,6002.84
8,8165.26,8657.06,12135.119999999999,10692.200000000004,8181.04,6951.440000000008,8569.960000000001,12006.96,8399.84,8138.4800000000005
9,10089.199999999999,11852.68,11794.000000000002,11679.44,12015.72,8300.84,12361.44,11653.12,10711.200000000004,7891.600000000002
10,11804.28,12182.64,12515.04,13373.960000000001,11973.32,8608.599999999997,12014.719999999998,12471.94,11934.32,11910.16
11,11868.6,12329.4,14128.400000000003,14497.600000000002,12927.6,12026.8,13040.4,13952.6,12822.400000000001,11730.0
12,12135.160000000002,12826.88,29194.28000000002,14866.2,14468.72,11559.72,14445.76,27087.199999999924,13927.320000000007,12394.319999999998
13,13824.439999999997,14480.160000000002,32182.04,33115.88,14527.24,12783.92,14396.32,32052.519999999997,14932.240000000002,14293.68
14,20850.639999999927,24117.71999999998,32544.6,32112.36,32332.919999999976,14387.56,14704.320000000002,35246.24,23463.07999999997,14271.28
15,32088.16,32504.68,34825.20000000002,33864.48,31982.16,14239.480000000003,25107.47999999999,52829.75999999998,32858.52,32716.44
16,33758.8,33408.200000000004,83943.80000000008,46532.00000000002,33176.799999999996,18920.399999999976,32678.8,105116.0,32067.199999999997,31750.8
17,33415.48,33910.36,137092.88000000006,102605.48000000001,34331.31999999998,32546.76,31929.12,128878.07999999996,33722.48,31844.640000000003
