index,236_1_www.unicef.org,236_2_www.unicef.org,236_3_www.unicef.org,236_4_www.unicef.org,236_5_www.unicef.org,236_6_www.unicef.org,236_7_www.unicef.org,236_8_www.unicef.org,236_9_www.unicef.org,236_10_www.unicef.org
1,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,6532.38,13029.999999999998,8282.9,8276.199999999999,10159.800000000007,10047.7,10120.4,8351.3,8288.960000000001,8345.8
3,30072.56,80412.2,35516.799999999996,36841.16000000001,75003.92,72551.6,21573.00000000001,35199.12000000001,38965.32,37195.6
4,109304.06,264256.4,115722.80000000019,113264.24000000003,141480.82000000004,143965.8,50675.000000000015,114236.34,129671.31999999998,109407.16
5,135634.92,409227.2,146129.4,152997.52,252735.76000000004,228344.8,151964.8,264978.12,145548.84,251683.2
6,252159.59999999998,519399.0,239851.5,199456.40000000008,416009.7,418782.5,226363.0,363504.9,300919.0000000001,289100.39999999997
7,405709.52,723044.2,419154.2,419919.6000000002,562627.8800000001,547008.8000000003,420100.2,455815.72000000003,420286.96,417050.4
8,506085.95999999996,771698.2,557808.0000000002,546900.3600000001,732666.02,728671.8,528826.8000000002,544337.92,596808.5200000001,531032.04
9,661841.6799999999,849485.0,721633.0000000001,725900.04,902615.04,773183.6,611237.0,703405.1600000003,729582.2000000001,717014.6000000001
10,744994.3600000001,1012562.8,769554.1000000001,884573.4800000002,952737.9600000001,946035.0000000001,734370.0,755056.1,772992.64,766741.12
11,773239.2,1038353.0,831001.0,927456.6,1042436.0000000005,1021868.0,778956.0,816225.2000000009,855204.6000000001,827217.0
12,854345.38,1179185.0,1004406.6,1005209.88,1104709.46,1075116.9,859943.4000000001,1003970.92,1005404.64,1002844.16
13,976339.8399999997,1286364.6,1023586.6,1059947.4,1172027.76,1083707.0,1013920.4,1024048.4,1060334.0,1030673.6
14,1014270.2000000001,1319979.6,1148290.8,1154900.04,1294618.18,1110785.8,1067677.0,1144071.22,1145836.4,1108009.44
15,1071587.28,1361357.6,1211356.8,1165350.32,1306533.68,1158892.0,1162376.6,1177029.4,1162166.64,1158446.8
16,1084760.1,1369676.0,1279650.5,1267132.6,1333590.8,1341669.0,1285069.0,1278261.4,1175608.8,1167883.5999999999
17,1092955.4,1400956.6,1286463.8,1293137.32,1376484.16,1393320.4,1295641.2,1293028.76,1215360.36,1177201.92
18,1116795.3,1425556.6,1327350.3,1302953.4,1384386.34,1423013.2,1301714.4000000001,1320388.64,1280404.8,1190073.72
19,1124934.32,1470797.2,1388803.2,1335665.84,1432118.48,1560962.4,1358959.8,1369019.0,1369766.32,1243347.72
20,1219335.8999999997,1563886.9999999995,1395129.1,1377636.3600000003,1457375.34,1571343.9000000001,1369733.2,1394244.9,1393835.24,1362459.36
21,1344100.6,1691055.0,1410641.0,1387372.8,1580538.6000000003,1598452.0,1373963.0,1398540.8,1398048.5999999999,1370077.0
22,1368190.92,1864218.7999999998,1428364.7,1412390.44,1739840.9000000001,1621801.7,1424739.8,1440842.18,1454641.2400000012,1395131.4000000001
23,1372619.4000000001,1877722.4,1503172.8,1479376.04,1886990.16,1768108.8000000007,1462159.4,1567132.28,1569539.12,1456062.76
24,1403997.56,1881180.3999999997,1571643.3,1642706.4400000002,1970500.1,1867820.6,1544008.0,1576052.44,1578427.56,1466712.24
25,1421415.68,1893773.2,1623897.0000000007,1733414.5600000012,1981513.36,1881453.8,1674960.8000000003,1695460.1600000006,1607003.52,1551794.0000000002
26,1441567.0,1978232.0,1734418.5,1853725.0000000002,1995260.0,1952844.0,1743299.0,1733207.5,1739556.0,1738312.0
27,1492099.0,1974905.8,1858277.4,1864065.88,2007751.16,1959689.2000000002,1860718.6,1856829.92,1840242.68,1754585.9600000007
28,1512316.44,1998862.2,1860674.7,1873850.24,2013550.56,1972682.3,1871763.4,1871251.82,1869278.6400000001,1858909.36
29,1629152.12,2010574.6,1870699.2,1877920.52,2018803.4,1976743.4,1877929.3999999997,1876643.24,1877450.72,1874965.04
30,1746259.12,2020111.2000000002,1882335.0000000007,1892589.48,2044618.94,1990710.0000000005,1882538.0000000005,1891627.26,1879822.36,1881460.6
31,1869033.7999999996,2040890.0,1957464.0,1971925.2,2046844.0,2001570.0,1966501.0,1932101.6,1887490.2,1910738.6000000024
