index,249_1_taz.de,249_2_taz.de,249_3_taz.de,249_4_taz.de,249_5_taz.de,249_6_taz.de,249_7_taz.de,249_8_taz.de,249_9_taz.de,249_10_taz.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3644.5199999999995,5343.760000000001,4915.199999999998,5104.580000000002,4153.1,4099.84,3891.879999999999,4103.02,4086.06,4113.62
3,6062.5599999999995,7978.72,8330.68,8219.84,8353.4,8448.24,8585.16,8610.32,9792.16,8393.28
4,15026.36,89017.16,78752.4,85268.2,31506.00000000004,35483.040000000015,15617.400000000003,17743.60000000001,16261.44,50241.340000000004
5,103895.84,111918.16,81709.28,91414.64,139468.8,76796.88,59075.91999999989,99157.52,38803.60000000002,115931.75999999998
6,117908.8,197161.80000000013,149051.39999999985,115780.50000000001,171539.0,109425.6,114952.79999999999,110822.89999999998,102388.1,155931.6
7,124354.40000000002,268175.16000000003,245124.76,125411.88,253977.8,113554.72,163538.63999999998,131974.96,126374.52,193419.84
8,190861.96,322063.88,281954.3399999998,188668.74,296529.9,130020.56,183675.56,202162.92,175813.26,220174.02
9,295825.72000000003,377151.92,338636.12,272603.0400000001,334020.4000000001,138702.48,207644.27999999982,263765.48,242629.00000000003,244244.8
10,303800.56,477870.5200000001,376163.82,320929.3,367883.3,241209.24000000002,265012.98,301112.12,285384.02,328724.27999999997
11,382630.8,513315.6,454354.99999999994,388432.0,403134.0,274322.6,309555.0,338721.6,332115.8,408698.99999999994
12,382206.12,578295.56,512859.63999999996,442362.4400000001,488862.6,323922.76,418248.18,433340.48,376434.86,479931.16
13,420713.24,704237.64,533861.6,506676.4,524347.0,375998.64,487903.12,490778.6,446478.5599999998,544763.16
14,508906.0,767855.64,611502.3999999999,523430.58,578562.8,391125.4,546867.18,526104.94,548447.58,600897.3999999999
15,566722.76,805322.84,666082.2,623803.8,654409.4000000001,465758.12,602223.2,611002.04,590162.96,651370.2
16,622197.4,857047.0,689487.2,670298.5,725630.0,499158.00000000006,679287.5,721845.8999999997,702081.7,700124.3999999996
17,705025.76,890050.28,779244.8799999998,696616.24,800300.4,518157.48,766153.56,792840.48,717785.88,807260.56
18,745669.04,976103.5599999999,815809.7,724798.04,823650.3,541976.6799999999,822130.8199999997,825753.1,781742.16,837744.82
19,806017.16,1025137.4800000001,858147.16,762121.56,833241.4000000001,593734.92,856637.36,855525.88,824201.24,872503.3199999996
20,856714.5599999999,1089987.8800000001,952944.1999999998,790568.78,892294.3,630114.4,872375.3999999999,889280.6000000001,888398.24,933492.9999999999
21,863536.4,1115373.8,991396.6,830039.4,946383.0,674999.6000000001,951012.9999999999,959433.0,912187.0000000003,1011231.3999999998
22,920313.28,1121739.52,1071248.64,843947.7000000001,972937.7,724129.8,960434.5999999999,1011970.5000000002,987804.9599999998,1061268.24
23,979880.6,1218634.56,1110435.28,896843.6000000001,1024177.0,753260.2,977590.32,1080915.5999999999,1081068.92,1103050.92
24,1036501.0800000001,1346890.44,1121992.94,940447.8400000005,1051375.8,802221.1200000001,1072891.8,1112345.22,1116181.6400000001,1172382.6399999997
25,1101152.36,1355118.08,1137335.92,1009290.32,1117638.4,847005.56,1110778.68,1114925.4,1123786.4,1224951.4799999997
26,1109486.0,1446951.0,1216661.4999999995,1061649.5,1136679.0,913723.0,1116925.5,1156660.0,1127504.5,1268432.5
27,1112331.52,1536301.36,1309502.0799999996,1116204.4,1187065.0,990268.4000000004,1123275.36,1177670.68,1156667.2400000002,1284727.16
28,1118172.2,1562281.0,1356235.42,1195595.12,1298951.4000000004,1082748.08,1152986.68,1189707.74,1238027.2400000002,1290047.88
29,1145757.8800000001,1587422.84,1372126.2399999995,1294614.28,1354266.8,1152978.8,1198264.92,1279487.2400000002,1286957.44,1324972.32
30,1210219.2,1600130.76,1480613.8999999987,1350114.64,1376219.9000000004,1215544.68,1293508.98,1354845.78,1359967.22,1392980.74
31,1299480.0,1616170.8000000003,1536725.2,1386688.0,1396306.0,1290229.2,1381845.0,1363363.0,1413420.9999999998,1455905.2
32,1343722.2,1680744.16,1565004.9,1494909.4200000002,1467725.8,1314203.4800000002,1474669.0399999998,1381230.96,1541587.3,1543951.8
33,1378483.9600000004,1837471.28,1573895.52,1533588.4400000002,1561660.8,1373347.2000000002,1537847.96,1490332.2,1568398.2,1550917.6399999997
34,1496488.8800000001,1864519.76,1589252.4,1561448.86,1584247.1,1461299.76,1562747.8,1557416.6999999997,1581162.32,1577841.54
35,1534884.92,1961541.24,1595664.5599999998,1574061.6800000002,1603061.8,1535738.1199999996,1572159.28,1586630.16,1590291.3599999999,1592719.92
