index,252_1_www.faz.net,252_2_www.faz.net,252_3_www.faz.net,252_4_www.faz.net,252_5_www.faz.net,252_6_www.faz.net,252_7_www.faz.net,252_8_www.faz.net,252_9_www.faz.net,252_10_www.faz.net
1,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0
2,16415.239999999998,18204.719999999998,37725.00000000001,21962.800000000003,33712.0,24864.400000000005,37388.59999999996,42380.40000000001,47997.020000000004,51866.68000000002
3,165677.68,188982.19999999995,100939.4,53136.159999999996,115031.72,74142.72,171447.84,78271.2,148264.24,119642.40000000001
4,350208.6,371255.95999999996,206050.50000000003,183832.4,246817.83999999994,229169.92000000004,251273.19999999995,175371.80000000005,239332.1,229375.9999999999
5,533994.8,539351.64,367494.4,327882.2,417595.32,358021.2,421848.51999999996,314552.0,350188.44,351018.64
6,721117.7,692207.2,554584.0,527926.4,574359.4,502701.00000000006,564112.7999999998,441224.0,470766.50000000006,497520.20000000007
7,876407.68,876243.52,736580.0000000001,787539.2000000001,766574.6,622600.4,790630.96,559427.8,623490.5200000001,687250.2799999998
8,916413.4200000002,914763.16,874414.1,885733.96,885788.16,726538.12,878300.88,790822.2,805472.18,857152.12
9,1051655.6400000001,1006363.76,898922.0,902756.24,895937.88,771952.56,891269.84,883921.6,884925.08,886819.48
10,1083921.52,1088831.4,991501.1,930917.08,922647.0399999999,817218.88,979146.7999999999,896306.3999999999,926569.02,903086.4400000001
11,1114424.6000000003,1229326.2,1081345.0,1034984.9999999999,1014653.0000000001,900190.0,1075724.5999999999,941981.0,986172.0000000001,973970.8000000002
12,1252585.4,1320547.16,1178830.3,1186772.5600000005,1078570.92,1058320.28,1121053.4,1041988.8,1061620.02,1069088.4
13,1377324.52,1383524.52,1280196.6,1267883.36,1137843.04,1199755.8,1179336.4,1144460.6000000008,1121896.36,1175390.92
