index,255_1_www.whatsapp.com,255_2_www.whatsapp.com,255_3_www.whatsapp.com,255_4_www.whatsapp.com,255_5_www.whatsapp.com,255_6_www.whatsapp.com,255_7_www.whatsapp.com,255_8_www.whatsapp.com,255_9_www.whatsapp.com,255_10_www.whatsapp.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1428.44,1509.94,1509.94,1474.26,1544.52,1419.0800000000004,1442.66,1447.3999999999999,1504.48,1491.74
3,3695.8799999999997,3950.48,3950.48,3558.48,4114.68,4114.68,3601.68,3595.2,3897.519999999999,3716.080000000001
4,4987.92,4252.98,4218.98,4966.76,4126.879999999998,4294.120000000002,3299.3399999999997,5064.2,6675.439999999991,4766.94
5,6157.84,8318.36,8284.36,8551.04,7898.679999999999,8385.48,6059.64,6935.399999999997,10250.68,8627.24
6,8277.2,8743.000000000005,8709.000000000005,8298.699999999999,11894.800000000001,13065.599999999999,8379.7,8389.0,13033.800000000001,7772.699999999999
7,11876.24,13141.88,13043.96,13570.88,12964.039999999999,15146.599999999984,13614.36,13566.4,13948.480000000001,13198.76
8,13531.24,29898.55999999996,35011.62,20885.040000000048,34624.96,34342.72,13226.66,13328.4,16228.359999999999,30144.240000000034
9,35464.12,33613.04,33202.96,34456.48,32758.24,32474.76,34934.68,35170.2,21353.36,34023.84
10,33789.32,32117.960000000006,31696.960000000006,32712.219999999998,32295.680000000008,35168.31999999999,33393.14,33442.200000000004,32658.359999999982,32440.82
11,32306.4,36976.400000000016,35644.6,33810.0,37511.2,40248.8,32679.400000000012,34191.0,42071.4,34915.400000000016
12,36244.360000000015,39703.46,41865.700000000004,37876.7,39489.6,44524.32,35725.03999999999,34897.599999999984,40468.44,39284.640000000014
13,38146.28,42072.32,41486.32,40612.48,41256.56,44820.76,38605.68000000001,40052.0,42754.759999999966,42539.68
14,42251.4,44193.62,46074.24,43918.38,45044.76,43151.799999999974,41895.58,39925.8,47868.200000000004,44519.78
15,44304.04,44676.159999999996,47703.19999999998,45972.759999999995,44423.60000000003,58315.87999999999,44992.200000000004,43746.4,50093.71999999997,44023.56
16,46170.399999999994,52551.999999999985,51247.6,46255.1,48938.40000000001,59939.8,45331.100000000006,45946.0,52167.799999999996,50333.000000000015
17,49160.16,56968.56,54304.56,46568.04,54406.48,59188.52,49151.8,43739.600000000006,50707.280000000006,56349.12000000001
18,51106.12,60065.72,54117.84,56804.300000000054,53402.200000000004,61585.04,52011.68,54804.4,57940.36000000001,60290.88
19,55704.76000000002,59054.0,66236.56000000004,60024.840000000004,87041.16000000002,60621.79999999998,51257.52,56467.19999999998,58575.47999999999,59856.56
20,59380.84,150089.8000000001,147548.5200000001,59303.020000000004,164741.84000000003,123493.91999999988,105614.55999999985,58330.200000000004,58610.92,80282.4400000003
21,59589.6,209166.60000000015,218492.8000000002,150279.8000000002,233044.40000000002,204230.4,155506.00000000003,88211.0,63021.2,168887.20000000004
22,95759.80000000002,280807.9799999999,258114.64,239685.28,283549.68,240090.88,221595.66,161263.8,98664.16,215709.07999999996
23,183378.52000000025,287291.6,281628.6,241482.72,286275.84,287999.56,228480.95999999996,229081.8,134728.16,238303.32
24,269238.08,292772.54,283407.46,288983.56,291812.92,291913.27999999997,280839.95999999996,244008.79999999973,176623.63999999996,280020.8000000002
25,272057.56,294264.56,288620.84,292679.56,332168.1600000001,297985.19999999995,284779.12,289296.6,248831.3199999995,289306.83999999997
26,289707.0,297711.5,290256.5,300309.5,404744.00000000023,311291.99999999977,295149.0,292589.0,293970.0,292821.5
27,293015.72,302156.88,296315.24,329625.36,498515.3200000005,365053.43999999994,305609.12,300376.6,297685.19999999995,297731.44000000006
28,300818.92,321393.3,313702.82,411335.2800000004,593209.6800000002,402222.1599999999,353875.84,318567.7999999999,316108.88,313839.46
29,313991.68000000005,362344.8399999999,345239.95999999996,490904.04000000004,699950.7600000004,441726.31999999995,384300.32,376020.7999999997,335898.9199999998,398597.52000000025
30,372888.63999999996,400632.9999999999,380648.6399999999,580994.5600000003,775216.64,523964.76,420058.83999999997,436384.3999999996,376604.8799999999,453419.68000000005
31,431355.80000000016,446440.79999999993,419214.19999999995,680090.2000000003,779438.4,614808.3999999998,481211.5999999998,526158.0,401757.19999999995,518486.60000000003
32,504858.95999999996,529525.2000000003,465371.24000000034,785167.8400000002,851145.9199999999,698915.48,548302.8400000001,589866.5999999999,453624.32000000007,609165.0400000005
33,563387.2000000002,610427.12,547281.6799999999,867332.4000000001,958200.2400000003,808299.7599999997,622716.04,667250.1999999998,501784.07999999996,704102.2800000001
34,650815.4000000005,700480.9599999998,610300.5599999999,964323.6400000007,1068588.8000000007,885717.72,689394.48,747578.7999999999,587508.1199999995,798036.7200000001
35,725894.4400000002,773371.4,713910.36,1049764.48,1097083.1600000001,984594.5199999998,769384.1600000003,830315.5999999996,677101.4399999996,897485.3199999998
