index,264_1_www.kicker.de,264_2_www.kicker.de,264_3_www.kicker.de,264_4_www.kicker.de,264_5_www.kicker.de,264_6_www.kicker.de,264_7_www.kicker.de,264_8_www.kicker.de,264_9_www.kicker.de,264_10_www.kicker.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,61532.68000000001,59452.8,57633.279999999984,66105.48,66885.06,61473.299999999996,63174.55999999999,65530.74,63611.2,63474.0
3,313702.4,235351.39999999994,162767.79999999996,325541.32,257031.19999999998,263002.24,252982.15999999995,411054.88,280261.2,260864.0
4,470346.8,317916.2,328633.06,469489.04,326537.32,397807.94,322770.77999999997,474657.9,471662.64,321642.0
5,567610.56,434970.8,372736.28,551702.4,346803.24,454188.27999999997,447803.5199999998,602393.36,498715.24,398671.0
6,921724.1,504566.0,470816.3,753196.2,610819.9,591824.6,676476.4,868030.7000000001,637329.8,524177.0
7,947705.16,799800.1999999998,671793.72,951859.16,795746.28,681471.88,805933.72,958394.36,939290.92,707053.0
8,1015268.2000000001,824454.8,809943.84,976451.9600000001,816434.56,858232.4400000001,839960.16,1020945.58,959288.7999999999,823051.0
9,1105679.1199999999,884930.8,837316.8,1034558.24,829801.64,905975.4,903784.96,1054592.8800000001,987769.24,884996.0
10,1173421.38,980471.6,904171.1599999996,1151770.4,864699.12,910482.9600000001,964864.92,1081537.1999999997,1069579.3600000003,907184.0
11,1229894.2,1051809.0,1017811.6,1205955.8,963828.7999999999,1020535.4,1051850.5999999996,1200016.6,1192323.3999999997,917843.0
12,1237195.06,1067588.4,1057303.36,1220423.28,1057526.88,1103682.18,1106382.52,1266356.34,1213597.52,1024881.0
13,1255605.0,1114903.2,1073410.16,1250880.16,1151738.7200000004,1277074.56,1264872.84,1430769.4000000001,1232826.72,1096680.0
14,1322375.24,1166394.7999999998,1117288.14,1325864.04,1423690.8,1329303.2,1564606.5399999996,1710835.28,1283524.52,1126096.0
15,1367730.4000000001,1560307.2,1188624.68,1437873.9200000002,1550037.0399999996,1547615.32,1599043.28,1735244.36,1329608.48,1385413.0
16,1519657.9,1577315.0,1370582.8,1551604.0,1606772.3,1579149.2,1748368.2,1903272.0999999999,1470311.8000000005,1553596.0
17,1734425.6,1654959.2,1562003.3199999998,1834392.76,1651156.2,1741715.4800000002,1777634.44,1923691.96,1756589.3999999997,1588033.0
18,1838078.14,1722913.8,1732843.56,1865910.64,1695953.64,1753135.78,1862187.08,1996450.64,1849282.7599999998,1746136.0
19,1893665.8000000003,1782948.2,1758388.8399999982,1966945.52,1780831.44,1832782.84,1992147.12,2093183.5999999999,1940928.56,1763104.0
20,1991183.12,1878894.1999999988,1843523.08,2024858.9200000002,1879261.36,1975328.28,2090644.48,2243148.24,2014380.48,1836505.0
21,2011226.0,2012746.0,1894262.4000000001,2211554.4,2006109.6,1997544.8,2116495.4,2266830.8,2199994.6,1889560.0
22,2206390.7600000007,2066113.8,2077269.8,2236335.16,2095540.2200000007,2102515.82,2125293.48,2286951.16,2221642.6,1997223.0
23,2245109.56,2083311.8,2094424.04,2250272.56,2121186.04,2099100.48,2201945.72,2320084.04,2230585.24,2102237.0
24,2264114.14,2121582.6,2101831.26,2271974.04,2132805.84,2132222.1600000006,2241438.38,2360374.08,2246429.56,2110591.0
25,2260463.72,2145806.4,2144091.88,2312193.08,2157910.08,2162715.88,2274913.36,2426188.32,2273080.92,2123672.0
26,2301937.5,2173801.0,2173848.5,2338964.0,2174302.5,2194286.0,2312970.0,2476130.0,2305321.0,2162235.0
27,2321997.48,2237611.4,2195281.64,2408902.48,2212446.28,2256385.12,2326315.64,2490658.2,2327176.5999999996,2184066.0
28,2365486.36,2270964.9999999995,2243892.7399999998,2443672.44,2286384.66,2300691.1799999997,2370851.02,2505736.02,2419281.12,2206819.0
29,2413625.68,2279119.8000000007,2301378.28,2460142.2,2328273.04,2315562.36,2390679.08,2542716.96,2433468.36,2286739.0
30,2453775.58,2306865.0,2313359.22,2473176.84,2345023.78,2335864.6,2419222.7399999998,2584181.1799999997,2448424.52,2307446.0
31,2473228.4000000004,2362592.0,2332745.4,2505594.4000000004,2363047.6,2391941.4,2430978.8,2607060.6,2475096.6,2317438.0
32,2491098.6799999997,2388277.8,2355721.16,2548168.88,2394342.14,2400778.1199999996,2451679.7,2629045.14,2527811.8800000004,2345553.0
33,2501558.64,2398317.6,2402586.44,2568726.44,2435037.08,2426824.16,2488310.84,2658817.92,2560235.16,2387514.0
34,2559084.16,2455163.2,2420952.12,2584550.92,2457343.8,2442192.78,2491360.04,2670822.68,2569166.48,2395803.0
35,2571670.2,2505193.8000000003,2437308.16,2610843.28,2482560.28,2450298.36,2524822.32,2683028.96,2589792.88,2409084.0
36,2590969.7,2628614.0,2461092.2,2622238.2,2495412.7,2486051.5,2545309.1,2705498.1,2599353.2,2425248.0
37,2615693.32,2640656.6,2479654.32,2644055.72,2507931.44,2509753.9200000013,2559037.52,2747654.56,2599018.84,2445446.0
38,2618224.7800000003,2663978.2,2505451.78,2658430.6799999997,2514438.98,2525975.82,2579177.4,2757158.38,2612001.2800000003,2469393.0
