index,269_1_translate.google.de,269_2_translate.google.de,269_3_translate.google.de,269_4_translate.google.de,269_5_translate.google.de,269_6_translate.google.de,269_7_translate.google.de,269_8_translate.google.de,269_9_translate.google.de,269_10_translate.google.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1340.6,1637.04,1411.06,1363.66,1325.8999999999999,1358.92,1404.3,1600.04,1394.5,1392.1
3,3957.7999999999997,1486.28,3837.1200000000003,4026.36,4080.2000000000007,4038.44,3427.4000000000005,1526.8799999999999,3509.0000000000005,3948.6
4,4128.72,4110.68,5221.58,5410.8,4187.82,5451.16,4126.280000000001,3968.04,4163.7,5506.3
5,4377.76,3645.76,6325.8,4604.88,4768.5599999999995,4195.5599999999995,5202.36,4093.48,4862.4,5595.600000000003
6,5979.400000000001,5390.8,8457.3,7975.200000000006,6083.499999999999,8506.4,6473.8,5041.3,6229.5,8410.5
7,8157.08,4633.679999999999,12514.199999999993,8067.84,8233.52,8007.08,8529.96,4606.840000000005,8227.800000000001,8378.000000000011
8,10279.799999999996,6335.28,14593.36,15178.92,9206.199999999999,15011.04,8048.42,6150.62,7527.900000000001,14968.6
9,14713.12,6920.120000000001,28612.399999999994,15167.04,14880.84,15021.48,15167.92,8219.28,12954.199999999999,25150.20000000001
10,16102.320000000005,8249.44,69160.47999999998,24212.199999999997,15001.460000000001,37205.92000000012,14566.080000000002,7452.46,16245.00000000001,61954.4
11,42302.200000000026,7727.400000000001,82680.8,58606.400000000045,43789.20000000004,81264.60000000008,28645.2,14990.6,83096.0,82473.0
12,73873.76000000001,14068.319999999996,84270.66,82881.66,74027.44,84020.2,56350.40000000004,14743.56,84623.2,84287.9
13,82555.96,14802.16,86018.44,84246.92,82522.24,83293.24,82804.72,18731.480000000032,84904.00000000001,86259.6
14,84301.84,14960.44,88238.18,83334.4,84258.46,87057.96,84534.08,30778.12000000005,86023.2,88279.2
15,86530.32,24928.600000000002,89657.72,87811.44,86337.24,86782.28,84474.80000000002,66829.88,87472.2,89651.59999999999
16,88562.2,35663.20000000001,90875.9,86629.9,88197.3,89497.6,87621.4,83215.9,88313.5,92953.5
17,89945.36,65160.64,94291.08,92561.8,90227.72,90896.48,87988.52,83985.24,91242.8,94170.8
18,89469.24,83035.52,96432.63999999997,94954.02,89229.34,96066.72,88049.31999999999,84666.38,93299.1,93567.9
19,91041.24,84021.52,171212.28,94255.28,90965.56,97018.04000000001,90826.59999999999,86811.08,94404.6,140873.40000000002
20,96479.72,84486.04,184127.88,104931.40000000004,94216.04,134073.60000000006,94135.16000000002,86869.86,96067.99999999999,180947.80000000002
21,97381.2,86607.8,185815.2,163567.2,93673.2,169156.60000000006,93655.2,88579.2,131943.0,179577.0
22,119648.76,87805.8,184633.92,185801.52000000002,130896.62,184007.9200000001,108544.79999999999,90198.86,180801.6,186165.3
23,134117.36,88374.16,186021.32,186567.16,180418.32,192452.04,174389.96000000017,91703.59999999999,188270.40000000002,190128.2
24,184972.28,90247.92,192685.38,188050.78,187256.72,194141.04,180304.26,93317.12,189377.7,189792.3
25,183490.44,90250.36,192103.36000000002,187113.72,185820.48,193313.48,179602.16,106828.2,188236.4,190861.4
26,182269.0,89089.0,198358.0,188937.5,187274.5,191905.0,181904.0,107280.0,188219.0,189855.5
27,183989.68,91126.16,199098.76,190727.16,189045.32,196565.68000000005,189869.64,108234.12,189305.20000000004,194110.6
28,191701.4,95073.88,197853.58,194254.08,188497.54,197741.84,189267.98,142712.03999999998,192628.2,196310.00000000003
29,193499.84,96451.12,205385.12,193718.32,191196.04,199554.56,191201.36,153622.7200000001,194656.4,201972.60000000003
30,195644.72,97664.48,206340.44,197592.14,192432.18,205022.28,193012.86000000002,185162.24,194160.3,203068.6
31,196849.4,99155.00000000001,210237.99999999997,201700.99999999997,193586.6,204679.4,192635.4,185289.6,197580.0,203199.0
32,196632.36,129079.79999999997,212038.62,203368.34,197770.41999999998,211624.60000000003,194775.36000000002,187549.28,197068.7,203176.9
33,198721.8,156360.2,233562.2399999999,207960.92,199836.96,211045.36,198099.12,186639.72,196470.6,250413.00000000017
34,201903.24,170779.9199999999,294525.7199999996,209601.32,204908.76,214210.36000000002,197621.58,188323.38,202502.9,288553.4000000001
35,201399.08,185273.20000000004,335886.32,214327.92,205919.68,220602.28,205597.04,190396.64,202749.19999999998,304522.4
36,208867.4,188271.2,337608.1,213424.0,209497.3,219961.0,204527.3,189880.2,202292.5,329223.0
37,207858.12,193392.44,340045.44,220680.24,210132.16,256591.00000000023,207864.76,196782.92,204405.8,331211.0
38,213099.96,193103.36000000002,359075.26,254546.47999999998,209465.4,308065.92000000016,209623.08,195607.64,254942.6,332356.1
39,213146.04,192350.48,360570.28,287641.4000000001,246509.36,343944.32,209786.2,197483.52,291198.0,350498.19999999995
40,213069.16,191558.08,362513.22000000003,329006.92000000004,290793.24000000005,345814.52,215090.60000000006,199626.56,326752.1,351729.1
41,248217.00000000012,190558.2,365785.4,343995.6,333420.8,348278.4,243849.6,203895.4,328166.0,353827.0
42,284870.08,192191.63999999998,365335.78,345666.0,335148.22,367036.76,287534.04000000004,203781.06,330821.0,355493.1
43,337066.48,191694.72,368664.6,355573.5200000001,337981.72,368690.64,320048.04,203666.72,331284.2,356297.8
44,338641.24,196081.72,369197.68,366991.72,337875.86,370754.52,335289.1,202816.02,349562.8,359259.3
45,341585.72,198428.76,371301.84,366120.48,339900.56,372396.12,336961.0,202750.36000000002,351316.2,360379.4
46,349586.99999999965,200578.2,372859.7,368570.4,357735.2,373840.2,338243.9,203695.00000000003,353408.5,359154.0
47,360375.12,200104.36,374455.72,371889.48,359993.44,372970.24,356686.52,213092.80000000002,354893.4,362448.4000000001
48,361724.64,202175.92,374785.6,371548.86,361844.24,376537.52,358140.58,219266.52,356418.8,365842.9
49,363480.84,201900.12,379413.72,373894.88,362451.44,376419.88,360893.2,223696.88,356130.6,365883.8
50,364217.76,203868.36000000002,379283.64,374953.64,365279.77999999997,377986.27999999997,363703.18000000005,224650.44,359493.2,365293.1
