index,26_1_www.ebay.com,26_2_www.ebay.com,26_3_www.ebay.com,26_4_www.ebay.com,26_5_www.ebay.com,26_6_www.ebay.com,26_7_www.ebay.com,26_8_www.ebay.com,26_9_www.ebay.com,26_10_www.ebay.com
1,-442.0,67.0,67.0,67.0,67.0,67.0,0.0,67.0,0.0,67.0
2,1147.8799999999999,1001.8999999999999,690.0,611.4000000000001,1211.8799999999999,2189.84,1045.92,2079.039999999999,1023.48,744.5999999999999
3,2285.96,2958.2,1200.0,1236.2,3961.36,2895.72,2035.8400000000045,2832.52,2219.28,1589.4000000000003
4,6810.7199999999975,6023.7,5155.0,2420.8,7217.799999999998,7695.9400000000005,7833.76,7120.72,10461.119999999999,5254.2
5,7982.2,14457.0,9253.0,5845.400000000001,20768.04,17834.36,18565.519999999997,17962.52,13977.359999999999,9180.4
6,17808.399999999998,22570.5,18216.0,7059.0,26524.8,20959.3,23508.4,21626.3,19010.600000000002,18131.0
7,19055.96,31414.800000000003,21421.0,12086.8,40538.44,29496.720000000005,35984.88,27300.48,36102.48,25902.4
8,20754.36,42596.8,27750.0,12142.4,47933.04,35430.03999999999,42072.36,32068.82,39768.76,26966.6
9,24705.72,51427.599999999904,32955.0,14966.2,87676.04,48697.48,50155.360000000015,38264.52,76895.2,29387.4
10,28995.08,86508.2,33852.0,18379.600000000028,92954.88,81117.46,90178.8,46645.34,86986.2,35393.99999999999
11,31446.999999999978,125154.0,62505.0,18720.0,105281.00000000001,89797.0,112119.2,58321.00000000001,125494.99999999997,42799.0
12,37265.880000000005,211586.1,85443.0,27717.600000000002,145826.52,107071.80000000002,206262.68,88577.84,217683.52,49300.6
13,47541.27999999999,260601.19999999992,124514.0,31104.2,159238.68,144269.92,264875.6,90176.68000000001,302692.72000000003,86099.2
14,78145.51999999992,323094.0,185124.0,53345.20000000004,309860.4399999999,221386.09999999998,323785.96,126618.35999999999,314950.16,89332.99999999997
15,85468.68,334036.99999999953,208088.0,73632.99999999994,402466.11999999976,261694.24,325802.4,160252.71999999997,325474.12,99145.6
16,85324.2,415303.99999999994,267062.0,85223.0,420609.9999999998,272644.39999999997,394930.4,229159.4,373189.80000000005,99793.0
17,105942.12000000001,459657.79999999993,315271.0,91226.40000000002,539341.84,324344.2,441751.8,232831.23999999987,440270.75999999995,123969.79999999999
18,124162.92,530362.7999999999,315799.0,98576.2,542456.44,329739.86,534033.72,321083.16,532872.36,150176.8
19,176371.84,534906.2,320908.0,131226.0000000001,544417.32,413426.68,540918.56,355164.9199999998,537569.64,180705.59999999977
20,213250.72,540664.0,358358.0,151102.19999999998,552164.8,456636.71999999974,542466.4800000001,412313.66,540074.52,243361.2
21,222608.6,542997.0,405508.0,207022.0,570907.2000000003,538810.2,549153.0,477771.8000000001,542988.2,280485.0
22,259885.72,550672.1,439331.0,234163.0,614443.08,541997.98,552202.72,530052.8,550003.64,338364.2
23,307496.4,558850.0,518841.0,277937.2,620893.2,542118.36,602680.9199999999,533139.24,559939.24,339341.6
24,322467.39999999997,596914.7,532697.0,316865.0,657969.7999999999,545628.78,605235.2000000001,540352.7,582684.2799999999,421259.8
25,334148.95999999996,603886.9999999999,536916.0,334821.4,696478.4,549227.5599999999,618451.68,581061.52,611085.68,452778.4
26,388461.99999999953,637953.999999999,537850.0,336016.0,831648.0,554985.0,656700.0,588909.5,626006.0,522196.0
27,436228.48,705149.3999999997,535748.0,374044.60000000015,892481.9599999997,603017.7999999999,666274.92,591673.44,643839.2,550210.4
28,460026.4399999997,798219.7,541460.0,421414.0,1001687.8,610683.54,795571.92,594938.88,637387.3200000001,552651.2
29,523970.2399999999,874737.1999999989,543347.0,489473.6,1044424.8399999999,615584.32,868667.48,598081.28,718707.52,559022.0
30,529982.68,927260.0,547060.0,533721.6000000001,1119528.88,619598.04,1008908.72,600751.16,757588.6,582385.2
31,534088.6,994147.0,548755.0,543112.0,1117290.0,635373.6,1048257.6,613558.6,895144.6000000003,605461.0
32,533896.16,1014344.9,557372.0,550732.4,1181914.04,677352.4,1134713.32,609382.54,1022357.52,605736.2000000001
33,542934.6399999999,1120245.2,606410.0,553690.8,1229264.04,689608.6,1133878.76,607247.48,1034446.1999999998,608952.0
34,548977.3199999998,1200321.9000000001,608322.0,562715.6,1322067.2,751017.06,1207840.7200000004,687672.02,1146956.36,610112.2
35,578317.28,1199788.8,618702.0,598865.6,1414534.04,790823.4400000001,1266831.5200000003,743052.7199999999,1152077.16,614803.4
36,588775.8,1277705.0,633128.0,601977.0,1418414.8,886623.7,1388462.6,890806.6999999996,1243625.7999999998,623261.0
37,633382.9199999999,1347764.6,701074.0,667722.4,1421621.36,975914.4400000002,1432412.76,989035.64,1313416.52,629747.6
38,671978.48,1347166.1,764969.0,698756.6,1423034.84,1025993.62,1433476.36,1076594.46,1408835.68,640288.0
39,697943.0799999998,1349942.2,809949.0,713929.8,1464492.24,1067342.5199999993,1444453.24,1087346.52,1420653.68,660868.0000000001
40,704072.2,1356068.9,894267.0,714175.4,1466338.4,1174156.68,1446590.72,1086810.36,1432477.28,725858.3999999997
41,703053.4,1357604.0,921439.0,715567.0,1543926.2,1198107.0,1468902.5999999999,1089144.4,1435279.6,757199.0
42,756105.3999999999,1374351.5999999999,993051.0,717344.4,1545354.52,1268185.66,1489580.48,1148843.2399999993,1441011.32,833935.6
43,823137.96,1440229.0,995731.0,732631.8000000002,1610298.96,1279541.28,1508676.04,1224187.9600000002,1449891.36,888844.9999999999
44,835915.64,1464393.2,998924.0,845973.1999999998,1613663.32,1334046.72,1506641.76,1291555.5199999993,1495284.44,986450.3999999994
45,862369.04,1462566.4,1064726.0,954065.6000000007,1619558.24,1428676.2000000002,1584210.08,1396881.12,1493633.48,1024535.8
46,888501.5999999999,1536658.5,1075097.0,967472.0,1623972.6,1445120.1,1596568.2000000004,1398074.1,1568365.4,1079482.0
