index,281_1_www.deutsche-bank.de,281_2_www.deutsche-bank.de,281_3_www.deutsche-bank.de,281_4_www.deutsche-bank.de,281_5_www.deutsche-bank.de,281_6_www.deutsche-bank.de,281_7_www.deutsche-bank.de,281_8_www.deutsche-bank.de,281_9_www.deutsche-bank.de,281_10_www.deutsche-bank.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1366.82,1395.26,1384.2,1436.34,1388.94,1373.14,1382.6200000000001,1401.58,1335.22,1418.96
3,4017.72,3939.96,3970.2,3631.68,3957.24,4000.44,3974.52,3914.1600000000003,4090.04,3772.92
4,5124.420000000003,5469.02,5480.6,5162.62,5378.0599999999995,5343.400000000001,5256.66,5576.44,5270.06,5048.04
5,4417.76,4258.679999999999,4645.199999999998,7031.44,6558.44,4605.36,6476.36,4528.279999999996,4096.96,6237.96
6,8300.399999999996,8484.199999999999,8487.0,10428.1,8396.7,8572.699999999999,8433.1,8617.300000000001,8132.399999999997,8185.8
7,7959.68,7671.04,7609.800000000001,12376.320000000002,9351.200000000008,8038.5599999999995,10416.599999999999,7905.399999999995,7755.28,12553.399999999994
8,16090.94,15971.439999999999,15988.8,14612.519999999997,18233.52,16316.339999999998,18189.96,16308.240000000002,16170.820000000002,17585.920000000002
9,17692.56,18565.52,18612.6,15830.88,18738.88,17765.12,18642.68,18778.16,17429.76,17865.76
10,18441.519999999997,19945.739999999998,20082.800000000003,21582.4,19929.46,18066.920000000002,19940.58,19907.22,18119.38,18685.120000000003
11,20729.2,20511.8,20596.0,26900.799999999996,20624.8,20825.4,20628.4,20617.6,19678.2,19985.600000000002
12,20354.000000000004,31209.28000000002,19444.4,28780.14,37562.960000000014,20033.420000000002,39130.67999999999,43010.28,20317.54,20704.72
13,41464.719999999994,41452.04,22920.6,28974.88,42039.12000000002,41941.24,42140.76,43489.72,42089.520000000004,41642.16
14,43679.66,42958.78,44827.999999999985,29288.54,44276.32000000001,43259.82,44266.36,44699.86000000001,43086.02,43582.64000000001
15,80514.16,44163.64,47991.200000000004,46866.799999999996,44560.44000000006,62245.840000000004,75790.52000000003,80603.56,44417.32,61390.48
16,87360.3,43505.70000000001,48782.0,50053.2,80442.4,88028.3,87846.0,113964.79999999997,77572.39999999997,66881.8
17,105857.76000000001,65395.880000000005,52156.6,53071.64,85746.76000000004,119846.4,148750.24,140181.4,87004.87999999999,89235.24
18,151237.16,118376.82000000002,72483.8,88954.62,98091.84000000005,120979.72,146928.68,178432.6,104746.52000000002,95378.35999999999
19,185925.76,144327.4,95826.39999999998,89773.12,142901.24,120431.68000000001,184795.12,216898.52000000002,137036.6,152145.4
20,209873.31999999998,213296.16000000024,97476.20000000001,97751.34,174442.58000000002,166178.9,206303.4,250902.62,139677.58,168657.44
21,222444.6,233171.8000000002,118795.0,110010.19999999997,177545.8,197182.6,228220.59999999992,288741.39999999997,141424.4,170294.2
22,255498.0,256609.84000000003,130488.6,156699.95999999993,201029.76,232237.66,268966.2799999999,304478.18,188672.76,216928.91999999998
23,259056.04,293623.3600000001,164396.79999999996,186642.16000000003,219956.12,264343.52,316152.56,309724.48,218848.36,258826.92
24,299449.04000000004,326715.10000000003,212995.6,214087.44,252724.98,302803.56000000006,351560.8,351784.19999999995,256302.27999999982,310249.92000000004
25,339222.96000000014,379153.96,259704.19999999987,235013.63999999998,294724.2800000002,342278.12000000005,401026.8,391322.87999999995,302909.91999999987,328283.36
26,361755.5,403538.5,320793.0,268743.0,357753.5,394781.5,423122.0,423008.0,349148.0,372546.0
27,397288.72000000015,457318.24,355688.0,307770.2,387098.8,417117.31999999995,468770.48,458249.7999999999,393630.68000000005,401637.0800000001
28,446168.95999999996,521929.62000000034,365718.6,350415.5199999998,454699.16,476183.69999999995,532597.26,499631.94,424025.22,449322.60000000003
29,479212.6,533669.08,402862.4000000001,407901.8,520712.68000000017,495792.7200000002,558973.52,530881.96,470722.4799999999,462324.4
30,512353.48,535644.9,468821.0,446797.92000000004,532955.32,533173.3,594690.52,533610.02,531584.78,515826.96000000014
31,533125.6,540409.4,510591.0,506204.60000000003,534887.0,532820.4,595064.8,535059.4,533345.6,535059.6
32,533025.86,541623.06,538512.4,542182.02,536342.34,534702.0599999999,596626.22,539698.38,536619.36,538366.16
33,534816.24,540869.44,565176.4,542138.04,539756.76,538903.76,598021.8,541364.28,539256.2,541355.52
34,539183.86,542694.3200000001,600991.8,543890.38,540374.84,540564.62,597236.14,540984.2,539612.58,541595.48
35,540918.88,544325.5599999999,601447.8,547088.64,543853.8,564981.2,599270.3200000001,552603.48,541354.48,543031.64
36,538343.3,546968.9,603538.0,549574.3,547431.3,577247.9,602312.9,561051.0,546107.9,545000.4
37,557095.12,586145.48,607633.3999999999,552470.92,555376.4,578365.2,607677.0800000001,599570.5999999996,547272.48,549297.24
38,580220.16,588587.62,608438.6,554184.5199999999,588960.1800000003,590233.34,610541.02,638883.26,574209.48,549671.6
39,624480.04,600814.4800000002,610473.4,579899.4000000003,609513.56,590915.28,613396.56,639905.28,582163.16,552011.92
40,650977.34,606319.84,642297.6,593386.46,620812.66,590697.66,615540.5599999999,644194.28,593341.58,554220.36
41,649614.8,607612.6,655902.0,601089.4,635919.0000000001,604869.5999999999,621774.7999999999,656110.8,595540.2,558360.4
42,651203.62,608157.46,659340.4,605572.46,641529.24,632804.4,622421.64,655014.02,595565.96,573615.8400000001
43,655563.36,610147.04,661103.6,641810.32,643098.48,660388.8,639567.96,659645.16,603580.64,596388.7999999999
44,656276.44,608290.64,662546.4,646125.04,660093.0800000001,662866.02,659373.46,663663.8999999999,637105.1200000001,618340.52
45,657428.52,607814.48,664656.8,672101.24,667815.36,665847.96,661227.36,668116.72,655927.3999999999,634777.44
46,662907.4,631816.2000000001,669061.0,673590.3,669283.9,668324.7,671346.0,669686.2,665262.6,637929.2
47,662269.36,655645.76,670361.2,678136.64,671065.24,668519.76,671336.08,667589.6,667868.04,639143.76
