index,284_1_www.ing-diba.de,284_2_www.ing-diba.de,284_3_www.ing-diba.de,284_4_www.ing-diba.de,284_5_www.ing-diba.de,284_6_www.ing-diba.de,284_7_www.ing-diba.de,284_8_www.ing-diba.de,284_9_www.ing-diba.de,284_10_www.ing-diba.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1604.48,1321.0,1571.92,1403.16,1536.6,1345.5,1570.44,1453.3,1349.44,1324.16
3,1566.3600000000001,4121.0,1117.24,3901.32,1527.8000000000004,3917.000000000001,1095.6799999999996,2935.3999999999996,4059.08,4114.12
4,3987.48,4116.0,3683.04,5210.839999999999,3586.56,4100.9,3663.7799999999997,3774.6799999999994,5380.12,5391.68
5,4186.76,4215.0,5172.76,6672.64,5295.72,5103.799999999999,5081.160000000002,5328.88,4285.919999999999,4406.88
6,5188.6,8163.0,4306.799999999999,7666.399999999999,4354.400000000001,6403.5,4451.899999999999,5044.800000000002,8007.800000000001,8411.8
7,4285.839999999999,8178.0,6239.08,9171.960000000001,8306.56,8444.6,6112.72,8210.159999999996,7884.56,8293.64
8,8750.36,11422.0,8355.76,13084.92,8166.360000000001,8296.00000000001,8249.339999999998,8583.42,21303.64,17924.800000000007
9,8700.36,22982.0,8249.199999999999,11937.44,7383.5599999999995,21414.6,8213.719999999998,15227.8,22702.52,22929.2
10,7956.519999999996,22750.0,21248.72,24099.52,21086.92,23243.200000000004,18797.600000000006,23404.64,24573.24,24834.36
11,20658.000000000022,24505.0,22730.8,30365.600000000002,22588.8,24808.0,23086.399999999998,24854.0,24735.2,24363.0
12,23269.28,24693.0,24865.88,32359.12,24761.32,24972.3,24785.16,24863.52,42438.96,41977.6
13,24472.92000000001,42482.0,24551.96,32464.56,24419.56,42808.0,24518.76,25054.44,45474.40000000004,42212.12
14,24741.239999999998,41858.0,24820.12,50104.44,25835.200000000004,42193.9,24749.34,42851.1,51538.88000000002,43573.36
15,24735.480000000003,45784.0,42650.6,52578.92,42428.68,58034.2,42616.2,48832.519999999975,51843.72,59344.24
16,42917.0,59392.0,42138.6,93565.5999999999,41892.6,66991.0,42104.2,106605.30000000005,92865.4000000001,112983.5999999999
17,42406.6,104193.0,65633.31999999998,126754.56,45806.56,80696.6,48260.96,108670.92,122459.16000000002,136121.52
18,41905.119999999995,138415.0,86424.36,195804.52000000002,49875.16,129614.5000000001,62776.46,142532.12,165718.48,184678.0800000001
19,44854.240000000034,181100.0,121494.96,263467.64,67584.43999999996,174195.8,64883.68,149442.68000000002,209195.88000000006,235235.52
20,45467.84,215187.0,130205.88000000006,329705.44,87488.12,215691.00000000006,106804.52,216361.19999999992,298058.76,276574.92
21,47104.6,282770.0,188579.40000000002,396114.8,127698.4000000001,261345.0,122266.80000000002,254854.6,367997.80000000005,310015.4
22,64332.72000000015,349696.0,230912.9199999999,399447.28,179480.11999999994,287084.00000000006,152275.20000000013,287610.16,421922.96,373874.04000000004
23,108733.08,399110.0,259017.32,429211.68,215155.84,314860.4,175614.56,306685.7200000001,428096.4000000001,410168.08
24,159502.92,419430.0,310759.95999999996,431066.4,254385.80000000008,358606.2000000002,219931.7200000001,324435.82,430202.44,428031.39999999997
25,174539.96000000002,429081.0,360699.28,441213.72,308600.12,409781.2000000001,269925.68000000005,376492.2399999999,433142.08,428773.36
26,208637.0000000002,428670.0,362203.0,440930.0,391035.0,418986.0,319708.00000000023,404039.0,435017.0,428370.0
27,242825.04000000004,433464.0,395018.92,442744.44,421372.2,429419.4,352444.63999999996,423376.2,438318.20000000007,433248.72000000003
28,274163.56000000006,434807.0,417486.12,449061.2,424785.80000000005,429421.2,401294.2800000004,428278.83999999997,442763.84,435016.28
29,312228.5200000001,441432.0,423878.0,451061.16000000003,430130.04,430153.0,422693.48,433726.16,446291.8,441247.08
30,344185.0000000001,442762.0,428361.6,479918.96,430269.16,433842.8,422808.92,435208.18,509742.36,442500.88
31,364501.20000000007,445338.0,428600.4,541179.5999999999,433228.2,435626.0,422831.6,436427.0,566237.0,444311.2
32,393797.0000000001,475120.0,433456.84,575257.4,434839.44,441909.8,424585.06,441789.22,583166.16,447408.04
33,399369.9600000001,520864.0,433408.56,592159.76,436225.8,443117.8,431113.12,442442.76,610503.8,450336.68
34,422545.60000000003,565282.0,435079.44,610187.36,441427.72000000003,468509.2000000002,432501.94,464708.08000000013,656934.72,459797.07999999996
35,430160.4000000001,578782.0,438187.6,626679.28,442233.64,505707.80000000005,431848.68,538268.84,708973.1200000001,481537.2
36,433556.2,601339.0,441786.19999999995,664373.4,447911.2,551565.0,457580.80000000005,572536.0,772298.8000000004,554002.4000000001
37,433548.72000000003,623876.0,442651.92,685128.12,454590.2,573046.8,492683.5200000001,612007.52,783230.36,575208.12
38,435260.52,638018.0,444496.64,707176.28,474138.95999999996,603014.4,524589.22,648793.4400000001,782679.68,593465.08
39,435413.80000000005,673558.0,447787.44,749725.72,517412.56,640967.8000000002,553698.5600000003,676725.3599999999,808391.24,616893.88
40,441428.48,694312.0,448292.56,789643.68,563951.2400000001,686846.4,562361.1,704513.24,824512.24,649068.76
41,443042.8,741911.0,452323.2,791475.4,582487.2000000001,741759.0,565068.6000000001,738313.2,823783.2,676013.3999999999
42,457531.76000000007,765171.0,462417.56,794318.96,609592.8000000002,782446.8,567055.92,772445.1599999998,825595.04,735131.12
43,485815.9200000003,781354.0,481379.5999999999,827253.8,669232.76,783810.0,586471.16,782045.12,839168.12,789533.76
44,536299.2000000002,783550.0,503359.4,834259.52,701045.16,784819.0,634352.4000000001,783346.22,839716.48,790901.6
45,555345.76,788614.0,532487.88,845661.2,742733.68,807344.0000000001,677506.5200000001,800248.1200000001,841127.2,790334.84
46,565119.0000000002,791888.0,559080.0,845063.8,761883.2,825437.5,720315.2000000001,825227.5,841499.2,799038.8
47,582336.8400000001,826201.0,579284.4,858361.2,778010.7200000001,825260.0,757139.72,825085.12,858038.96,810215.5999999999
48,588494.2000000001,829140.0,617733.52,860501.84,782796.24,827729.8,781716.26,826614.12,859338.4,834572.28
49,615499.92,839915.0,655303.4,869269.2000000001,783528.16,849784.2,783314.6,828714.6799999999,860484.8000000002,835577.4
50,652518.2800000001,844588.0,679368.4799999997,870334.24,786653.96,858726.8,783020.46,837566.94,865663.2,842507.32
