index,289_1_www.dkb.de,289_2_www.dkb.de,289_3_www.dkb.de,289_4_www.dkb.de,289_5_www.dkb.de,289_6_www.dkb.de,289_7_www.dkb.de,289_8_www.dkb.de,289_9_www.dkb.de,289_10_www.dkb.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3529.4,3774.2000000000003,3611.0,3712.9999999999995,3345.8,1192.7000000000003,4096.92,4039.4,2728.4000000000005,3855.8
3,5060.16,5097.68,5310.0,5015.6,4769.639999999999,5373.6,4434.92,4804.12,5420.36,5388.52
4,8323.98,8473.48,8503.5,8217.400000000001,8096.56,6057.9,8234.36,8265.039999999999,8802.96,8697.06
5,16903.399999999998,14884.36,18483.0,18304.6,14016.04,7955.8,20156.12,18137.24,15358.96,18626.72
6,20570.2,20629.600000000002,20351.5,20453.0,20432.399999999998,20212.0,20942.8,20442.0,21134.6,20845.399999999998
7,38294.36,38878.159999999996,21215.0,37921.200000000004,38207.92,20790.0,37123.76,37675.64,39162.32,38675.92
8,54426.06,40795.38,38458.5,66398.20000000001,50515.60000000004,38445.3,66310.35999999999,38397.76,38567.84000000002,50065.56000000002
9,62643.36,68366.12,70206.0,78607.2,78538.68,40876.999999999956,97038.23999999999,44523.44,61054.92000000003,72328.72
10,66378.68000000001,77517.62,89238.5,114987.99999999997,83232.56,65661.9,107588.08,56749.32,78291.88,96562.14
11,85648.2,122335.6,97525.0,130889.0,135659.4,74623.0,135016.8,75294.2,82948.40000000005,135852.4
12,134331.92,134147.98,135494.5,167697.59999999998,134345.28,78937.1,164931.08,101323.24000000002,134524.22,132890.82
13,171211.1999999999,154330.40000000002,134087.0,219452.19999999995,136962.59999999998,114170.79999999994,216850.52,103411.16,138308.92,167935.2799999999
14,243570.36000000002,250268.34000000017,154997.0,254717.19999999992,198262.40000000002,135151.7,290468.87999999995,133697.2,212707.04,255607.52000000002
15,316033.67999999993,325625.52,211441.0,299283.8,221917.52000000002,133776.40000000002,356023.4399999998,199757.59999999998,265940.4400000002,314591.2
16,387634.80000000016,406627.8,296234.0,370236.0,321125.0,148769.0,450098.0,223008.00000000003,309935.4000000002,410521.99999999994
17,436303.72,499070.16000000003,367439.0,448621.6,392590.76,240151.39999999997,503578.6,272288.04,385096.92000000004,478391.52
18,479477.48,589425.4,461547.5,564164.2,463578.68000000005,302941.7999999998,533297.4,324050.0399999999,421043.8,552080.9600000001
19,514534.48,627108.56,573718.0,610466.0,548785.72,365007.3999999999,602642.6799999999,361208.92,451906.24,613386.76
20,563228.78,704079.9199999999,612906.0,632139.4,614462.4400000001,458873.39999999997,667760.48,402771.16,531077.7600000001,642375.56
21,616120.0,770050.3999999999,653914.0,671225.0,639268.4000000001,531618.0,685665.2,445675.8,612403.0,705300.0
22,634349.04,866927.1200000001,743902.0,702892.2,682158.6799999998,601442.1999999998,765277.6,480726.5199999999,652006.32,834239.9599999998
23,691018.24,927575.84,802996.0,786527.9999999999,748256.6,626686.8,793355.1199999995,539234.68,680464.8,901340.0400000002
24,771331.2000000001,957072.36,883123.0,903447.4,799110.3599999999,693135.2,901950.6,582040.1200000002,728266.2000000001,999329.7199999999
25,802934.7599999999,1018251.9200000003,924245.0,954963.9999999997,880353.1199999999,766861.0,955073.5599999999,621203.32,842825.0800000001,1102688.5199999998
26,895937.0,1094145.0,998518.0,1076566.0,909065.0,791220.4999999999,1023711.0,642983.0,902296.5,1206277.0
27,934671.8400000002,1184346.2800000003,1040931.0,1171592.7999999998,995127.8,878596.0,1091780.1199999996,696640.7200000001,939754.24,1288868.68
28,997945.4799999999,1285896.64,1088816.0,1268110.4,1066680.04,904802.2,1136510.92,794431.7999999998,1012139.5999999999,1356538.9600000002
29,1054048.72,1354137.24,1132557.0,1359757.6,1140195.6400000004,964882.9999999995,1217645.8799999997,877364.44,1092834.4,1461962.8400000003
30,1135158.6,1436482.48,1183788.0,1455212.7999999998,1203633.72,1050680.5999999994,1333150.12,912727.24,1176090.76,1542058.3199999998
31,1218523.2000000002,1515542.6,1220427.0,1544934.0,1262915.4,1144949.0,1378279.8,1033324.4000000001,1256117.6000000003,1617203.4
32,1299275.64,1613686.7199999997,1246520.0,1636809.1999999997,1342355.8,1225586.6,1426911.56,1121574.96,1326953.12,1697520.32
33,1411651.68,1706355.32,1293013.0,1715698.8,1410642.76,1309442.9999999998,1465949.48,1202314.64,1413628.72,1794083.24
34,1492705.72,1825389.36,1371474.0,1786309.6,1495720.5200000003,1405285.1999999997,1549143.2399999998,1296606.32,1502150.36,1876651.56
35,1540148.96,1910836.28,1459439.0,1847436.8,1563103.32,1496074.5999999999,1628172.04,1373713.7599999998,1563691.6,1955586.52
36,1597646.0,2019087.2,1545885.0,1886022.0,1654067.8000000003,1559914.0,1721226.5999999999,1444478.4,1656731.4,2009230.0
37,1675685.24,2100323.32,1660365.0,1936869.2,1712689.4799999997,1632479.4,1767037.56,1529473.84,1726569.1199999996,2098288.84
38,1762105.12,2198963.84,1772750.0,1962964.4,1781999.56,1704264.3999999997,1823509.64,1614259.36,1803590.6800000004,2177929.96
39,1873392.7599999995,2274933.4799999995,1892383.0,1986883.6,1851844.84,1794724.1999999995,1896627.72,1699682.3199999998,1877410.4800000004,2262614.36
40,1927800.4,2345843.44,1970134.0,2028546.7999999998,1931454.5200000003,1873783.5999999999,2003282.0399999998,1778280.56,1952519.96,2354315.52
41,2010647.6,2415690.3999999994,2042467.0,2068178.0,1981310.2000000004,1946113.0,2064404.4,1844233.6,2025378.0,2429148.8000000003
42,2116859.16,2494573.76,2112577.0,2116827.1999999997,2064787.9600000002,2012864.4,2092853.92,1913367.6399999997,2074025.4,2516331.7800000007
43,2195117.36,2527595.88,2150874.0,2152170.4,2122167.16,2081871.8,2146561.32,1990007.48,2184289.92,2529530.8
44,2270010.92,2530455.66,2218417.0,2201859.2,2201792.64,2165975.1999999997,2229632.12,2080016.2799999996,2232150.2,2532682.12
45,2359770.12,2531271.28,2310536.0,2267673.1999999997,2276014.8,2230494.6,2276865.2399999998,2151359.16,2309563.28,2533141.16
46,2460795.6,2535882.4,2387987.0,2321259.0,2358052.6,2280682.9999999995,2347413.4000000004,2220491.8,2383187.4000000004,2539471.9999999995
47,2529731.8000000003,2567850.36,2456352.0,2443514.2,2428176.6799999997,2366146.4,2426542.28,2311218.24,2426776.76,2580451.2
48,2537270.8,2600919.56,2518923.0,2526719.4,2501309.6799999997,2425224.2,2496252.68,2399059.48,2504083.68,2610744.22
49,2538636.52,2615405.840000001,2529790.0,2532442.1999999997,2528655.32,2479181.8,2533277.44,2472540.7199999997,2528441.76,2622272.0399999996
50,2548193.2,2662320.34,2535177.0,2532123.4,2529328.36,2526922.7,2555828.04,2529515.08,2531317.26,2675018.92
