index,304_1_www.history.de,304_2_www.history.de,304_3_www.history.de,304_4_www.history.de,304_5_www.history.de,304_6_www.history.de,304_7_www.history.de,304_8_www.history.de,304_9_www.history.de,304_10_www.history.de
1,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,18643.84,16232.72,29515.5,25230.919999999987,29340.399999999998,19651.320000000007,29758.0,15730.300000000003,28920.28,29365.7
3,52401.600000000006,70026.84,105181.79999999999,101877.71999999999,105304.32,56818.68,91371.00000000001,80427.16,116657.76,95174.2
4,196387.56000000003,253080.19999999998,320552.49999999994,232290.2,281749.1600000001,160352.6,306647.00000000006,204813.90000000002,277327.7599999999,316150.08000000013
5,451745.92000000016,513459.48,486856.6,424698.16,584896.1200000001,387565.8,452189.4,359111.96,461402.68,506641.96
6,554491.6,630039.4,635102.5,523861.8,723220.0000000001,521840.60000000003,472174.0,532984.4,472900.4,616662.5
7,593287.64,738926.72,681885.2,528182.52,913770.3600000001,546907.2,507211.00000000006,567230.96,545853.32,619285.28
8,680243.2000000001,887587.48,722923.5999999994,622060.44,1124860.28,576970.44,613127.0,607004.2,679842.6,704908.84
9,819099.4,995938.6,822036.0,742163.4400000001,1157999.8,702072.7600000001,716761.0,696115.08,809714.9600000001,819591.0800000001
10,977623.36,1182012.44,1033057.7999999997,876906.48,1324771.64,832179.6400000001,794426.2,805813.4000000001,947610.7999999999,959108.7999999999
11,1114473.0,1452726.0,1238138.0,1024461.4,1426550.0000000002,960547.4000000003,923150.0,949730.4000000001,1141293.4,1073040.8
12,1284855.8800000001,1643233.92,1439830.5,1129774.56,1599990.040000001,1081251.88,1052649.4000000006,1095554.3,1488096.4,1211588.9600000014
13,1457175.32,1862884.4,1612046.9999999993,1306325.24,1787659.8800000001,1287217.64,1214660.8,1229676.24,1830055.8399999999,1406484.4000000001
14,1782170.4000000001,2230139.9200000004,1748064.2,1592848.48,1963323.4000000001,1519836.44,1332364.6,1328849.9000000001,2167620.52,1790973.0
15,2186900.920000001,2543158.56,2008390.9999999998,1981665.8399999999,2147797.32,1771959.8400000003,1417006.4,1493567.0,2474026.8,2144546.4
16,2545318.2000000007,2943507.0,2372936.0,2367242.0,2274444.0000000005,2044757.8000000012,1538385.0,1652595.4000000004,2770525.8000000003,2511532.600000001
17,2882048.6,3317941.8400000003,2702490.0,2702319.84,2413668.68,2369290.2,1684361.0,1816672.12,3082111.2,2781054.6
18,3270720.56,3637337.36,3111056.999999999,3100741.5199999996,2521424.32,2709295.8000000003,1800755.8,1998628.28,3296589.1600000006,3161871.78
19,3634984.8000000003,3960067.28,3522389.1999999997,3457601.76,2674548.36,3008154.6,1914585.2,2157234.4000000004,3518095.6,3577320.8
20,3918779.4,4254860.6,3859285.2000000007,3798743.4,2853491.76,3307737.6400000006,2075572.4,2466823.14,3821358.6,3827332.2800000007
21,4129638.8000000003,4548972.0,4254765.0,4169705.8000000007,2980829.2,3704960.0000000005,2433777.0,2861065.0000000005,4080896.2,4124121.0
22,4515692.88,4881774.919999999,4588362.0,4499434.92,3178984.2800000003,4002890.9600000004,2905706.8000000003,3299268.04,4265698.72,4453742.2
23,4838448.0,5266692.4,4946308.999999999,4807227.2,3451799.000000001,4295814.12,3201563.8000000007,3623731.160000002,4440808.4,4861361.48
24,5149456.44,5598933.2,5306431.599999998,5218280.76,3738865.4,4512422.5200000005,3569725.6000000024,3964172.3800000004,4571456.600000001,5156955.340000001
