index,308_1_www.sueddeutsche.de,308_2_www.sueddeutsche.de,308_3_www.sueddeutsche.de,308_4_www.sueddeutsche.de,308_5_www.sueddeutsche.de,308_6_www.sueddeutsche.de,308_7_www.sueddeutsche.de,308_8_www.sueddeutsche.de,308_9_www.sueddeutsche.de,308_10_www.sueddeutsche.de
1,290.0,-442.0,-113.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0
2,90775.64000000001,94788.08000000003,66181.96000000002,50307.42,53198.5,151185.2799999999,50310.6,52632.8,58340.56,85924.48000000001
3,261336.00000000003,285801.2,292329.44,251582.72,265730.0,361711.8,289385.6,263951.6,319927.2799999999,267822.72
4,621920.8,673419.5800000001,672524.2,505770.0,646558.5,740207.06,627799.6,506828.0999999992,624690.3999999999,654345.36
5,766548.12,765683.68,768249.72,758476.04,764584.0,775659.04,763370.6,760428.8,771850.04,769065.52
6,782683.2000000001,806165.4,803921.0,775124.9,784276.5,861812.1,777112.0,772878.5,799815.0,784399.2
7,825907.84,859389.24,978679.36,819162.8,962581.0,888151.92,915563.3999999996,803473.9999999999,933432.4400000001,912943.8
8,984370.46,950289.32,1003900.56,975324.74,980111.5,972353.38,938452.8,977125.6,1003431.32,986783.72
9,1014040.68,1037021.4,1140002.4,994042.92,1063147.0,1030127.4,959229.6,990944.2,1085173.92,1024008.8
10,1024688.36,1088074.8,1156587.08,1052541.4000000001,1105290.5,1068966.56,987383.4,1053382.3,1112820.16,1087733.44
11,1064959.6,1131578.4,1213845.2,1084490.2,1132241.0,1110809.8,1059560.0,1056744.0,1174549.0,1146311.2
12,1108283.9800000002,1148618.46,1220332.92,1111048.18,1174376.0,1169554.2399999998,1110808.2,1067756.7999999998,1219887.8,1178047.64
13,1113680.48,1214596.2,1266335.08,1192143.84,1210929.0,1226820.28,1134189.0,1117616.9999999998,1247799.1199999999,1226841.2
14,1180925.22,1241235.1600000013,1282655.92,1206192.94,1238701.5,1248125.62,1155777.0,1211271.1,1342040.0799999996,1246089.0
15,1230843.52,1341531.36,1360216.08,1241822.96,1326833.0,1291681.4,1318910.8,1205680.0,1363054.44,1334452.24
16,1335224.2999999998,1379474.1,1380009.2,1306451.9,1352047.0,1329156.5,1367503.0,1290894.0,1413349.9999999998,1350344.0
17,1388485.08,1424404.08,1421932.04,1336171.52,1377681.0,1453275.08,1395345.4,1340185.2,1474366.6,1389986.44
18,1420324.32,1460687.08,1471117.08,1355529.46,1405216.0,1487847.94,1436848.9999999995,1386336.7,1478081.8800000001,1433140.32
19,1465221.28,1501659.68,1522571.24,1393339.76,1453450.0,1499359.68,1451681.8,1412730.8,1568712.68,1458425.88
20,1471329.3599999999,1522886.44,1592668.68,1413297.08,1493836.0,1583098.58,1479257.9999999998,1438508.8,1615726.84,1459269.36
21,1519810.4000000006,1580136.0,1619816.4,1441952.4,1499245.0,1613124.6,1506958.0,1459612.0,1650084.7999999998,1535346.8
22,1586015.56,1599530.1,1659467.52,1469805.28,1533676.0,1656438.72,1539188.4,1548802.6,1674990.04,1550261.8
23,1617375.8399999999,1676255.28,1688647.36,1498465.96,1601817.0,1696602.52,1579836.8,1595222.5999999999,1686338.28,1632400.36
24,1647130.92,1700674.42,1729937.44,1502980.06,1635256.5,1718520.0,1631176.2,1609739.3,1735946.2,1650755.76
25,1671828.44,1748476.3600000013,1763756.8800000001,1508346.1200000003,1661673.0,1841283.8399999999,1686831.2,1644396.0,1771146.24,1671795.76
26,1724660.0,1776725.0000000005,2070772.0,1552727.5,1696246.5,1867511.5,1711764.9999999998,1652102.0,1779306.0,1685998.0
27,1735301.04,1798630.68,2105808.44,1559259.96,1730748.0,1912237.12,1736616.6,1680814.4,1835487.96,1719158.24
28,1789469.0800000003,1919455.48,2116807.12,1662297.94,1751984.0,1904112.74,1733880.4000000001,1729047.7,1918825.96,1747183.88
29,1866822.48,1916168.12,2152639.6799999997,1704681.28,1838562.0,1973409.5199999998,1762515.2,1801950.4000000001,1949583.04,1845318.8399999999
30,1947179.88,1959317.42,2167470.24,1718040.96,2004621.0,1984813.84,1877293.5999999999,1834549.4999999995,1977073.9200000002,1996811.64
31,1967376.8,2065457.2,2175223.6,1805411.2,2023124.0,2108694.3999999994,1981737.0,1984375.0,2253552.6,2006665.2000000002
32,1978576.24,2203990.42,2222413.04,1855110.78,2054546.5,2323006.399999996,2155371.6,2026897.7,2335444.76,2038300.92
33,1988345.44,2323635.32,2256393.48,1869873.9600000002,2060161.0,2535462.88,2286743.2,2031558.6,2350329.5999999996,2072516.12
34,2034453.1800000002,2367754.82,2362798.16,2021698.6400000008,2085041.0,2545905.66,2311557.2,2069175.1,2364961.16,2157832.16
35,2063054.76,2382844.88,2416453.68,2079694.92,2148149.0,2591728.56,2325660.8000000003,2087768.2,2380372.24,2195239.56
36,2174451.2,2435160.000000001,2456251.2,2096369.8000000003,2174771.0,2600041.4,2344459.0,2125925.0,2422165.9999999995,2308707.0000000005
37,2346027.96,2503257.7600000002,2524941.16,2146067.2000000034,2240134.0,2662490.36,2360278.6,2169969.2,2466490.479999998,2508706.32
38,2372041.7,2543408.38,2531268.28,2191429.88,2438422.5,2713828.56,2456304.1999999997,2184459.5000000005,2556601.559999999,2621289.64
39,2424801.3200000008,2641492.52,2552797.04,2206976.4,2472181.0,2720821.56,2495945.2,2201305.4,2667201.48,2703984.84
40,2592249.0400000047,2698696.98,2660448.12,2232869.48,2600032.0,2745919.119999999,2504340.0000000005,2243466.2,2786756.64,2712991.08
41,2695240.8,2760575.4,2685916.2,2237974.2,2736368.0,2774781.2,2539990.0,2259703.0,2803247.0,2714219.6
42,2704975.8000000007,2794483.84,2699987.04,2254481.88,2757356.5,2803323.92,2557552.2,2271388.7,2931952.1199999987,2751546.0800000005
43,2734903.880000001,2818247.72,2710843.8,2255003.44,2903605.0,2807773.28,2680606.4,2318374.0,3043939.32,2782331.84
44,2769916.98,2853142.68,2770872.96,2295996.4800000004,2905302.5,2824881.7,2715808.599999998,2438866.4000000004,3160788.32,2800991.2000000007
45,2778989.6799999997,2874875.64,2824417.32,2310541.12,2939708.0,2947657.72,2796851.6,2507822.2,3220843.56,2804485.8
46,2803962.0000000005,2911973.8,2891658.2,2329751.0,2963239.0,3036809.3,2809584.999999999,2514615.5,3242172.4,3363176.4
47,2867639.28,3049450.16,3060601.68,2439624.7199999997,2972665.0,3044092.48,2827157.6,2575248.8000000003,3238661.28,4037177.280000004
48,2877789.88,3192199.28,3068813.16,2448581.38,2981800.0,3175305.92,2843928.8,2664841.1,3262358.6399999997,4807053.88
49,2884852.08,3192963.68,3069254.88,2602546.3600000003,2994038.0,3277005.84,2853598.6,2681881.8000000003,3283584.399999999,5067556.800000001
50,2895038.34,3207332.46,3074900.16,2912048.64,3001139.0,3287103.12,2906547.8000000003,2736530.9,3290356.28,5113380.16
