index,332_1_www.wetter.com,332_2_www.wetter.com,332_3_www.wetter.com,332_4_www.wetter.com,332_5_www.wetter.com,332_6_www.wetter.com,332_7_www.wetter.com,332_8_www.wetter.com,332_9_www.wetter.com,332_10_www.wetter.com
1,-442.0,-442.0,-442.0,-442.0,29.0,-442.0,-442.0,-442.0,-442.0,-2219.0
2,166793.4,158886.92,32331.5,171287.4,134315.56,222428.2,421811.2,151411.0,239226.55999999985,202199.78
3,720338.9599999998,908607.84,54166.0,916708.08,176566.56,1032064.0,664107.36,781085.3999999999,1049561.6,967054.0400000002
4,1139503.32,1188542.8800000001,111153.0,1205196.2999999998,520912.4,1384605.4,985134.46,1111647.5999999985,1384254.96,1314912.5600000003
5,1323997.56,1361322.12,249656.0,1440522.44,907743.52,1612611.4,1218206.52,1294579.5999999994,1594565.56,1554842.88
6,1445523.2000000002,1520708.7999999998,429049.5,1626165.1,963366.4,1848015.0,1288040.1,1425457.5,1822447.2,1670757.8
7,1606806.96,1674579.8,729962.0,1853683.6800000002,1145235.68,1933501.8,1579931.04,1580887.9999999988,1946618.96,1866724.1200000003
8,1780411.72,1909541.46,922647.0,2067291.44,1283586.92,2124914.8,1842963.56,1814525.4,2102778.479999999,2021654.38
9,1815193.52,1971311.3599999999,963474.0,2289605.36,1358183.04,2369876.6,2231207.4,1908482.4,2399773.28,2229713.8400000026
10,1976495.2000000002,2041006.02,1132899.5,2370976.5399999996,1416114.96,2668317.0,2774602.659999999,1969875.2,2520879.0800000005,2308233.42
11,2051934.0000000002,2163006.6,1191431.0,2521754.8,1457121.0,2906950.0,2916543.8,2075721.0,2657319.2,2553119.2
12,2162978.36,2518744.22,1293249.5,2787626.96,1616264.6800000002,3417890.2,3269080.66,2298106.9,2873810.2800000003,2819632.22
13,2474419.4400000004,2591661.52,1349391.0,2921789.3600000003,1916217.2000000002,4081258.8,3755171.52,2422837.9999999995,3197012.16,3125865.7200000007
14,2682753.48,2707087.7600000002,1495413.5,3204065.8200000003,2274169.4,4230581.800000001,4379566.04,2637566.4,3343492.08,3926559.2600000002
15,2941359.56,2769884.08,1509885.0,4020102.76,2665268.76,4472915.8,4495658.88,2746839.3999999994,3486521.0399999996,4299205.4399999995
16,3097732.2,2832096.4,1558814.0,4533345.7,3197191.8000000007,4628468.5,4630220.3,2913045.5,4478796.999999994,4464117.7
17,3239776.64,2993295.64,1603449.0,4754099.640000001,3973233.36,5118431.8,4705830.6,3249558.9999999995,4734189.04,4615173.359999999
18,3371243.6399999997,3180766.18,1651591.0,4870299.68,4467783.72,5203639.600000001,4815256.36,3375416.6999999997,4936476.2,4748246.36
19,3681432.72,3349559.56,1668238.0,5001007.76,5253127.68,5291405.399999999,5018982.44,3491613.8,5362076.72,5011932.200000002
20,3840940.76,3506693.5600000005,1735907.0,5236557.879999999,5854753.279999999,5397498.199999999,5089636.82,3627840.2999999993,5556035.44,5148233.26
21,3968141.0,3812299.399999994,1760468.0,5311886.6,6061379.2,5655043.0,5244101.4,3750043.0,5903963.2,5214689.2
22,4090721.64,4018721.98,1778993.5,5438209.36,6393518.68,5795510.7,5330072.9799999995,3801739.9,5968591.04,5275844.12
23,4233816.32,4260278.800000001,1810073.0,5471105.88,6548717.759999997,5868675.4,5397909.16,3839876.6,6037411.28,5339009.24
24,4424285.72,4591720.46,1845666.0,5547423.6,6751857.76,5915963.9,5473637.44,4159564.399999997,6123440.2,5393924.46
25,4561123.28,4768002.8,1911652.0,5626844.16,7022631.760000001,5958969.6,5550534.64,4566284.8,6228661.24,5426717.84
26,4687705.0,5017999.0,1988644.5,5674073.5,7223646.0,6040328.5,5655302.0,4612407.0,6293694.0,5473732.0
27,4795891.28,5271035.04,2009788.0,5715495.84,7408782.84,6118626.200000003,5716223.6,4658700.2,6360579.64,5498856.520000002
28,4930799.92,5367659.899999999,2043409.0,5805259.5600000005,7598462.56,6130509.6,5817748.32,4716089.1,6439224.320000001,5551069.779999999
29,5001794.6,5476536.4399999995,2087438.0,5908486.079999998,7763300.8,6206466.6,5876643.24,4761705.6,6518911.36,5613421.32
30,5273335.88,5528081.62,2099476.5,5963813.16,7989768.28,6460979.899999999,5956037.18,4837366.3,6571053.64,5741362.18
31,5397975.0,5570826.600000001,2116557.0,6022305.4,8199388.2,6602860.0,6078014.0,4883822.0,6616578.800000001,5798379.8
32,5512109.84,5633538.74,2184492.0,6110938.1,8382637.28,6662011.3,6290652.48,4928872.6,6659357.08,5879509.62
33,5588635.28,5704227.16,2245755.0,6879411.199999999,8531386.76,6707274.4,6421871.6,4959569.8,6733670.28,5942765.96
34,5659514.28,5732596.16,2328975.0,7610768.68,8657746.48,6797844.6,6504655.380000001,5025489.1,6805327.24,5992146.220000001
35,5694316.6,5815813.96,2433863.0,8267973.399999999,8874862.2,6856981.8,6581226.2,5064375.4,6857206.88,6054174.64
