index,334_1_prezi.com,334_2_prezi.com,334_3_prezi.com,334_4_prezi.com,334_5_prezi.com,334_6_prezi.com,334_7_prezi.com,334_8_prezi.com,334_9_prezi.com,334_10_prezi.com
1,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0
2,16749.1,18067.04,29682.78,34033.26000000001,27490.30000000001,28395.52,28444.28,28410.52,29587.96,27543.64
3,36222.6,36692.16,42964.44,45659.32,51292.95999999999,52698.960000000014,52748.12,58716.96000000001,43014.88,36788.560000000005
4,59396.3,65988.44,358189.75999999966,140846.24000000002,180952.92000000004,204616.56,186444.9,243232.52000000002,166134.64,128122.81999999998
5,403828.4,256959.60000000003,714733.32,347626.68,349573.24000000017,434523.0800000001,427390.76,451131.28,428963.76,427551.39999999997
6,498322.5,445798.3,730086.2,408226.1000000001,442692.1,450475.0,456307.1,475612.2,537852.0,598886.3
7,796546.04,718033.7200000001,1007376.3599999999,520159.64,506302.16000000015,595173.36,445731.32,469075.52,679384.56,738396.88
8,896343.2999999999,913464.9200000007,1172248.5199999998,571042.7000000001,615107.78,956565.6400000001,467079.10000000003,712220.04,901024.5599999999,968421.7199999994
9,1375355.2,1143249.9600000004,1245400.3199999998,679414.64,845059.8400000002,1228740.1600000001,533953.32,830168.92,1179897.2,1328078.4
10,1806322.4800000002,1416003.3,1366379.2999999998,872074.9199999999,1006192.7000000002,1410501.36,588208.82,916830.74,1454252.6,1687329.4
11,2114686.4,1667772.2000000007,1497129.8,1001339.0,1164609.0,1489161.4000000006,656861.2,973984.5999999997,1806998.0,2015295.9999999993
12,2443372.0000000005,2005742.3200000005,1600162.7,1167926.6800000002,1315124.52,1671472.4400000002,709150.4600000001,1037906.04,2251060.639999999,2387370.6
13,2904742.84,2367416.44,1721184.3199999998,1390176.2,1549564.5600000003,1876392.52,798818.92,1096957.2,2444722.28,2729282.24
14,3418203.079999999,2854405.62,1772886.0999999999,1622722.3,1647169.3200000003,2208285.52,849364.06,1175840.78,2673185.04,2989807.8
15,3956657.28,3353158.6800000016,1957128.68,1711950.0400000003,1833608.7200000004,2513421.24,920286.1600000001,1252813.6,2819147.24,3286764.88
16,4454063.399999999,3793439.4,2018581.6,1888387.1,1961957.9,2701718.6,1022984.9,1333958.8,2969006.2,3521588.6
17,4983355.08,4278739.920000001,2121514.1999999997,2028090.84,2132394.24,2831684.200000001,1156094.96,1401167.32,3283659.08,3784310.36
18,5521506.72,4868915.040000001,2244131.9,2210220.36,2338288.94,3057119.5200000005,1245549.2,1482674.12,3563668.079999999,4057372.9599999995
19,5797803.32,5450821.16,2260017.68,2397436.84,2392730.84,3279929.3600000003,1351577.6799999997,1568952.32,3849667.72,4456261.0
20,6286770.16,5941426.600000001,2321959.3,2532100.3,2465999.98,3574587.0,1493222.1599999995,1666355.5600000003,4137561.88,4815917.999999999
21,6801132.4,6490993.6000000015,2467648.0,2637886.8,2539433.8000000003,3946800.6000000024,1602246.9999999998,1711667.6,4551591.0,5236506.6
22,7329284.679999999,7022509.440000001,2548314.6999999997,2746819.48,2688992.6400000015,4313326.600000001,1672807.3,1743750.82,4766213.4399999995,5554375.3
23,7491523.24,7452074.8,2671673.4,3047205.9600000028,2945934.12,4487060.600000001,1783534.56,1803447.7999999998,4951796.6,5845238.88
24,7521877.06,7484893.22,2763199.28,3408294.24,3049481.72,4700141.28,1897740.42,1884098.72,5135307.4,6143166.96
25,7767793.28,7512367.2,2883828.24,3671198.8000000003,3342497.7200000007,4985379.4,1971735.7200000002,1953691.6,5328737.6,6417555.96
26,7780178.0,7627911.0,3022200.5,3917814.5,3624742.0000000005,5189391.0,2051861.5,2030339.5,5455501.0,6711125.0
27,7823816.8,7765795.6,3121222.1999999997,4249892.88,3783829.8000000003,5315250.28,2146103.0,2112097.56,5630882.88,7052370.5200000005
28,7846023.4,7787364.800000001,3190398.34,4612284.4,4018194.1,5382187.04,2236637.0799999996,2155979.04,5819955.84,7396508.08
29,7870092.92,7809539.56,3311695.04,4955705.96,4276819.0,5430668.4,2348109.1600000006,2280785.12,6028981.48,7779851.119999999
30,7935617.06,7835272.26,3448771.3,5261539.44,4417129.240000001,5673062.2,2434992.34,2391768.1,6297833.080000001,7805144.7
31,7944454.6,7868325.6,3520494.1999999997,5629946.0,4495442.4,5942405.0,2564917.2,2552774.1999999993,6541335.0,7854262.6
32,7973192.16,7890031.44,3543184.62,5882289.28,4599273.08,6264426.600000001,2793176.3000000003,2786070.3200000003,6694013.96,7880500.08
33,7976311.36,8016451.399999999,3584650.96,6357231.520000001,4729239.880000001,6550753.960000001,2997559.56,2985634.8,6987034.56,7933285.279999999
34,7986160.84,8023633.88,3604737.44,6693411.42,4876542.34,6747217.0,3219151.760000001,3236868.76,7386368.919999999,7985154.86
35,7990368.64,8088878.32,3734346.599999999,6900557.04,5006548.2,6958849.240000002,3446319.7199999997,3500322.240000001,7831950.2,7992911.68
36,8008831.4,8181828.9,3808112.9999999995,7060737.1,5146594.5,7400652.0,3772171.4000000004,3573904.6,8022990.0,8031364.2
37,8037307.04,8230861.04,3875805.9199999995,7204578.16,5278438.520000002,7797376.8,4169560.5999999996,3611180.64,8026952.56,8035159.72
38,8033980.2,8237771.46,3923181.579999999,7332990.7,5522953.680000001,8009288.32,4382792.460000001,3685323.12,8042751.72,8051025.199999999
39,8130766.2,8258075.88,3981747.2800000003,7497277.8,5652510.16,8061963.800000001,4648159.88,3835418.4000000004,8065655.72,8089466.4
40,8149618.46,8284085.72,4040564.36,7631686.44,5730978.400000001,8075800.88,4824025.18,4160573.22,8093604.52,8115090.66
41,8155323.6,8299287.0,4109136.7999999993,7697148.6,5809936.2,8174367.2,4918605.0,4538436.0,8133904.8,8156375.8
42,8173318.98,8360675.74,4170595.6999999997,7799043.48,5951619.84,8179663.56,5074349.54,4860695.5,8173655.48,8192699.22
43,8310180.52,8374774.32,4271332.44,7910334.84,6041680.92,8201880.72,5381323.680000002,5184109.6400000015,8251300.8,8294552.6
44,8367042.78,8388680.62,4356321.82,8000478.6,6137301.24,8284093.52,5760554.02,5432956.84,8337470.68,8369024.72
45,8394329.44,8396483.88,4468825.28,8116867.96,6214805.08,8328486.48,5940182.5200000005,5691633.12,8403821.2,8421026.96
46,8407286.4,8405130.2,4595388.199999999,8223484.6,6305221.000000001,8428582.8,6102493.8,5900767.800000003,8412529.4,8434296.8
47,8424244.16,8404944.4,4714713.92,8316015.04,6401880.48,8446422.88,6228265.24,6171543.8,8424416.24,8452770.24
48,8434892.12,8408815.26,4851805.919999999,8475074.360000001,6519226.040000003,8452124.24,6324692.1,6572082.38,8446489.88,8471249.52
49,8442766.76,8420145.2,5148885.279999997,8600852.12,6712054.360000001,8468341.04,6580369.0,6983264.12,8459735.08,8481651.2
50,8456963.64,8429723.98,5336653.9799999995,8615549.54,6831641.2,8484606.0,6833348.7,7331321.94,8471915.84,8491798.82
