index,340_1_www.mindmeister.com,340_2_www.mindmeister.com,340_3_www.mindmeister.com,340_4_www.mindmeister.com,340_5_www.mindmeister.com,340_6_www.mindmeister.com,340_7_www.mindmeister.com,340_8_www.mindmeister.com,340_9_www.mindmeister.com,340_10_www.mindmeister.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0
2,6664.840000000005,6871.68,5418.76,10283.0,8157.079999999999,8437.84,8478.5,8629.56,8082.46,8080.18
3,29397.52,29938.12,29187.16,23368.0,31298.92,29100.32,28369.399999999998,31766.36,30768.48,31266.16
4,28391.96,26368.32,28608.24,36541.5,23249.12,27943.719999999994,30324.099999999995,27134.880000000016,26454.26,29292.76
5,29822.400000000016,30651.600000000013,31471.160000000003,34485.0,43118.92000000001,36882.200000000026,43760.799999999996,36855.24,37537.600000000006,41551.60000000001
6,46644.2,42502.4,54415.199999999975,48305.0,60690.2,55043.8,47193.5,55652.799999999996,54217.700000000004,53690.6
7,69083.04,54713.719999999994,66879.56,65018.0,74025.88,74985.16,55668.4,63649.76,74590.95999999999,68127.08
8,81671.52,71719.12,73554.88,65951.5,114722.64000000001,87834.95999999999,86060.7,71173.30000000005,109944.22,84702.79999999999
9,89831.44000000015,100271.12000000001,113065.28,91935.0,140836.52000000002,99308.20000000004,120258.6,146489.72,138267.32,117430.40000000002
10,123234.24000000002,131377.91999999998,126421.04,119778.0,148983.44,164179.8800000001,168475.10000000033,151027.04,139335.62,121593.26
11,184375.4,128037.99999999999,135981.8,165744.0,355724.80000000016,265279.60000000003,205165.0,160375.80000000005,200188.80000000028,143070.4
12,220308.92,191718.84000000005,202479.79999999996,250868.5,559037.2400000002,296875.80000000005,339218.20000000007,297869.6600000002,330707.42000000004,233496.38
13,249425.0,296562.80000000005,360779.5599999996,322375.0,649575.4,436506.9200000002,547558.6,513007.52,521292.6400000002,369719.32
14,389771.7200000001,453673.4,567475.7599999999,493712.0,693809.4,584209.1200000003,625507.4000000001,616308.1200000001,647103.5800000001,496266.0400000002
15,545409.2000000001,567718.44,646899.4,588609.0,762742.4000000001,656749.6000000001,652033.4,709890.4400000001,703619.16,572367.7999999999
16,641178.0,647852.0,688702.8,690727.0,916078.0000000001,700756.8000000002,810673.5,762500.0000000007,710167.6000000001,648563.4000000001
17,658477.6,798302.52,751877.9599999998,695827.0,1106159.28,812205.84,1012488.8,880878.2000000001,755482.04,728369.04
18,729739.28,1019671.8799999998,833570.9600000002,874857.5,1279932.72,940519.8000000002,1160477.0000000005,1079499.7,788583.7,823793.24
19,826627.6000000003,1154811.560000001,980998.5999999999,966845.0,1406104.4,1020838.4000000004,1217153.8,1229254.84,909350.8400000001,1016702.68
20,903836.6,1529572.8800000004,1116143.2799999998,1092268.5,1665908.1200000003,1207895.08,1388595.3999999997,1348052.7200000002,979690.6,1257164.1600000001
21,1088855.4000000006,1720434.8000000003,1235615.6,1247818.0,1832853.2000000004,1347311.0000000002,1581617.0,1499001.2000000002,1086886.6,1439066.2000000004
22,1315197.3600000003,1928813.4400000002,1383203.6,1361482.0,2057610.8,1476240.4000000001,1816691.7000000002,1637827.48,1256558.1,1637499.7
23,1508906.2400000005,2096975.76,1499758.64,1500433.0,2195796.76,1501084.28,2051300.2000000002,1813644.6000000008,1451630.36,1810878.96
24,1724900.9600000002,2112096.52,1594622.7599999998,1644921.5,2211976.76,1670002.4800000007,2152323.0000000005,1997087.8200000012,1563788.02,1952323.8400000005
25,1801962.5599999998,2179994.56,1669274.32,1807082.0,2221611.2,1872243.8400000005,2193447.4,2132858.0000000005,1661738.12,2137447.2000000007
26,2150506.0,2185203.0,1710063.0,1994106.0,2337427.0,2018111.0000000002,2207192.0,2179205.5,1758239.5,2197092.5
27,2194721.96,2201936.64,1867274.8399999999,2075437.0,2442003.1999999997,2115348.2399999998,2235789.8000000003,2203962.2,1903420.8800000001,2210564.44
28,2202501.36,2209328.16,1926529.7999999998,2170717.0,2600376.6,2163309.4800000004,2434228.0000000005,2215295.42,1985512.3800000001,2217062.12
29,2208988.84,2258652.96,2055593.2,2200561.0,2713365.56,2247078.68,2614498.0,2233713.5600000005,2050378.88,2224717.76
30,2274867.8000000007,2372516.64,2212989.52,2228917.5,2945101.6000000015,2314583.9600000004,2664334.1,2374113.8000000003,2137577.52,2405133.020000001
31,2511294.2000000007,2494959.0,2256434.8,2304435.0,3210267.1999999997,2477869.4,2835537.0,2573211.400000002,2277363.0000000005,2580550.000000001
32,2659762.16,2621541.2,2398026.7199999997,2507901.0,3465123.8000000003,2551572.9200000004,3114210.2000000007,2817001.2800000003,2430486.1,2673614.44
33,2692048.6,2666357.6799999997,2513883.84,2701160.0,3729124.6,2667393.52,3352297.2,3058972.840000001,2583078.2400000007,2757722.2000000007
34,2929991.5200000014,2762988.08,2596689.96,2908184.0,3960867.4,2675568.8000000003,3626044.0,3210178.48,2719922.04,2997922.680000001
35,3160885.9600000014,2970240.1599999997,2683818.2800000003,3128498.0,4134412.4,2826976.68,3848998.2000000007,3371403.4,2886128.2399999993,3261198.7199999997
36,3391612.4000000013,3157923.6,2820238.4,3304750.5,4361538.0,2908078.2,4124688.0,3565273.400000001,3152976.4000000004,3539046.2000000007
37,3602681.4,3322406.720000002,2944034.4399999995,3545687.0,4563196.88,3117089.56,4424732.600000002,3718294.6,3388142.2,3736959.720000002
38,3836627.24,3553408.5999999996,3109230.08,3756216.0,4584219.319999999,3157762.2800000003,4651451.4,3901052.72,3633780.3200000003,3979183.8799999994
39,4000350.7600000002,3749488.52,3167435.8399999985,3935845.0,4667976.4,3175718.92,4895338.8,4177142.720000001,3879539.6800000034,4236586.08
40,4250380.000000001,3954166.2800000017,3373655.9599999976,4200461.0,4740849.4,3280040.6,5174686.2,4376321.18,3995750.54,4586359.280000002
41,4342846.800000003,4095955.6,3573776.5999999987,4366360.0,4973625.800000001,3490174.400000001,5195265.0,4564028.0,4012144.6,4927063.600000002
42,4370018.76,4155394.0,3701873.0,4408497.0,5020952.48,3643790.4,5237513.0,4682949.38,4089085.2,5118185.08
43,4380456.600000001,4255620.6,3884840.24,4425538.0,5091207.24,3869472.9200000023,5349905.8,4739107.52,4323978.279999999,5163649.76
44,4463042.800000001,4283712.320000002,4104155.4,4435159.5,5110523.04,4065672.32,5353071.1,4751906.78,4525833.62,5186882.66
45,4533957.16,4461948.8,4344578.039999999,4535550.0,5119720.28,4256203.32,5416455.4,4827972.960000001,4645480.4399999995,5253329.04
46,4588605.2,4586838.6,4412143.8,4566850.0,5126879.2,4456962.4,5605006.0,4905515.5,4687315.7,5340079.9
47,4821155.64,4602202.12,4437858.32,4610897.0,5153868.4,4687960.48,5730744.4,5045016.560000003,4808348.2,5407504.720000001
48,4827133.08,4609984.6,4448005.04,4686087.0,5161856.68,4722952.92,5736846.2,5198456.12,4972791.62,5606150.9
49,4837344.08,4615841.12,4457618.48,4882437.0,5169781.08,4731222.76,5743893.8,5205690.32,4982958.12,5634397.76
50,4841227.04,4623017.28,4464444.32,4889213.5,5178047.6,4736891.12,5749055.3,5211399.98,4991433.9,5642438.28
