index,342_1_www.alternate.de,342_2_www.alternate.de,342_3_www.alternate.de,342_4_www.alternate.de,342_5_www.alternate.de,342_6_www.alternate.de,342_7_www.alternate.de,342_8_www.alternate.de,342_9_www.alternate.de,342_10_www.alternate.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3582.2400000000002,3634.42,3774.12,4127.4,4090.3,5180.100000000001,3959.2200000000003,5182.32,4098.78,4130.58
3,6136.5199999999995,6240.84,8536.72,9748.199999999999,8385.800000000001,8330.08,8274.52,13334.16,8223.92,8557.08
4,13961.72,14052.880000000001,14217.799999999997,16321.6,15738.8,31822.18,15970.600000000008,33393.44,33193.8,16754.160000000003
5,34153.159999999996,36943.44,33013.76,33984.00000000001,41504.6,36637.76,34387.24,64036.04,36441.84,27557.960000000006
6,52405.8,70385.4,47636.2,43025.0,43155.5,51826.9,57472.999999999985,70658.4,73508.19999999981,36004.3
7,80585.12,97954.68000000001,69316.91999999998,61655.8,60842.000000000015,75439.43999999999,72799.72,153004.8,134304.8,38992.64000000001
8,127090.47999999997,150480.26,124681.96,102934.2,78014.9,120764.30000000002,107174.40000000001,179682.76,155856.99999999994,75924.46
9,236781.27999999994,209936.52,164639.07999999996,160577.6,120650.00000000003,154544.24000000008,149715.6,193921.76,244627.11999999994,157813.32
10,293087.84,268842.12,260329.48000000013,177235.6,187197.1,190814.1,227175.91999999998,217045.92,281788.56,243592.82
11,296693.6,296268.2,293149.4,197369.0,268453.0,202931.2,295394.0,237544.00000000003,299144.4,257275.40000000008
12,295991.6,296192.46,300228.96,199682.8,302238.7,228791.48,301086.19999999995,283257.08,301647.64,281621.66
13,302257.12,299502.04,302808.28,214133.4,307162.8,241483.72,344060.44,319806.79999999976,312158.36,306877.48
14,299019.48,302375.34,316880.68,252768.40000000002,313062.3,242976.02,343332.82,375417.9999999999,324635.69999999995,350589.27999999997
15,319980.96,313293.52,332914.36,293835.0,326649.8,306386.32,350394.96,428481.95999999996,365163.72000000003,354973.96
16,362067.2,323241.2,366390.8,331689.0,360889.0,344821.4,370755.00000000006,472783.0,393406.9,352434.00000000006
17,358929.07999999996,321255.72,373441.76,378757.6,386220.39999999997,397363.5200000002,384318.2,531912.08,405114.6,381601.48
18,410572.1600000001,357247.5400000001,372125.08,381798.4,433344.5,471300.5200000001,429832.7,616747.88,459121.74,388196.12
19,465221.32,362022.52,387049.2800000001,439748.60000000015,479463.4000000001,473171.08,486204.88,688428.8,519642.99999999994,416047.72000000003
20,466251.60000000003,385896.4,449498.31999999995,457633.79999999993,498080.2,476437.36,518321.80000000005,730532.4,577175.3799999999,498870.10000000003
21,490319.80000000005,419969.80000000005,489897.0,506055.0,507606.0,491477.8,543324.0,810238.0,653967.9999999999,537504.2
22,557291.64,430092.82,531444.2,575091.8,536545.1000000001,541017.18,577965.1,864234.7999999999,679872.7199999999,622305.64
23,632204.3200000001,469580.16000000003,559430.7999999999,618300.4,599943.0000000001,551059.56,594809.64,921734.2,759509.8399999995,704705.8
24,684389.12,499580.58,662914.4,660050.4,616015.8,583156.72,610224.3,988093.4,821502.9999999999,782413.3
25,741617.92,514194.07999999996,751468.3199999998,684683.8,657800.0,609234.2400000005,659443.12,1042102.599999999,872174.24,833942.2
26,769594.0,567167.0,833558.0,714144.0,701795.0000000001,664530.5,685898.5,1109742.0,917011.9999999995,907825.0
27,858619.12,637667.2000000001,927209.6,748468.0,765684.4,700282.7200000003,703368.6400000001,1143991.48,959089.0399999999,1031691.32
28,917596.32,715206.0200000003,953293.68,791513.6000000001,832308.2000000004,746957.2200000001,739332.4,1156760.36,998137.82,1076012.46
29,982641.52,800584.5599999999,1008261.32,808013.6,924973.0000000001,771144.88,808305.68,1157901.16,1033002.3199999995,1084971.44
30,1009202.24,862766.7000000001,1035264.96,816893.4,982525.6000000001,818422.7,886637.24,1164965.0,1069731.2,1086277.76
31,1016160.7999999999,944823.4,1094168.7999999998,823257.0,1014730.0,863439.4,947904.8,1188538.0,1095032.5999999999,1099232.0
32,1049671.0799999998,1040250.7599999999,1135912.5999999999,874323.0000000001,1048745.0,865364.7999999999,951743.72,1201562.28,1136597.9199999997,1121466.5000000002
