index,353_1_de.napster.com,353_2_de.napster.com,353_3_de.napster.com,353_4_de.napster.com,353_5_de.napster.com,353_6_de.napster.com,353_7_de.napster.com,353_8_de.napster.com,353_9_de.napster.com,353_10_de.napster.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2190.0,-442.0
2,1141.8000000000002,1355.76,1346.28,4107.24,1335.6999999999998,2935.3999999999996,1340.6,1041.7799999999997,565.8999999999999,1472.9800000000002
3,5060.84,4045.3199999999997,4065.96,4613.68,3998.600000000001,5254.16,3848.2,5475.280000000001,4314.32,4597.679999999999
4,6794.840000000005,4460.240000000001,5543.520000000001,8572.68,4094.54,6043.400000000001,4097.72,6189.099999999999,7411.58,5425.639999999998
5,9983.2,5421.24,4661.72,18075.2,5004.679999999999,7536.4800000000005,4728.24,8134.119999999999,16997.4,8409.88
6,18934.999999999996,6581.999999999999,8621.4,23974.4,7089.7,18215.8,6031.0,18067.0,23699.6,18161.1
7,26515.16000000002,8559.56,8664.72,32185.200000000015,10029.44,25704.199999999993,8093.08,24857.12,27113.16,26043.08
8,52499.24,10006.600000000011,15442.280000000008,50447.92,13135.059999999998,26423.56,7923.399999999997,27167.1,54890.17999999998,26047.760000000002
9,79293.24,17899.600000000002,18581.36,68639.72,13260.320000000007,30276.44,13809.4,43654.92000000003,77965.87999999999,28640.399999999998
10,117249.44,25816.96,24900.16,106126.84,16428.96,49471.96000000001,18099.68,81285.20000000001,93566.96,63543.40000000001
11,167696.19999999995,27106.600000000002,26477.0,143376.8,15900.4,67694.8,24828.399999999998,109473.6,104037.8,115083.39999999995
12,180492.96,28886.36,28134.8,180274.23999999996,21878.1,105957.12000000001,23916.92000000001,162887.9,122664.29999999999,146881.51999999993
13,179396.63999999998,33550.08,43017.4,182651.72000000003,26439.64,139061.4,29335.16,180277.68,143869.84,173393.52
14,182056.16,59643.27999999999,57842.56,186409.08,33915.72,187904.56000000006,33206.559999999976,179573.24,158945.32,177883.38
15,186559.40000000002,82877.68000000004,78714.96,192886.40000000002,32045.84,187720.84,57055.71999999998,184255.12,190202.19999999998,179197.48
16,194813.0,87293.59999999999,115749.4000000001,211939.2,33790.9,193517.80000000002,70935.79999999996,186922.50000000003,192068.59999999998,181956.59999999998
17,222181.76,136559.2400000001,171854.48,251030.76,36059.80000000001,196671.2,81343.44,195075.36,197187.52,184887.52
18,249256.52,172263.96,177635.4,302967.48,54485.3,202197.88,117600.84,217891.1,204757.08,186012.1
19,251329.8,177354.24,179016.68,338211.16,80559.72,227740.0,159875.2,247741.80000000002,257374.68,204585.40000000002
20,256783.32,180312.28,180006.68000000002,343076.39999999997,89480.28000000004,268956.1599999999,175892.28,277291.4,283158.16000000003,216538.39999999997
21,312398.19999999995,183441.80000000002,184511.6,345911.2,108150.60000000006,291398.80000000005,180457.2,316405.8,345916.80000000005,240719.0
22,358075.4000000001,183790.80000000002,186236.72,349201.44,126635.95999999999,358021.79999999993,182618.16,343373.12,381802.72,302834.44
23,393138.24,187193.96,187719.44,359083.19999999995,147007.24000000002,388383.24,184137.36000000002,349125.6,407402.5200000001,335158.44
24,411973.88,191268.84,192893.00000000003,380233.0,169883.18000000005,403281.51999999996,186113.4,353951.66,413496.76,363043.89999999997
25,413135.56,192679.24,193000.4,381073.24,188471.52,411557.32,186979.56,355214.48,414159.88,403747.76
26,416513.0,194359.0,211358.0,419597.0,189062.0,415397.0,191121.0,357482.0,417860.5,406104.0
27,418091.32,193667.84,240837.19999999998,422874.72,191664.04,417973.12,192298.72,364622.92,422599.28,408655.68
