index,359_1_www.spotify.com,359_2_www.spotify.com,359_3_www.spotify.com,359_4_www.spotify.com,359_5_www.spotify.com,359_6_www.spotify.com,359_7_www.spotify.com,359_8_www.spotify.com,359_9_www.spotify.com,359_10_www.spotify.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,8376.44,6982.44,8356.66,8260.68,8440.68,8235.400000000001,8355.38,8295.6,8416.28,8519.88
3,22820.96,23921.24,22900.92,21778.12,22966.96,23166.2,24485.56,22575.600000000002,22173.48,23317.679999999997
4,29806.279999999995,27547.64,29911.98,27284.04,25527.599999999995,28231.6,32533.34,32262.2,32296.36000000002,27652.74
5,41518.840000000004,40722.08,39381.56,40912.000000000015,39253.799999999996,38238.99999999998,46844.04,43422.99999999999,44028.08,41285.280000000006
6,120503.20000000006,88557.4,104101.5,116616.20000000013,96068.59999999999,100826.0,66552.5,130973.0,63212.200000000004,121881.90000000001
7,205575.52,183831.96,204473.08,176900.60000000015,192758.4,194559.6,159598.75999999995,199743.6,170392.96000000014,188479.16
8,216614.39999999997,200892.72,215849.6,213180.04,231176.52,212047.4,220734.0,212072.99999999997,239934.84000000003,204434.69999999998
9,258393.64,211036.56,230774.04,293110.6800000001,273649.43999999994,268964.0,315986.32,307813.19999999995,270262.96,214807.4
10,350426.12,242573.12,303282.28,374153.44000000024,402138.36000000004,342689.2,415952.0,408105.0,343643.64,330447.26
11,452955.2,383502.8,422527.6,447249.8,439472.4,445374.0,465407.8,439676.0,449607.4,433526.6
12,478410.3599999999,421722.76,430637.58,461923.2,446304.3599999999,452889.2,473460.68000000005,454700.6,456748.08,440370.82
13,608835.64,427144.44,438363.68,572311.6000000001,462369.72,528641.9999999995,497233.68,627062.3999999999,471929.32,457723.6
14,767455.76,443842.92,484528.39999999997,761857.84,478027.24,647650.3999999999,502679.66,762244.4,476999.16,563104.8000000002
15,769589.7999999999,450682.76,751453.56,766009.68,480743.16,763960.4,502155.48,764396.8,483126.32,686515.28
16,780761.6,456672.2000000001,755804.6,778016.4000000001,488177.39999999997,770147.0,551305.4000000001,776019.0,524828.6,766772.6
17,913692.2,460246.92,767050.6,833365.36,542513.28,779151.2,586996.52,924873.9999999999,543518.76,771816.32
18,975896.12,522745.84,901426.0799999991,976580.36,646682.16,892015.7999999999,593214.3999999996,970843.9999999999,652644.2000000008,849171.5600000004
19,1019932.68,607106.92,969167.56,1021235.24,700942.6000000001,979379.6,835366.28,1015078.8,706875.3199999998,893307.36
20,1055937.36,666550.52,1003784.74,1053336.28,873002.1200000001,1018489.8,939810.7,1048162.6,881643.9200000002,936127.54
21,1054608.2,701908.4,1017475.3999999999,1061424.4,902432.4000000006,1050974.0,1033135.4,1058816.0,1001355.8,1041846.6000000001
22,1069166.92,716355.2400000001,1046617.16,1072286.68,1029744.7999999998,1058358.6,1049192.94,1068167.6,1032773.72,1056603.82
23,1189230.8,906017.2400000001,1048396.08,1076907.76,1040345.7199999999,1185363.4,1055997.2,1070199.2,1035649.4400000001,1096678.4000000001
24,1254365.72,942607.44,1053336.08,1085055.48,1074879.04,1188478.6,1067269.8,1073014.4000000001,1080824.44,1193056.58
25,1260890.56,1022149.48,1061674.6,1153518.88,1090133.96,1191928.0,1080327.7999999996,1093099.9999999993,1088233.8800000001,1196045.88
26,1273830.0,1055159.0,1072047.0,1165978.0,1153789.0,1200349.0,1207791.5,1208791.0,1159198.0,1200985.5
27,1281664.48,1066951.96,1204399.76,1294425.92,1217722.5200000003,1267988.0,1213617.72,1222827.0,1264058.04,1206443.0800000003
28,1320687.24,1133620.6,1215366.54,1334147.88,1290289.6,1277091.6,1230981.94,1230776.0,1293705.04,1222407.1
29,1328184.32,1260657.56,1252653.84,1340370.04,1302195.8,1282350.8,1244814.44,1311946.999999999,1303002.56,1232436.96
30,1341781.56,1263461.52,1316660.8800000001,1356557.84,1311542.08,1325947.8,1311960.04,1335061.6,1313587.72,1297194.72
31,1349149.0,1272691.4,1329956.8,1366093.8,1313982.2,1330330.0,1319868.2,1348786.0,1317718.5999999999,1334405.4
32,1360834.84,1285567.0799999998,1343662.78,1375438.72,1322081.1199999999,1338024.0,1366131.3,1364329.8,1321348.92,1340920.98
33,1364297.52,1293403.16,1349685.08,1388645.8,1339843.52,1354456.4,1409985.76,1369103.2,1325433.72,1355115.84
34,1370504.6800000002,1297140.16,1353868.68,1439470.52,1344207.8,1356695.4000000001,1423904.44,1375865.2,1343647.24,1366722.4200000009
35,1408138.64,1309445.6,1356129.96,1442942.08,1363332.72,1370155.6,1426894.88,1377322.5999999999,1364130.76,1372316.44
36,1416175.8,1310792.8,1390648.2,1450881.8,1380953.4,1374137.0,1430818.3,1381262.0,1374647.6,1380732.8
37,1418582.4,1317950.24,1401816.04,1454063.96,1386801.44,1392911.0,1457179.6,1415993.5999999999,1373953.08,1380502.32
38,1421630.36,1327156.16,1406052.94,1472286.1199999999,1396580.28,1410992.4,1471428.34,1423509.8,1401216.84,1393275.46
39,1420551.04,1378366.76,1406794.56,1491208.6,1399731.68,1422598.6,1472761.52,1425882.0,1465238.9200000004,1422684.4
40,1427917.16,1399946.12,1466940.3199999998,1493748.16,1402737.4,1428325.2,1475415.82,1433004.3999999994,1528427.68,1425331.18
41,1525565.8000000003,1407124.2,1513248.2,1499882.8,1504172.5999999999,1429978.0,1513272.0,1452330.0,1570110.5999999999,1437124.4
42,1535269.4,1412325.24,1543988.2399999998,1500892.36,1540946.96,1435034.4,1592669.8800000001,1529715.2,1586071.16,1440848.74
43,1575485.48,1443361.7600000007,1556019.32,1543308.3600000008,1587726.92,1530071.9999999998,1602526.28,1533132.8,1592174.76,1442768.96
44,1596072.8,1472839.84,1584335.74,1619647.44,1591855.6,1539140.2,1611082.86,1591747.8000000003,1605894.2,1527901.78
45,1609538.0,1558989.28,1585380.16,1620860.64,1603639.28,1591858.2,1614754.24,1609364.4,1619637.08,1537227.56
46,1616721.8,1562367.4,1591977.1,1629328.2,1614751.8,1591926.0,1618982.1,1620672.0,1623634.8,1575161.9
47,1625094.56,1569154.52,1600820.84,1644018.24,1623662.2,1601150.2,1628126.28,1632306.4000000001,1635138.28,1598147.72
48,1629790.44,1575643.76,1606576.02,1657717.1199999999,1631608.68,1611074.4,1639381.04,1640347.7999999998,1642970.04,1607959.6
49,1641643.12,1581725.96,1612936.7200000002,1663280.64,1636232.72,1628470.4,1645553.52,1647003.2,1649659.44,1618713.3199999998
50,1648145.72,1600788.92,1617671.16,1673755.32,1649190.56,1634155.4000000001,1654174.78,1646826.6,1662891.68,1627704.56
