index,364_1_soundcloud.com,364_2_soundcloud.com,364_3_soundcloud.com,364_4_soundcloud.com,364_5_soundcloud.com,364_6_soundcloud.com,364_7_soundcloud.com,364_8_soundcloud.com,364_9_soundcloud.com,364_10_soundcloud.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,67.0
2,4872.919999999999,5175.04,5055.88,4384.459999999999,4637.48,6067.800000000001,4442.48,6580.599999999999,5195.72,4500.76
3,16988.76,17129.12,16643.64,16680.84,16811.920000000002,30583.8,25532.439999999995,29313.399999999998,7778.76,29233.48
4,26768.76,25852.12,26399.64,28114.12,28051.559999999998,29180.6,26696.24,32072.2,28680.96,28548.96
5,30280.76,36972.56,30495.32,29804.88,32208.24,37826.399999999994,38508.04,38708.4,30595.72,43561.12
6,36686.200000000004,43534.6,43496.7,41071.400000000016,40858.200000000004,50627.0,44019.6,51762.0,32182.4,48447.099999999984
7,43356.24,39950.479999999996,43461.56,46492.72,43490.119999999995,82440.20000000004,71392.72000000002,83452.6,47061.08,83224.92
8,64150.80000000002,79159.68000000001,82917.7,64216.06,70585.60000000003,234508.8,83954.12,84677.0,46894.159999999996,83186.74
9,190252.16,84356.24,84260.48,94347.92,86557.40000000001,276267.0,120196.2,144537.00000000015,52867.03999999999,199273.6
10,247891.44,82749.52,101269.35999999999,96083.52,98090.76,464534.4000000001,293358.64,287904.20000000007,92726.96,448116.2799999999
11,249410.6,194181.60000000003,218676.19999999998,97263.00000000001,106808.6,755612.0,449681.19999999995,501426.0,198307.8000000002,632333.7999999999
12,305945.32,398286.88000000006,303868.19999999995,243884.16000000006,208622.40000000002,1073107.6,641106.6399999998,654438.6000000002,249366.44,828334.9999999999
13,372240.08,597921.0800000002,445001.52000000025,391551.0000000001,264760.2,1096057.4,860598.4,873039.6,284182.63999999996,1064407.1600000001
14,592164.3200000004,824596.8399999997,612176.4599999998,553079.72,383094.32,1177947.0,1056253.28,1070721.6,359065.56000000006,1081279.14
15,831797.8000000004,1055347.88,801581.52,743693.0800000001,487594.0800000001,1194749.2,1076397.16,1078386.4,543644.3999999999,1094416.6400000001
16,1046510.2,1075574.0,890587.9999999998,956671.2000000001,600556.4000000001,1252512.0,1120048.0000000002,1171681.0,706740.6,1180664.1
17,1080324.52,1084591.72,1057255.92,1083725.68,799496.76,1291529.4,1172209.24,1179221.8,841352.2799999999,1190221.92
18,1086210.56,1106247.96,1078077.58,1089355.54,1006363.1599999999,1297408.4000000001,1181666.0,1259005.4,1030986.52,1255948.88
19,1178639.24,1178947.96,1085790.84,1181241.96,1091630.48,1304155.6,1240816.28,1261345.8,1074826.64,1281199.24
20,1182876.52,1184000.12,1168155.0000000002,1185531.78,1099290.64,1320524.0000000002,1263584.68,1273696.4,1080654.92,1284656.38
21,1191145.0,1193840.8,1183149.8,1195020.8,1165472.8,1340888.0,1273988.4,1276345.0,1167832.2,1297048.6
22,1212763.24,1254767.24,1189551.78,1267813.38,1197908.9200000002,1344637.8,1288345.6399999997,1300935.8,1169588.12,1302208.52
23,1279620.8800000001,1280074.5600000003,1245187.5199999998,1280735.1199999999,1202410.0,1353340.8,1336022.76,1304187.2,1176647.2,1308465.7999999998
24,1278637.84,1282754.92,1280589.88,1286055.44,1230183.0,1361105.4,1337184.84,1341656.2,1188639.72,1332501.96
25,1282979.9600000002,1288192.92,1281501.1199999999,1294523.52,1279658.84,1371852.2,1347365.52,1363663.8,1266702.4,1347356.68
26,1291040.0,1295796.0,1295444.0,1308188.5,1296095.0,1418598.0,1356995.0,1375737.0,1270920.0,1351533.5
27,1297789.8,1306950.56,1303955.5599999998,1322436.48,1298675.48,1441157.6,1386846.72,1379520.0,1269841.76,1379612.28
28,1316281.52,1323934.96,1308876.84,1328846.46,1305926.48,1446831.0000000002,1391145.64,1398827.0,1276426.76,1385391.64
29,1323026.28,1324639.88,1323089.76,1334547.16,1316580.9600000002,1476319.2,1497847.8399999999,1413783.2,1288147.16,1419758.36
30,1329559.2,1348380.12,1328819.48,1371197.92,1327000.3599999999,1558555.2000000004,1541407.96,1416084.8,1290008.4000000001,1425425.18
31,1335463.0,1352662.4000000001,1333382.2,1374220.6,1325487.8,1616250.0,1546084.4,1421968.0,1313799.2,1447169.6
32,1337096.48,1356443.72,1337422.06,1378636.24,1333638.92,1627087.8,1554606.88,1528285.8,1312152.96,1457506.7
33,1375125.08,1370058.36,1342671.2,1392009.2,1339195.48,1640214.0,1588144.24,1572362.8,1314734.72,1575458.12
34,1377571.48,1371732.08,1347168.78,1399101.84,1341382.16,1727471.4000000008,1598301.2,1579046.8,1318542.08,1606165.66
35,1382003.04,1375184.48,1351679.48,1405054.12,1354563.04,1743531.0,1603621.0,1593325.8,1323101.2,1617985.68
36,1393308.8,1384338.8,1363918.4,1441426.2,1358926.8,1765228.0,1606149.6,1656153.0,1326597.8,1686377.5
37,1408033.48,1415640.96,1412876.24,1451182.28,1383745.72,1780740.2,1607334.56,1663732.0000000002,1332547.36,1691651.8
38,1440631.04,1444418.28,1440609.92,1461841.4,1390647.8800000001,1797311.0,1615366.48,1665303.6,1360041.9199999997,1695679.94
39,1445982.0,1455697.64,1444784.28,1464160.56,1425432.12,1812972.0,1625170.88,1668979.0,1465929.0400000005,1705561.84
40,1457392.4400000002,1457621.08,1457133.36,1467141.7200000002,1449394.12,1830269.5999999999,1653693.8,1704723.0,1487004.36,1711276.66
41,1458524.4,1461933.8,1457799.8,1552917.4000000001,1452237.6,1846485.0,1674532.0,1724494.0,1510432.6,1720936.8
42,1463116.04,1481990.12,1461448.6600000001,1584855.78,1458839.36,1862571.0,1691556.16,1739201.0,1538956.84,1759321.7
43,1465607.48,1557950.68,1472959.2400000002,1620074.6,1461798.76,1880837.0,1705465.6,1756090.0,1542901.92,1777612.08
44,1580814.16,1608957.04,1581710.02,1648641.7999999998,1579026.6,1898053.5999999999,1720371.4,1773157.4,1550855.32,1793381.4
