index,369_1_www.deutschlandradio.de,369_2_www.deutschlandradio.de,369_3_www.deutschlandradio.de,369_4_www.deutschlandradio.de,369_5_www.deutschlandradio.de,369_6_www.deutschlandradio.de,369_7_www.deutschlandradio.de,369_8_www.deutschlandradio.de,369_9_www.deutschlandradio.de,369_10_www.deutschlandradio.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,8.479999999999563,1586.72,-389.15999999999997,-419.72,-354.07999999999976,461.68000000000006,597.6400000000001,1616.32,-381.52,-488.48
3,1365.24,1332.8400000000001,1583.76,1571.92,1339.96,1396.84,1406.32,1537.24,1586.72,1497.3999999999999
4,1117.24,3875.64,1411.06,1430.02,1375.9600000000003,1640.3999999999992,2314.4000000000024,4038.44,1406.32,1472.68
5,4022.04,5362.959999999999,1289.7200000000003,1117.24,4079.72,3935.64,3875.64,4123.16,1332.8400000000001,2190.2000000000007
6,3798.7999999999993,5059.800000000001,4018.9999999999986,4095.2,3573.6,4159.2,4100.9,5124.2,3916.999999999999,4013.4
7,5441.52,7272.120000000001,3837.1200000000003,3683.04,4123.16,5140.32,5350.679999999999,4452.08,3875.64,3560.64
8,4811.280000000001,8641.04,3938.76,4157.34,4067.08,4383.52,4539.459999999999,6035.96,3872.8399999999997,4811.52
9,4713.8399999999965,8544.16,4193.5999999999985,5329.76,3206.2799999999997,5784.44,6423.32,8225.32,5099.839999999999,5172.88
10,7287.319999999999,7438.4000000000015,5322.9400000000005,5149.86,2746.2800000000043,8111.28,6266.94,7888.6799999999985,4853.76,4617.32
11,8443.199999999999,11531.999999999985,4917.4000000000015,4647.2,4629.4000000000015,7967.6,8580.6,7508.999999999998,4341.200000000001,5158.400000000005
12,8371.28,13936.919999999998,4528.24,4362.959999999997,6014.120000000001,8191.4800000000005,7959.340000000001,12386.60000000001,3936.280000000001,6281.640000000006
13,7812.96,18803.800000000003,6439.56,6287.4400000000005,7262.76,7270.96,7338.399999999998,16187.200000000012,6032.04,8589.72
14,7121.4400000000005,22239.32,6228.26,6322.42,7527.96,6827.800000000004,8057.400000000007,17607.200000000008,5992.72,8313.28
15,10594.399999999989,29188.71999999998,8554.32,8404.68,6572.28,15963.799999999996,17336.2,22508.76,8199.880000000001,8533.36
16,13802.2,66822.0,8306.3,8413.1,5750.999999999997,16901.8,17091.4,24342.000000000015,8067.599999999999,7765.599999999999
17,16853.76,104516.4,8456.880000000001,8005.76,12822.600000000006,16671.56,17078.08,53015.56000000004,7796.3600000000015,7155.04
18,17424.72,141532.8,7804.0599999999995,7624.22,16231.04,22745.84,22773.84,91399.79999999999,7233.5199999999995,8523.600000000006
