index,371_1_www.surfmusik.de,371_2_www.surfmusik.de,371_3_www.surfmusik.de,371_4_www.surfmusik.de,371_5_www.surfmusik.de,371_6_www.surfmusik.de,371_7_www.surfmusik.de,371_8_www.surfmusik.de,371_9_www.surfmusik.de,371_10_www.surfmusik.de
1,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,8352.639999999996,12951.679999999993,11236.76,11952.259999999998,11813.32,11904.800000000003,18783.84,10178.24,11362.9,11936.039999999999
3,17062.28,25084.760000000002,42420.08,32551.399999999998,40028.52,165143.59999999998,164941.15999999997,48272.96,35857.4,68854.6
4,32720.52,83326.84,127252.92000000001,176936.34,189368.7,411018.29999999993,349441.3599999999,177420.32000000004,156033.10000000006,254825.36
5,137606.6799999999,199465.19999999998,252228.56,332112.8,305787.68,642898.4,633148.2,285639.12,327209.0,419321.2
6,268036.79999999993,322061.99999999994,385904.6,530906.1,437897.60000000003,664211.5,669500.2,422071.6000000001,449705.5,588901.6
7,356639.04000000004,496575.95999999996,489726.4,646536.52,579874.12,692721.9999999999,713585.4400000001,547117.12,609751.6000000001,707810.8
8,528894.48,633307.36,569996.1999999998,771978.66,647176.88,706787.7000000001,844675.52,678112.4,650592.2,775338.96
9,624531.4400000001,736503.32,751138.6799999999,793421.2,651350.68,783245.8,921891.28,764820.24,658244.8,791928.0800000001
10,764434.3999999999,783577.12,781852.6799999999,807408.06,673710.84,915560.3,979584.88,781219.84,686994.0,824831.64
11,773341.8,804347.4,799078.6,817043.4,708125.2,953357.0,1025984.6,816024.0,693481.0,858012.6
12,788337.76,830527.16,814845.0800000001,864635.7,769350.9,1001613.1000000001,1075688.28,827015.32,725282.8000000002,909479.44
13,801374.76,838300.36,830860.64,903554.64,842778.36,1157377.5999999999,1173444.5999999999,905381.12,830496.2,925221.24
14,818981.4400000001,854144.28,897203.28,918882.14,909395.38,1197568.9999999995,1333607.639999999,916293.88,893177.1000000008,954059.64
15,833626.96,924555.1999999998,909285.08,944184.5999999999,921754.04,1287053.2,1385261.1199999999,945994.68,915473.7999999999,991907.2400000001
16,872424.7999999997,955022.8,937495.8,970488.8999999999,941204.2000000002,1357628.5,1411157.8,959147.9999999999,926086.5,1127762.4
17,908246.32,961871.48,974862.7999999999,981964.64,960814.76,1449181.8,1439968.2799999998,1020366.84,975666.6,1202533.4
18,918129.16,1013025.5599999999,987456.76,1043074.28,983677.34,1466377.9,1457139.04,1028152.08,996177.1,1298912.04
19,944637.12,1046475.64,1065271.3200000005,1074631.84,1033769.24,1475303.2,1483763.8399999999,1053660.16,1014929.4,1357424.28
20,990167.6399999999,1100256.52,1225463.68,1156635.7,1062212.74,1505190.6,1518683.04,1113912.92,1029339.4,1394431.24
21,1013946.4,1124439.8,1252363.6,1205840.8,1143714.5999999999,1534481.0,1539388.5999999999,1108954.6,1032067.0,1410079.4
22,1021160.36,1156964.7999999998,1275261.36,1281735.18,1184664.96,1558768.4999999998,1561452.72,1144484.2,1046713.9,1424446.16
23,1067855.48,1171127.24,1281483.8800000001,1329166.84,1194212.08,1590381.6,1595434.84,1180725.16,1053308.8,1443561.4800000002
24,1080747.72,1173578.04,1300301.32,1337811.96,1225311.22,1613932.5,1616447.24,1210149.76,1053275.7,1483437.56
25,1163873.1999999988,1232373.5599999998,1303110.96,1366200.28,1235749.76,1627781.7999999998,1636895.36,1236270.28,1058070.6,1510735.72
26,1222680.0,1280529.0,1318871.0,1383642.0,1244586.5,1631127.5,1653726.0,1274201.0,1074580.0,1516048.0
27,1230695.8800000001,1306698.52,1335031.16,1426924.44,1264645.76,1648252.8,1676233.68,1312381.76,1083952.4,1538124.8
