index,376_1_www.kino.de,376_2_www.kino.de,376_3_www.kino.de,376_4_www.kino.de,376_5_www.kino.de,376_6_www.kino.de,376_7_www.kino.de,376_8_www.kino.de,376_9_www.kino.de,376_10_www.kino.de
1,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,117644.44,115158.04,59627.98,46090.58,94344.40000000001,115149.7,78371.26,49825.560000000005,114072.54,90859.08000000012
3,279751.56,203205.96,207950.24,188495.08,225746.88,195033.4,189899.96,281002.68,280580.48,279102.36
4,322800.9,303756.07999999996,313380.88,287468.74,310737.12,304775.74,301859.38,323396.08,323785.76,319604.56
5,418499.43999999994,363260.32,380205.16,326641.16,376936.84,365044.44000000006,326536.84,451218.96,512054.64,417900.2
6,598400.7,557673.2000000002,517955.7,429987.8,385018.4,572689.1,386197.0,592440.4,609857.8,590309.4
7,687526.1600000001,631291.4400000001,640394.8,576908.92,450252.84,640152.52,567342.9999999991,656890.24,659657.24,653821.2800000001
8,732540.9400000001,655767.96,688852.1400000002,644920.7999999999,669192.72,718423.34,608326.22,736163.88,740201.32,733757.34
9,765645.48,731344.92,729499.88,720403.24,769705.16,734137.96,660127.08,757448.2,771039.08,759647.84
10,805591.38,744760.24,762000.14,735268.82,808556.24,755058.52,734498.5599999999,812226.24,774666.9400000001,771720.7600000005
11,811693.4,804808.6000000001,778344.4,747196.6,821912.6,778734.8,749192.6,862221.5999999997,813670.6000000001,839369.4000000001
12,883742.0799999997,853833.72,829337.4,787405.42,869725.96,827511.0599999999,775370.34,870923.3200000001,847352.7999999998,867208.96
13,903300.24,860287.4000000001,827801.56,814982.64,899546.36,838720.52,797678.52,905197.08,877509.12,900814.12
14,1377821.2399999993,881889.12,859773.16,836480.82,906509.04,861857.98,830909.22,922823.48,895646.5399999999,931126.66
15,2396848.5999999996,896941.76,903153.96,826671.0399999999,933359.2,874780.92,841801.7599999994,958488.4400000001,960233.28,983199.32
16,2722418.8,923242.6000000002,928346.0,894962.8,946205.6000000001,895758.0,865124.5999999997,1207427.1999999979,1477937.3,997297.7
17,2796412.4,948565.0800000001,1525378.52,913742.28,1018515.2400000001,1103455.48,894752.88,1799113.1599999983,2360473.8800000004,1768059.0000000002
18,2813843.14,976760.72,2238192.2800000017,922707.38,1770152.9200000013,1580733.5599999998,908345.08,2643447.2399999993,2765465.08,2576436.3600000027
19,2865514.2800000003,1206335.6800000002,2741133.32,1050547.4799999997,2539717.52,2410519.52,916588.28,2808286.92,2798746.12,2825505.84
20,2898349.84,1696449.9200000002,2762560.8000000003,1679728.0599999991,2769492.56,2762608.32,957159.82,2905087.52,2890818.56,2843184.62
21,2985332.5999999996,2188358.8000000007,2791637.2,2355034.999999998,2813459.8,2779295.6,1063074.7999999993,2953818.2,2946590.2,2880392.6
22,3217045.2399999998,2453629.04,3019549.8000000003,2797658.7199999997,2895800.56,2784733.56,1609726.2399999993,3014759.16,2974368.54,3058008.6800000034
23,3248744.1599999997,2838353.52,3037283.56,2832057.04,2971360.56,2820033.24,2271328.6799999997,3032146.4,3033252.08,3204188.96
24,3276923.38,2868595.84,3062755.02,2841783.86,2991911.6,2844145.44,2783503.48,3076212.28,3047259.64,3224636.16
25,3304104.68,2907843.4,3072814.6,2898701.68,3010306.92,2922754.0,2794963.36,3095662.72,3071255.6799999997,3241723.1199999996
26,3355652.5,3049740.0,3098938.5,2939326.5,3041398.0,3157323.0,2880466.0,3120091.0,3094493.0,3269897.5
27,3371984.08,3075431.24,3256361.6799999997,3029320.68,3085972.72,3182946.96,2938106.96,3135795.6,3116274.6,3305363.880000001
28,3416898.1199999996,3087689.32,3339459.22,3168350.68,3098453.12,3206895.1999999997,2971755.6799999997,3156361.56,3134027.48,3312632.2600000002
29,3530171.64,3112343.16,3447030.68,3258590.12,3112848.56,3235573.7199999997,2998215.44,3180747.079999999,3158877.44,3349693.4
30,3727633.5799999996,3125986.2399999998,3485382.92,3269890.92,3144267.3999999994,3252079.12,3009067.16,3205104.44,3181470.66,3372324.42
31,3764948.6,3185869.8000000003,3495897.2,3278825.2,3187717.2,3308457.4,3015589.9999999995,3236008.399999999,3204306.8,3381286.0
32,3793629.86,3204852.96,3512431.7399999998,3339421.12,3210509.32,3331665.5999999996,3049569.8000000003,3269920.12,3251627.12,3395600.7800000003
33,3829475.92,3229942.32,3533805.48,3355198.2399999998,3222749.36,3357048.28,3085254.88,3279637.36,3251910.68,3427773.1600000006
34,3839847.86,3247550.32,3559455.12,3375734.5599999996,3244456.6,3375314.2399999998,3091629.8,3350016.8000000003,3290070.9,3457051.44
35,3844035.28,3273499.16,3570905.6799999997,3388359.88,3270347.76,3407701.72,3096883.84,3357361.16,3303238.4400000004,3470589.920000001
36,3872360.4,3300449.4000000004,3593161.7,3423451.9,3279944.2,3517500.7,3110405.4,3374481.5999999996,3331169.4,3587113.5
37,3917138.8,3315055.52,3619773.04,3419971.5199999996,3284734.64,3542633.2399999998,3130559.52,3399530.84,3335061.64,3597636.600000001
38,3920686.34,3333851.88,3652572.8,3440229.3200000003,3327618.72,3575756.14,3139764.02,3424351.36,3423262.98,3645044.32
39,3937602.56,3338802.32,3670411.4800000004,3450702.68,3372243.64,3590294.36,3167416.88,3694654.0400000005,3600276.12,3654236.84
40,3949718.06,3361591.36,3703324.86,3459289.28,3385683.88,3604631.56,3183460.48,3915981.239999999,3701005.54,3681517.52
