index,380_1_www.cinema.de,380_2_www.cinema.de,380_3_www.cinema.de,380_4_www.cinema.de,380_5_www.cinema.de,380_6_www.cinema.de,380_7_www.cinema.de,380_8_www.cinema.de,380_9_www.cinema.de,380_10_www.cinema.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,12488.960000000001,12441.32,9123.600000000006,12577.2,90475.22,12297.0,9523.199999999999,12626.94,8847.000000000005,31857.18
3,96648.48,98052.84,98984.88000000002,94800.71999999999,111998.2,55302.600000000006,91409.72,61901.88,89579.6,74327.36
4,153537.13999999998,139531.47999999998,113813.64,145649.14,184805.96,136090.19999999992,130590.38,112171.14,105592.6,143983.13999999998
5,217283.4,210880.8,146382.04,167456.76,314253.4,202404.59999999998,156925.88,168950.88,148638.2,270500.16
6,403335.3,315715.39999999997,224714.0,274108.0,508643.8,404415.0,260778.40000000014,274312.0,268418.5,364033.5999999999
7,523767.27999999997,422120.1599999999,401923.72000000003,396997.68,683228.64,529514.5999999996,334089.1599999999,390604.76,354682.2,477105.24
8,673206.76,564082.0,508280.72,516941.94,722534.36,558237.2,518512.36,549141.56,478643.89999999997,565940.54
9,694904.2,691661.2,547715.64,673330.36,839079.5599999999,595567.6,645629.1599999999,677561.24,532880.6,702221.12
10,785168.18,740652.3999999999,576568.32,696872.02,879599.54,707240.7999999999,691132.2,703174.58,685432.5,779886.7200000001
11,811051.8,831212.0,696914.6,802080.4,933151.2000000001,842448.0,704400.0,827177.8,698483.0,850292.7999999999
12,845497.52,853142.68,723910.8,830148.92,975088.5199999997,870380.8,823948.4199999999,848164.98,819318.3,879105.48
13,867351.2,865622.56,829353.24,840432.08,1008989.28,899166.6,838606.04,861551.36,841239.6,924825.36
14,913008.38,925071.4,853244.76,903388.48,1047218.02,912947.2,856013.1,912912.14,866807.7,962386.38
15,937788.28,945236.88,862924.32,917803.6,1077878.9599999997,973530.8,896842.6399999999,922018.8,875416.2,971719.2
16,1010257.3,968235.9999999987,880017.6,955224.6,1125971.3,992519.0,931961.4,989760.9,909377.5,1037882.4
17,1035670.08,1016766.4,890141.04,1003216.92,1153762.96,1059751.8,953179.2,1029659.92,938932.8000000007,1050002.64
18,1041214.56,1040982.48,950319.04,1023953.58,1267827.6199999999,1066880.2000000002,1003571.38,1043641.26,966677.6,1055630.68
19,1049222.64,1051866.72,983667.36,1029121.36,1302247.44,1087872.6,1011052.92,1053807.24,998055.4,1123756.0
20,1063077.56,1116523.36,1034447.96,1035506.26,1394504.7999999998,1118999.6,1030761.66,1123553.98,1035563.2000000001,1132896.08
21,1107686.8,1133538.6,1045163.4,1107412.6,1404001.8,1189183.0,1038869.4,1131172.6,1040639.0,1244467.4
22,1139235.5999999999,1154664.64,1050996.48,1109864.98,1420991.84,1229109.7999999996,1055709.2,1143416.44,1071411.6,1268317.98
