index,383_1_www.imdb.com,383_2_www.imdb.com,383_3_www.imdb.com,383_4_www.imdb.com,383_5_www.imdb.com,383_6_www.imdb.com,383_7_www.imdb.com,383_8_www.imdb.com,383_9_www.imdb.com,383_10_www.imdb.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0
2,5558.96,4788.96,4092.42,4436.72,4120.24,4929.679999999999,5006.099999999999,4806.320000000001,5109.8,4566.5
3,8206.600000000002,18819.88,8135.88,18872.44,8526.36,16876.20000000001,12946.800000000001,18941.48,13186.999999999995,8401.72
4,63713.16,54106.34,18706.2,80289.12,19064.4,80250.96,19013.299999999977,79771.96,54767.200000000004,20986.919999999987
5,88524.72,81394.07999999999,53107.08,81242.48,82009.32,83798.28,63434.399999999994,80509.72,56423.6,78421.52
6,92523.20000000001,89927.59999999999,70193.1,91506.4,80820.4,94445.2,87103.5,88592.3,87770.0,77979.6
7,94772.88,93800.52,83287.56,99378.60000000002,83481.08,97946.20000000001,93542.2,94587.84,94085.8,85900.63999999998
8,97878.48,116962.79999999999,91176.58,126519.96,89404.76,127134.31999999999,99544.1,111776.22,97043.00000000001,96286.07999999999
9,105390.68,159954.52,91888.08,131272.32000000004,94828.95999999999,138625.76000000004,100360.6,192020.39999999997,106344.99999999999,101452.4
10,145565.55999999997,245995.87999999983,115993.94000000003,173663.40000000002,113704.48000000011,203649.84,123927.3,200770.4,126738.8,143132.4
11,193597.4,289924.2,125968.2,206443.8,126659.4,228397.60000000015,156853.0,283636.6,127830.0,173147.6
12,196927.40000000002,337718.4799999999,128135.54000000001,317059.36,129000.12,325666.4000000001,210288.8,402926.72,191373.39999999994,177870.04000000004
13,270599.64,419916.72,149131.15999999995,449909.28,140555.4400000001,445522.88,214131.99999999997,519822.68,277133.5999999999,253278.4
14,294259.2,570571.8600000001,212455.96000000002,582489.4,206779.96,577297.12,324942.8,619372.4,297910.1999999998,288142.26
15,387306.0400000002,678434.84,281430.92,717038.2000000001,276211.2800000004,691622.7200000001,394783.0,706746.28,450250.2000000001,398781.4
16,493839.4000000001,710716.7,317342.7999999999,735885.8,317428.20000000007,727996.2,580661.0,752431.7999999995,511145.0,403526.60000000003
17,574587.24,772815.52,395080.36,833962.5599999999,416589.56000000006,795016.6,662113.1999999998,835923.2,608256.8,506694.6
18,651708.24,855856.72,483203.7200000001,852605.28,532196.6000000003,901708.16,739533.1,959305.1199999999,620624.9999999997,603826.4400000001
19,691972.48,967408.3999999999,586564.04,1040384.0000000001,580494.8800000001,1035546.6,789408.5999999996,1192131.24,788194.8,639443.4
20,760183.1600000001,1168828.64,663830.1599999999,1212117.5200000005,673256.5200000001,1224379.12,798830.0,1313830.2,829929.4,680000.96
21,895837.0000000001,1289657.0,693704.8,1357005.8,732130.2,1358801.4,950644.0,1357360.4,926466.0,749669.0
22,913683.96,1363126.5,691669.5,1364986.68,738460.4000000001,1367073.2,1199515.4,1366618.66,1107480.2,865619.52
23,1092523.2400000007,1371105.36,736519.2799999994,1368494.5600000003,771750.0800000001,1379483.2,1374794.6,1379074.32,1228799.3999999997,942726.6
24,1234966.3200000005,1377186.46,959186.5199999997,1391598.2,882977.1600000003,1386984.64,1382834.5,1387503.58,1265594.2,1100247.96
25,1356277.6,1387492.5999999999,1140941.7599999998,1398834.04,1066744.4000000006,1393830.96,1391685.0,1431310.32,1272120.2,1200239.9599999995
26,1361727.0,1398132.5,1284644.0,1405274.0,1211858.0000000002,1437818.0,1402884.5,1442087.5,1278723.0,1257310.0
27,1370861.04,1440473.08,1358971.44,1417565.88,1286850.72,1444837.64,1409096.2,1449912.52,1286918.6,1263303.8800000001
28,1377140.68,1449687.7999999998,1365846.38,1456405.44,1363637.36,1452141.2400000007,1451373.1999999997,1468924.18,1292729.2,1271731.2
29,1387835.88,1458549.0,1372983.8800000001,1468127.4400000002,1372263.96,1461873.72,1462694.2,1488157.88,1337523.2,1273371.08
