index,38_1_en.wikipedia.org,38_2_en.wikipedia.org,38_3_en.wikipedia.org,38_4_en.wikipedia.org,38_5_en.wikipedia.org,38_6_en.wikipedia.org,38_7_en.wikipedia.org,38_8_en.wikipedia.org,38_9_en.wikipedia.org,38_10_en.wikipedia.org
1,67.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,-457.5200000000001,1507.2,1341.54,1576.36,1324.16,1463.1,1603.92,1576.36,1404.74,1336.8
3,1571.88,1051.6399999999999,561.48,606.0399999999997,517.92,914.1200000000001,868.2799999999997,1207.28,498.91999999999825,549.6
4,682.4200000000002,2439.72,4388.28,2304.82,2268.48,2356.8600000000006,2313.8399999999997,1541.2800000000043,4544.22,4493.400000000001
5,4694.84,4532.96,4109.96,4302.839999999999,4463.56,4367.4800000000005,4310.12,3335.0400000000027,4049.7999999999965,4521.8
6,4429.7,4415.0000000000055,5880.7,6705.100000000002,3518.9999999999986,6172.800000000001,6478.200000000003,4476.3,9049.8,5175.0
7,6348.880000000004,6507.48,8429.52,9174.56,14452.36,6840.839999999997,7062.960000000002,6985.719999999999,11464.439999999999,15985.4
8,6636.820000000001,7031.599999999999,9987.98,13742.560000000009,15731.08,7993.340000000001,8499.76,6084.340000000002,28247.39999999999,15243.2
9,6281.960000000002,13910.760000000006,13386.599999999997,29282.600000000006,15880.76,12316.48,12350.800000000003,9482.600000000006,31357.52,16276.2
10,11328.800000000005,16788.88,18799.84,35463.98,16867.28,16814.54,17201.32,11976.82,32944.78,33941.60000000003
11,17396.6,16494.8,19695.99999999999,36506.799999999996,24762.199999999997,34069.2,16895.4,16793.600000000002,31329.2,35917.0
12,17085.08,26130.800000000003,28750.02,38361.38,36256.08,35971.16,36283.56,31546.520000000008,32985.14,37577.8
13,33648.44,35938.76,30076.16,40786.96,35230.64,34737.96,35301.24,35942.24,35804.52,36272.2
14,36541.86,37232.88,31471.02,39805.82,36754.08,36890.380000000005,36831.72,37366.82,65751.20000000001,35893.799999999996
15,35562.640000000014,37019.48,35516.92,41257.640000000014,39722.96000000001,38889.64,35830.04,37269.72,71375.84,47278.19999999999
16,37587.1,37165.60000000002,35447.700000000004,45469.4,40683.4,40986.7,34835.4,35972.2,73632.4,68200.0
17,39290.24,37553.36,53228.12,75142.7600000001,40420.36,40248.04,36618.04,37611.24,80669.11999999997,71328.40000000002
18,38914.159999999996,36822.6,67894.56,84921.42,73022.32,77093.86,41511.24000000003,37129.38,98226.02,79056.2
19,37635.36,40556.96,82308.87999999999,113170.76,77627.51999999999,78777.56,49071.800000000025,38196.68000000001,106835.84,85432.4
20,37661.44000000001,45967.000000000015,85058.26,116846.12000000001,82675.16000000002,78143.66,52454.92000000001,47068.94,116744.08,85443.2
21,39447.200000000004,50540.800000000025,86934.8,151912.00000000003,83198.2,83442.6,56520.4,55011.8,132930.9999999999,87125.0
22,43288.74,53100.16,99991.20000000006,186699.08000000002,89916.84,85578.78,56295.24,62533.74,170373.19999999998,106229.0
23,43193.68,53035.12,113567.52,262261.84000000026,111057.56,85066.48,71651.56,64625.68,215966.75999999998,111041.0
24,57414.34,72518.84,116412.58,282792.28,120210.63999999993,111571.68000000001,85586.80000000003,66717.62,273055.12,126709.79999999994
25,72866.96000000008,86708.56000000008,119148.2,283513.24000000005,155476.0,132577.47999999975,101812.36000000003,84940.24,276200.44,144481.00000000003
26,79117.00000000004,110855.0,154549.0,287524.0,199050.0,156910.0,110392.0,107596.5000000001,276579.0,191243.0
27,83968.08000000003,144369.6800000001,173891.67999999996,306817.52,212330.71999999997,196617.55999999997,111211.04,111505.56000000004,277996.24,210493.00000000003
28,102249.72,178275.60000000003,189262.35999999996,307802.72,252022.96000000008,226163.04000000007,116317.16000000002,129484.72,296581.16000000003,235535.00000000006
29,111083.60000000002,212283.52,228435.68,306584.44,277858.56,252495.15999999997,136300.44,149818.44000000003,298701.88,272160.99999999994
30,131348.44,250670.16,256413.39999999994,333404.92,281002.8,279304.26,162307.8800000001,166982.8,302876.8,280603.80000000005
31,179663.20000000013,278256.8,285719.19999999984,363635.00000000006,280782.19999999995,280785.0,204341.80000000002,187159.00000000003,312032.4,280652.0
32,207481.16,279935.76,288641.74,364757.52,282316.48,280264.32,227802.84000000008,227556.24,311638.64,282350.6
33,242093.52000000002,279343.24,290411.32,363844.36,291644.64,282267.92,255377.48000000004,245734.2000000001,310693.8,298069.4
34,272163.8000000002,281401.68,290864.28,382224.58,303458.16,301460.93999999994,278736.88,262695.8400000001,329923.19999999995,301275.6
35,279284.84,298881.64,309932.44,384250.8,303533.96,303568.6,280379.28,279197.84,344381.67999999993,308297.0
36,280811.7,303534.4,314952.2,387489.1,308309.0,310587.2,281698.80000000005,283559.3,367895.8,310475.0
37,282414.96,304851.64,318474.64,391794.28,314839.92,310422.12,281675.72000000003,283367.96,385665.84,314197.2
38,282085.12,304768.12,317918.54,409519.4,314636.52,309379.54,283374.04,282465.82,385923.39999999997,314199.0
39,301854.88,303666.24,317333.24,429321.6,313760.8,321866.7200000001,292030.72000000003,281626.24,390034.44,316565.4
40,304084.80000000005,305843.64,345086.4399999998,429656.04,320853.92000000004,341196.8,303570.4,281763.08,408794.79999999993,315404.0
41,304489.0,318954.6,375175.8,434546.6000000004,344297.99999999994,352565.2,307239.2,283844.6,427971.0,333684.0
42,308890.76,318273.8,374346.62,446705.74,347040.8,367601.62,306661.56,297050.9600000001,443307.06,357567.60000000003
43,308779.88,320587.8800000001,392436.72000000003,448590.4,359674.08000000013,366901.52,306103.68,315074.16000000003,447375.36,373708.4
44,308307.66,353151.56000000006,392691.98,450774.68000000005,386693.4400000002,366558.12,332338.52,322829.42,450812.36,372898.8
