index,401_1_www.opodo.de,401_2_www.opodo.de,401_3_www.opodo.de,401_4_www.opodo.de,401_5_www.opodo.de,401_6_www.opodo.de,401_7_www.opodo.de,401_8_www.opodo.de,401_9_www.opodo.de,401_10_www.opodo.de
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0
2,8203.24,15355.320000000007,7571.000000000003,8013.9800000000005,7818.920000000001,8326.599999999999,8276.800000000007,8753.68,8457.26,8115.999999999998
3,93228.12,92773.36,87011.2,56016.44,90710.04,91911.36,64636.68,89077.36,89560.12,90516.2
4,108445.72000000003,115916.12,177271.3,86745.79999999999,99484.88,98646.46,119954.76000000001,104641.20000000001,101192.18,109324.8
5,222156.44,215484.28,211112.6,110207.88,151322.95999999996,211952.04,201736.44,191455.04,121307.19999999998,161132.8
6,395833.6,255879.00000000003,225417.5,256799.40000000005,238851.8,230596.7,214042.00000000003,287783.39999999997,202612.79999999993,296386.0
7,501155.44000000006,443901.19999999995,388341.4,348644.56,366170.8,333377.95999999996,375640.3600000001,354499.4,324672.64,442345.8
8,555380.36,531157.4400000001,501949.79999999993,365237.68,507552.56,478914.68,499441.08,500775.24,496028.98,526741.8
9,564015.4,585874.76,602198.6,414704.4,547507.48,544114.44,529621.52,510345.24,536872.0,558387.6
10,603600.36,597500.56,623898.4,479169.5,577593.08,556081.16,538651.46,568324.12,560028.34,591026.4
11,648853.1999999998,616977.0000000001,651748.0,533599.8,612760.0,611374.8,552797.8,578651.4,598826.0,615672.0
12,696196.16,666181.4,667172.0,614510.2400000001,635348.7199999999,620032.0,639017.14,590775.3999999999,619653.84,656243.4
13,779886.88,704911.88,736140.6000000001,674692.9999999998,659877.9199999999,678431.64,662843.8,655771.84,659109.12,669806.8
14,859507.44,724636.48,777649.6,737499.9400000001,680479.28,688376.38,680699.7,690905.5599999999,684249.42,713205.9999999999
15,919911.12,777478.44,877254.4,791136.72,714099.8399999999,730559.52,721722.52,747646.04,788881.16,829835.4000000001
16,992371.2,791742.4,949912.0,853331.9000000001,760163.6,773600.6,754537.7,814485.2,901087.7,900616.0
17,1009872.84,843140.16,973673.8,918134.16,820243.64,823521.6,795177.44,885123.2,928175.6399999999,939027.6
18,1055027.68,885460.4800000007,1003059.3,958509.74,890313.28,836709.74,850672.0399999999,941392.9199999999,962058.9800000001,962940.6
19,1167540.08,990081.7200000001,1014657.2,975604.68,957821.48,877412.76,948989.4000000003,1015015.24,995206.68,1005407.8
20,1181425.4,996848.56,1134914.9999999998,997519.08,981678.48,1004430.14,977002.34,1021647.8,1012506.36,1076540.8
21,1194630.8,1008798.8,1158703.0,1063327.4,981897.6,1006999.4,1003719.8,1056932.0,1129147.8,1142895.0
22,1209277.84,1043840.6799999999,1185513.5,1146828.48,1007384.92,1009926.46,1007724.5399999999,1163193.88,1157425.26,1163102.4
23,1231777.8,1036929.96,1196683.0,1168263.8,1030074.5199999997,1042662.96,1021846.6,1194205.04,1172832.56,1191832.4
24,1263665.2,1090439.4000000001,1212621.3,1190323.98,1052714.76,1052521.6,1050140.98,1205474.64,1203789.12,1194404.8
25,1272569.2000000002,1190513.92,1230238.0,1196116.28,1101822.72,1080115.8800000001,1092784.1600000001,1211939.8800000001,1204898.16,1222915.2
26,1320927.0,1288994.0,1266067.5,1212952.5,1184058.0,1199763.5,1142587.5,1231391.0,1216012.5,1239693.0
27,1326634.64,1301035.64,1273166.6000000003,1239132.6,1285985.52,1278583.56,1197128.36,1261005.96,1241449.84,1240579.8
28,1336911.8,1314978.36,1297476.3,1243728.58,1299316.56,1311367.1999999997,1263309.5600000003,1273697.04,1259476.6600000001,1294080.7999999998
29,1375490.4000000001,1322591.96,1325819.7999999998,1280030.88,1317600.56,1316174.08,1302193.4,1278891.84,1276345.28,1304672.8000000003
30,1377861.08,1338963.72,1353508.1,1299528.4000000001,1328290.8800000001,1322307.72,1322835.36,1317930.7999999998,1334199.16,1334615.9999999998
31,1396319.6,1359591.8,1357730.0,1313430.4,1362928.2,1358955.4000000001,1327047.2000000002,1322676.6,1333257.0,1345941.0
32,1395519.6,1366047.56,1363192.9,1339632.76,1360343.32,1364231.82,1346292.04,1332496.2000000002,1343295.74,1352925.8
33,1403038.36,1382224.6400000001,1362154.8,1354208.0,1377104.16,1375413.04,1366244.52,1371504.32,1345794.76,1378994.8
34,1421608.2,1408308.72,1390838.7,1362103.54,1394091.04,1398727.26,1389937.54,1391725.28,1377754.6,1391610.2000000002
35,1432609.52,1414640.76,1404122.6,1364462.48,1398055.28,1405431.3999999997,1398450.16,1390430.16,1399137.84,1401432.2
36,1440686.4,1426381.6,1418494.5,1360671.3,1413555.0,1419639.7,1408468.1,1396496.2,1403800.1,1401796.0
37,1449298.72,1429292.5999999999,1420746.4,1372702.72,1418902.28,1430479.32,1418351.96,1415211.4,1414320.72,1401842.4000000001
38,1453615.32,1440128.52,1429661.3,1406110.24,1424598.24,1432682.6199999999,1424944.8599999999,1426476.28,1410224.98,1423037.0
39,1456981.32,1442204.12,1435866.0,1424804.0,1429426.64,1444880.44,1433195.5600000003,1436186.1199999999,1419724.9200000002,1432624.8
40,1473744.36,1443950.1600000001,1444728.9,1435251.48,1435968.92,1457930.2,1443811.52,1442174.36,1430669.16,1445461.2
41,1489607.6,1450438.4,1461784.0,1442595.2,1444885.4,1458657.8,1447931.4,1442623.0,1443489.2,1444084.0
42,1501711.52,1480267.2,1462538.6000000003,1443608.16,1452831.8,1459085.1800000002,1459528.58,1450422.16,1448356.1400000001,1443902.4000000001
43,1507051.96,1479694.84,1469053.2,1446385.16,1452428.24,1484198.56,1456670.72,1459435.48,1456405.92,1474290.7999999998
44,1510878.04,1484734.76,1478846.7,1462814.46,1458476.6,1504667.38,1470231.4000000001,1474594.36,1463274.56,1487160.4
45,1515508.56,1504144.68,1480934.4000000001,1474439.32,1470892.5999999996,1511384.7199999997,1491884.0,1494523.36,1467452.36,1490945.9999999998
46,1558094.8000000003,1508201.0,1478691.5,1505569.0,1490134.4,1514446.5,1497796.4000000001,1497690.8,1472030.3,1498705.0
47,1707698.6800000004,1515414.4,1520444.0,1503895.2,1500832.6400000001,1519607.52,1509376.28,1499349.96,1508081.36,1510257.0
48,1776210.8800000001,1518053.08,1519335.9,1513773.76,1506981.48,1526377.54,1513873.42,1502510.1199999999,1504092.52,1511094.6
49,1995546.92,1524288.08,1522754.6,1522933.8800000001,1516694.12,1531543.04,1516566.24,1511543.92,1509450.84,1515555.8
