index,47_1_www.instagram.com,47_2_www.instagram.com,47_3_www.instagram.com,47_4_www.instagram.com,47_5_www.instagram.com,47_6_www.instagram.com,47_7_www.instagram.com,47_8_www.instagram.com,47_9_www.instagram.com,47_10_www.instagram.com
1,-48.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-115.0,-48.0
2,33.68000000000003,1300.64,1422.5,1197.7399999999998,1225.1000000000001,1218.3200000000002,1137.98,1169.66,1498.8999999999999,1458.46
3,1335.5199999999998,2642.16,4958.0,4530.76,4586.2,2680.08,4447.16,4497.72,2284.7999999999997,4569.32
4,4856.360000000002,4586.96,7060.0,4949.200000000002,5845.099999999999,4576.600000000002,6128.079999999999,7083.28,6463.399999999997,3969.4200000000005
5,7659.76,8502.28,11472.0,8621.92,8024.6,8707.56,5785.599999999997,6217.92,6306.8,9323.32
6,6873.599999999999,8787.2,11827.5,14541.4,11758.0,14348.199999999997,10343.9,14245.8,14299.0,10960.600000000002
7,11960.720000000005,14421.039999999997,13544.0,15454.720000000003,15318.600000000002,14252.28,15220.88,15088.96,16318.599999999988,11962.92
8,12572.640000000005,17076.56,50706.0,17112.34,18402.100000000002,17084.28,16782.4,17247.59999999999,19579.4,16515.52
9,16055.56,19530.52,48891.0,19445.920000000002,21709.000000000007,18632.28,26629.99999999998,25977.799999999992,53453.6,50073.44
10,18438.96,52834.76,46921.0,53262.840000000004,27099.399999999998,20970.48,51212.82,52782.94,51198.3,47941.62
11,51099.00000000001,50806.799999999996,52974.0,51019.4,60544.0,55599.200000000004,49336.799999999996,50938.6,49346.0,46236.2
12,51228.48,51932.28,59086.5,51817.52,58361.2,53803.52,52141.78,54276.26,57442.9,52314.64
13,49382.16,55339.200000000004,61626.0,54822.44000000001,59166.0,52042.159999999996,57961.24,55642.28,59569.199999999975,56069.4
14,52587.8,59222.76,62815.5,58221.55999999999,62615.49999999999,55346.4,59714.76,61812.18,61639.7,60543.98
15,56316.399999999994,61245.12,62552.0,61063.4,69384.4,59419.56,61700.12,62073.04,63318.399999999994,60913.76000000003
16,60781.200000000004,63610.2,73602.0,63523.1,71399.5,62696.400000000016,64126.299999999996,64552.1,71791.0,62612.100000000006
17,63033.44,66325.32,72682.0,62401.40000000001,73262.00000000001,66202.92,69471.48,61344.840000000004,71408.8,68775.40000000001
18,66022.24,65527.52,71872.0,71470.16,75913.6,69332.64,68828.52,76720.62,92966.39999999994,75527.12
19,69904.19999999998,80935.39999999989,75470.0,70413.92,75355.59999999999,72243.48,68209.64,83016.68,172078.19999999998,74788.32
20,73844.08,179736.39999999994,103746.0,72329.92,76782.9,77729.44,126580.27999999993,81850.96,257291.9,74449.66
21,73301.2,251708.4,168007.0,74712.0,130560.0,76929.2,157639.99999999994,82131.2,259849.0,78011.8
22,87629.59999999998,252017.92,211865.0,74020.16,212766.00000000003,78534.88,233596.39999999997,85623.06,281606.4,77408.66
23,171813.00000000003,277603.8,261705.0,109856.80000000005,278046.80000000016,78000.28,251220.8,84483.56,301834.19999999995,103397.76000000001
24,178101.64,325294.64,323594.0,208973.16000000024,316890.2,106435.63999999978,280080.3599999999,135430.9199999999,380546.39999999997,187936.12000000017
25,253295.0800000001,411929.19999999984,414299.0,255315.7200000001,359571.6,118956.64000000004,282747.48,212566.95999999993,453299.39999999997,285629.16
26,281572.0,422625.0,419762.0,269248.0,374821.0,187762.0,284243.0,292704.0,531866.0,298263.0
27,320982.39999999997,473355.1199999997,441294.0,283823.84,384249.8,232356.72,325261.52,325791.44,563652.7999999998,361593.0
28,398100.7600000002,557731.2399999999,512813.0,322416.3200000001,437757.4000000002,288982.52,425923.36,349405.68,634918.1,412532.3600000002
29,499318.9600000001,675638.68,572739.0,366692.9600000001,456631.4,311104.28,514992.36000000004,400616.1999999999,684727.4,465159.6000000004
30,582399.28,677428.6,664252.0,412891.84,531226.6000000003,335983.43999999994,547121.08,451732.9400000001,733090.9999999999,478938.34
31,591348.0,721791.2,718085.0,411669.8,634252.0,361264.0000000002,567618.6,461845.8,771094.0,531112.1999999998
32,689402.5200000003,809521.64,722627.5,437234.52000000025,656192.4000000001,393734.08,635576.7200000001,481904.12,819874.5999999994,597203.04
33,726144.2,889049.92,808077.0,568889.9200000003,773147.6000000002,433732.91999999987,683579.64,596734.88,888852.2,627115.8
34,819035.36,936432.4,836977.0,673262.4400000001,858457.1999999998,528227.24,727328.6799999999,705701.4799999996,968507.8000000002,699847.5200000003
35,918995.9199999999,988360.9600000001,937112.0,760133.2799999999,973791.8,611354.84,776662.3200000001,777964.36,1045608.0,802997.8800000002
