index,4_1_www.google.com,4_2_www.google.com,4_3_www.google.com,4_4_www.google.com,4_5_www.google.com,4_6_www.google.com,4_7_www.google.com,4_8_www.google.com,4_9_www.google.com,4_10_www.google.com
1,-442.0,67.0,67.0,-115.0,67.0,-442.0,67.0,67.0,67.0,67.0
2,1422.1200000000001,335.88,102.51999999999941,317.15999999999997,1567.14,1327.32,510.96000000000004,1488.14,1602.6,1749.08
3,1495.9600000000012,255.76000000000002,1296.92,47.24000000000012,3024.120000000001,525.84,1984.48,2584.32,688.36,1288.8799999999999
4,4336.6,2009.3000000000002,2466.14,1738.48,4213.18,4468.96,3429.72,4570.42,4719.84,2477.5999999999995
5,6998.04,1132.52,4767.08,3145.44,10056.56,4486.12,5053.84,7037.88,6479.040000000001,4439.28
6,5878.799999999999,2845.9,6767.1,4944.8,10599.799999999997,6774.6,7571.800000000003,10126.999999999995,6249.6,7177.6
7,12235.52,5009.88,8375.400000000001,7441.16,29275.44,5913.2800000000025,11145.04,12112.04,11656.0,7684.600000000004
8,19746.400000000005,7549.28,12427.56,6698.679999999998,27195.34,11788.84,27454.88,28208.34,12532.76,10460.44
9,28110.239999999998,7247.320000000001,29189.32,12575.0,26047.480000000003,12436.16,25763.359999999997,26459.96,28677.92,11985.320000000002
10,26615.48,10965.12,27930.42,12849.64,32717.039999999994,29392.08,24073.719999999998,27546.06,27362.52,26820.96
11,25331.4,10598.4,26264.399999999998,29316.600000000002,34192.4,28160.2,25378.4,29889.799999999992,25684.399999999998,25543.600000000002
12,29268.32,29439.48,28486.720000000005,28015.68,38852.54,28818.07999999999,27513.560000000023,34738.54,27975.32000000002,24268.84
13,36693.95999999999,28328.44,31232.92,26475.56,73350.88,28699.279999999995,33068.6,64893.68,56823.56000000004,23212.279999999995
14,66765.56,27134.42,33026.94,28056.92,172143.78,29642.199999999997,35364.12,72839.82,78148.51999999999,29053.16
15,72597.72,26313.32,54264.71999999998,29574.04,174935.80000000002,33380.48,67851.16000000002,127986.44000000015,95857.92,30764.48
16,75057.8,25840.999999999993,76613.7,31498.399999999998,186020.6,32956.0,114434.00000000003,173735.4,135182.80000000002,64998.8
17,99319.88000000006,56298.28000000002,79797.4,61911.44,184508.56,62833.80000000001,169929.28,177013.52,135529.6,67689.48
18,172434.16,64892.66,150710.28,73820.28,183410.92,71296.44,174630.76,178751.78,172309.04,71454.44
