index,56_1_www.flickr.com,56_2_www.flickr.com,56_3_www.flickr.com,56_4_www.flickr.com,56_5_www.flickr.com,56_6_www.flickr.com,56_7_www.flickr.com,56_8_www.flickr.com,56_9_www.flickr.com,56_10_www.flickr.com
1,-48.0,67.0,-48.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0
2,1680.7,696.2800000000001,347.0,803.3800000000001,2324.08,1831.4799999999987,426.56000000000034,2294.48,2055.24,2074.360000000002
3,4681.079999999998,6641.920000000001,5449.0,3179.2000000000003,5286.16,4300.959999999997,5274.32,5220.84,5248.92,15639.360000000006
4,6454.62,10001.200000000008,7272.0,8032.9400000000005,8891.84,9087.94,11785.8,9127.039999999999,14093.960000000001,72752.54000000001
5,13328.92,66669.16000000003,13101.0,17416.879999999997,19538.39999999999,19532.399999999994,81775.04,42355.440000000024,85931.68000000001,99401.2
6,29263.000000000022,80769.4,87481.0,64438.6,92930.4,93300.1,86129.4,88513.40000000001,88394.4,103454.80000000003
7,89164.64,93317.76,95140.0,95873.28,96078.48,93606.31999999999,93105.40000000001,92545.07999999999,93699.44,109735.04
8,91091.28,98848.16,95442.0,98706.66,99270.24,99192.34,98128.84,95740.36,96444.08,185318.2
9,93032.08,101651.16000000002,101367.0,101312.88,101939.36,102120.96,100808.72,98656.84,98510.36,464145.60000000003
10,96490.22,103073.64,102047.0,104399.94,103762.51999999993,102526.31999999996,106152.44,101367.28,104981.16,561972.7999999999
11,97775.40000000001,106125.8,105377.0,104218.2,104699.2,108045.8,106221.8,104337.8,106826.6,721687.4
12,104417.76,108867.92,107403.0,112176.26,111081.52,111047.42,111511.04,107256.12,144611.59999999998,744332.8
13,105273.48,112247.56,111513.0,122609.08,111437.56000000001,111587.96,116887.8,117710.76,251290.52,912378.32
14,108837.78,122659.36,117825.0,121595.8,138910.08000000002,124766.98,144917.80000000002,236169.44000000015,266989.9199999999,982707.6000000001
15,113103.56,121721.8,218899.0,194788.19999999998,138812.84,124464.24,172055.08000000002,414038.32,284691.88,1053296.16
16,125066.2,204349.80000000002,295871.0,305580.8,209336.1999999998,207657.6999999999,245136.59999999974,546988.0000000002,284497.99999999994,1161146.4000000006
17,125488.96,310363.7200000001,411629.0,412347.56,339912.48,294944.44,322623.12,582835.64,390875.75999999966,1252636.8800000001
18,155808.19999999992,424910.04000000004,493547.0,549944.5599999997,434713.1999999999,388794.56,390378.84000000014,617103.28,503597.32,1380834.4
19,226863.87999999986,548957.7600000006,561864.0,691947.4400000001,544162.32,429944.2,466269.88,624080.0,549864.2799999999,1542772.5999999999
20,321118.12000000005,684224.6,599527.0,757492.32,702615.6,504002.75999999995,500423.6400000001,726877.32,652227.8399999997,1734736.8
