index,60_1_www.microsoft.com,60_2_www.microsoft.com,60_3_www.microsoft.com,60_4_www.microsoft.com,60_5_www.microsoft.com,60_6_www.microsoft.com,60_7_www.microsoft.com,60_8_www.microsoft.com,60_9_www.microsoft.com,60_10_www.microsoft.com
1,67.0,-48.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0
2,1174.68,2089.64,1489.8799999999994,1529.0200000000002,1856.8400000000001,1488.92,1524.56,4785.22,1495.9600000000012,1769.12
3,4449.72,2721.12,7497.719999999999,4731.88,4731.719999999999,4768.56,4834.08,17773.079999999998,6950.04,4621.28
4,14679.44,7199.140000000001,8863.96,8081.380000000001,7975.6799999999985,8046.6399999999985,8498.400000000001,40950.340000000004,18678.039999999997,12726.039999999999
5,24000.159999999996,15445.08,12903.52,21258.920000000002,21320.640000000003,19965.72,21915.679999999997,56266.52,24529.92,16822.52
6,39799.8,27412.7,17289.00000000001,30956.8,27729.2,25992.0,23732.6,160072.00000000003,24020.2,23480.8
7,42759.44,30713.16,25221.84,31331.120000000003,32971.76,23362.44,27461.56,260124.63999999998,28408.44,20976.04
8,61175.28,36663.42,27845.199999999983,35839.759999999966,42881.96,29517.24,76990.79999999999,274944.1,91420.52,26814.48
9,68918.47999999997,69188.40000000001,32193.96,169636.27999999997,168511.3600000001,90578.56,199219.36,304535.28,159364.64,127709.0
10,194104.64,174002.2,42351.40000000001,256698.36,257023.04,245725.31999999998,257758.96000000002,314107.34,255734.44,224061.8
11,251391.6,245319.40000000002,122899.40000000004,263535.8,263639.4,261776.2,264127.2,314119.2,261755.19999999998,253027.8
12,262184.19999999995,254759.72,245466.51999999984,273538.2,272384.68,269723.44,273581.44,310857.64,269216.2,259358.8
13,281181.84,260650.44,262726.24,278799.12,278980.24,278169.32,278813.12,307995.88,276056.4,269458.4
14,299440.96,269317.12,269646.8,295407.88,296343.48,298612.44,284787.64,333145.69999999995,284678.56,273357.60000000003
15,336552.96,275027.36,278225.32,307958.64,308738.8,318167.0,304785.2,443309.44,292175.12,298086.84
16,337160.8,299242.10000000003,286438.2,318418.0,326170.0,363563.0,315966.0,550815.0,319530.2,315498.4
17,335150.4,317841.80000000005,293193.48,338658.84,371627.24,373538.08,361614.56,781056.7999999999,348731.1600000001,354849.32
18,333103.8,361390.8,312752.32,381727.58,397508.64,379220.4,381363.24,935834.2,351397.32,397149.64
19,331148.24,385367.36000000004,362627.84,435097.92,401713.16000000003,387648.24,438499.28,1092004.8,350934.96,403190.68
20,329467.04,397507.32,377310.5200000001,435765.06,411649.84,391971.39999999997,441343.27999999997,1154094.18,348990.96,411558.76
21,327601.6,403427.4000000001,384925.4,433830.4,411906.6,419959.80000000005,442133.8,1179653.4,348477.8,422088.6
22,334091.84,401611.92,383327.2,432139.78,410192.56,456967.88,440162.56,1198238.62,346677.68,446485.72
23,356418.23999999964,415459.32,381504.44,430241.92,408302.76,465038.64,438394.96,1208457.56,379983.68,449113.31999999995
24,463967.8800000003,414200.96,379926.16,458971.3999999996,419846.60000000003,469708.96,437153.88,1278418.9199999997,420153.64,520131.8400000001
25,486795.88,412588.92,378230.76,607763.2799999998,458785.56,527515.7200000001,455068.08,1350147.1199999999,480363.2,551904.64
26,531976.0,411518.0,379481.0,710319.0,543671.0,632407.0,491837.0,1388958.5,588237.0,575455.0
27,616412.6799999999,409458.04,434311.08000000013,859360.1600000003,639389.3200000002,661379.32,570727.28,1393831.5999999999,717935.96,606309.52
28,716642.36,425879.8,477474.00000000006,1024930.2399999999,717443.5200000003,750903.52,633745.84,1421765.46,827323.7200000001,625040.3599999999
29,819745.0399999999,453555.60000000003,507706.7199999999,1151979.44,815573.6,788990.28,706261.9199999999,1429269.4,907454.6,700749.64
30,974891.3600000002,594092.36,601523.1199999999,1154944.26,910999.0400000005,839437.9199999999,792707.08,1436006.46,977130.4400000002,819955.8399999997
31,1089933.6,688931.0000000001,673268.3999999999,1180304.7999999998,1007820.2000000001,973844.3999999999,899820.2,1467989.6,1052267.8000000003,827583.4
32,1160112.56,806922.8,791772.6,1181573.8800000001,1088481.2,1101200.8800000004,978955.7999999999,1481740.6,1152340.64,834167.64
33,1182091.48,919618.6000000001,912867.6399999999,1187193.8,1153221.04,1162144.24,1065480.44,1488766.52,1178026.72,909539.7200000001
34,1187023.32,1041492.7200000001,938845.48,1197421.92,1156556.24,1187041.24,1134676.1199999996,1528315.08,1179106.64,997326.6800000005
35,1190235.84,1141361.5599999998,1073488.64,1213721.96,1182662.76,1189051.04,1158471.84,1568757.88,1185994.2,1074956.92
36,1200484.0,1159512.2000000002,1155965.8,1239198.6,1188837.2,1192330.6,1168583.6,1615170.7,1190346.6,1141831.0
37,1211269.76,1162735.16,1158922.92,1257325.92,1191960.24,1198282.68,1190281.84,1622091.48,1197111.56,1172986.7999999998
38,1229675.24,1185109.1,1172645.5199999998,1270145.5199999993,1209006.52,1217834.36,1197695.56,1625418.22,1208131.9600000002,1184463.08
39,1230573.16,1189585.4000000001,1187369.44,1366014.5999999999,1215795.68,1222108.7999999998,1208650.52,1634588.4,1218215.48,1195551.72
40,1238305.8399999999,1203322.1,1205920.4,1392238.7999999998,1226125.44,1234683.6,1219111.56,1628390.76,1223017.6,1201719.84
41,1288513.4,1208915.0,1228816.8,1411278.2,1235149.200000001,1247867.6,1238579.6,1643130.0,1310607.9999999998,1211811.5999999999
42,1376977.64,1220841.1400000001,1234765.64,1419067.16,1353593.6,1290096.92,1244754.96,1660544.92,1358840.2000000002,1241056.16
43,1396250.84,1225504.16,1251216.2,1423223.08,1385140.12,1391554.76,1254278.48,1670145.24,1386793.28,1255728.72
44,1398561.76,1252402.74,1272631.12,1426055.22,1408153.92,1413992.16,1278364.0799999998,1786789.76,1406818.44,1257662.88
45,1403111.68,1325347.8400000003,1337004.5199999993,1437855.7999999998,1410058.64,1415763.72,1374824.2,1798369.8,1412702.16,1333480.7199999995
46,1422823.6,1387520.3,1355625.4000000001,1442735.2,1418356.8,1424361.4,1414714.1999999997,1807652.4,1416646.4,1397602.6
47,1429597.8,1406634.8,1388578.0399999998,1471817.56,1422308.72,1428279.52,1418083.68,1811668.6,1420124.92,1404142.92
48,1435416.84,1411961.26,1401265.84,1482235.94,1428155.8,1433780.56,1421877.48,1816611.96,1432145.68,1408049.16
49,1439506.92,1418728.04,1409059.24,1484066.28,1433229.44,1437726.1199999999,1428999.6,1821084.64,1448624.16,1415319.76
50,1452789.8,1422122.36,1411119.52,1483997.64,1436310.28,1475131.92,1466056.9599999997,1819897.68,1476231.44,1418930.28
