index,66_1_www.nytimes.com,66_2_www.nytimes.com,66_3_www.nytimes.com,66_4_www.nytimes.com,66_5_www.nytimes.com,66_6_www.nytimes.com,66_7_www.nytimes.com,66_8_www.nytimes.com,66_9_www.nytimes.com,66_10_www.nytimes.com
1,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,-442.0
2,140265.40000000002,195312.28,154478.9,156696.92,60736.04,158336.2,134544.16,155025.2,151052.08,156226.3
3,241578.24,322352.52,245774.8,329834.8800000001,200611.24,281874.99999999994,266644.68,234240.32,249699.24,265823.2
4,540773.24,564777.68,592324.3999999999,723738.64,483315.51999999996,639343.0,717332.9199999998,352207.44,515531.8,515336.8000000001
5,845449.4,1056342.24,976370.3999999999,989016.68,982979.7200000001,995726.4,981697.48,906961.9200000002,980335.4,915493.6
6,985664.6,1093354.4,1022568.0,1084383.6,1023820.2,1037710.0,1021608.3,1001326.6,1021581.8,992736.5
7,1110036.1600000001,1168440.48,1345510.9999999993,1136206.08,1057295.6,1072059.0,1089988.0,1045846.76,1133389.12,1031635.2
8,1465251.2000000002,1285749.5599999998,2019273.5999999999,1396405.36,1535951.16,1422734.2,1408464.6,1082632.6400000001,1493758.2,1103912.1
9,1882337.8,1879343.8,2423102.0,2042896.6400000001,2102004.44,1705480.5999999996,1890267.48,1386127.9200000009,1800757.4399999997,1235780.4
10,2389983.4,2350061.52,2826269.4,2659893.12,2417196.04,2302337.1999999997,2573512.08,1777324.2,2220443.0399999996,1475687.7
11,2864800.0,2831844.0,3330103.0,3230722.4000000004,2942088.4000000004,2821181.0,2961141.6,1884417.4,2796248.0,1787958.0
12,3393737.6,3572918.84,3636444.5,3733863.6,3249368.48,3116124.0,3318517.1,2430432.08,3315148.92,2132559.0
13,3998499.52,3943929.2,4284879.0,4215176.16,3774607.56,3696855.0,3784152.239999999,2785999.72,3987835.359999999,2491062.8000000007
14,4349036.24,4533355.92,4661690.5,4788822.44,4491073.84,4352225.399999998,4471126.520000001,3181641.1200000015,4790250.8,2953574.8000000003
15,4828289.32,4883520.959999999,5254346.0,5357511.32,5207347.28,4962961.0,5089802.92,3815740.3600000027,5467578.879999999,3528877.7999999993
16,5064297.8,5470788.800000001,5864174.0,5968453.600000001,6000719.600000001,5264746.0,6029487.600000002,4499243.0,6412706.399999999,3929301.0
17,5657341.6,6257730.16,6512527.599999999,6412340.32,6690875.5200000005,5563051.8,6896292.44,5156424.08,7332816.3999999985,4346524.0
18,6349362.56,7039509.2,7078928.3999999985,6985324.960000001,7399018.960000001,6455888.399999999,7366054.68,5882895.5600000005,8276778.4,4941393.4
19,7013312.239999999,7788089.8,7733447.0,7546504.5200000005,8025144.8,7352851.399999998,8011544.16,6723243.32,9255733.04,5430550.600000002
20,7562024.08,8502861.68,8465564.0,8218747.360000002,8751226.96,8218261.0,8676500.2,7422727.720000001,10026530.319999997,6120268.5
21,8073970.4,9238460.599999998,9224899.0,8882649.000000002,9246522.0,9017919.0,9208071.8,8011835.0,10659345.599999998,6987548.0
22,8520147.280000001,9994478.6,9921942.599999998,9472767.480000002,9599331.480000002,9665831.399999999,9909299.16,8658021.8,11271566.92,7642124.200000001
23,9206703.2,10671958.56,10561308.2,10126773.680000003,9985520.08,10086544.599999998,10553983.6,9338866.6,11843615.12,8149829.200000001
24,9936389.84,11570724.719999999,11102319.799999999,10796468.8,10517317.040000001,10598855.8,11349371.520000001,9875737.4,12578432.439999996,8798528.9
25,10679042.4,12232737.4,11824184.599999998,11293942.4,11106798.32,11150679.4,12081182.959999997,10489910.76,13499011.719999999,9330912.000000002
26,11397906.0,13203203.0,12425902.0,11944562.0,11587275.0,11805228.0,12829736.0,11097498.0,14374679.0,9870478.0
27,11945032.08,13990363.4,13313566.599999998,12775200.28,12214536.88,12285617.399999999,13693641.600000001,11604635.240000004,14450656.08,10435239.0
28,12676860.64,14513053.2,14119083.9,13625899.76,12802811.36,12743321.799999999,14415688.600000001,12398629.240000002,14524967.36,10964167.000000002
29,13170831.8,14536868.76,14410549.6,14206983.32,13518805.36,13117132.6,14448374.04,13242665.88,14868886.52,11488251.0
30,13611952.12,14678778.64,14511241.9,14536085.2,14063292.08,13553723.6,14507182.04,13917010.960000005,14877014.48,11999944.100000001
31,13976527.6,14907598.4,14805689.0,14572170.0,14467328.4,14054139.0,14520260.8,14269310.400000004,14884447.0,12672955.0
32,14258213.32,15074910.36,14861008.2,14908191.12,14541163.12,14600611.2,14818437.72,14439292.84,14907970.48,13474759.9
33,14508139.36,15363811.88,15033100.8,14937103.48,14561309.8,14761864.599999998,14915974.68,14558913.48,14938243.2,14312970.400000002
34,14601447.56,15441086.479999999,15085781.3,14957360.12,14830992.56,15010498.4,14927254.4,14584882.8,15111545.72,14452039.0
35,14870984.08,15472010.32,15100073.6,14973158.32,14912739.2,15374358.2,14963819.04,14777619.92,15409620.84,14749951.6
36,14890540.6,15498241.2,15142184.0,15007488.2,14973620.6,15416486.0,15042231.4,14938555.200000001,15476379.8,14783619.0
37,15132780.08,15656175.72,15206097.8,15278564.44,15039308.6,15530831.4,15188032.96,15085336.44,15488955.36,14848131.4
38,15350789.200000001,15722243.96,15317335.0,15410528.040000001,15202806.04,15541214.6,15269977.06,15138295.92,15498705.44,14853959.4
39,15354343.88,15784902.04,15521664.6,15612680.28,15508460.24,15572724.4,15274105.08,15147574.64,15520167.4,14867461.8
40,15396455.88,15836949.68,15557781.299999999,15666667.4,15598156.52,15605097.2,15340215.76,15186603.52,15526710.68,14967144.1
41,15417466.399999999,15846929.6,15675838.0,15737150.8,15612096.6,15722787.0,15350664.2,15215456.6,15538483.8,14958943.0
42,15434062.2,15946767.92,15725836.8,15751420.44,15727974.68,15744547.2,15629670.34,15508289.48,15551954.36,14994814.7
43,15482086.68,15978213.36,15747771.2,15763255.84,15737406.16,15747180.6,15653518.4,15513272.72,15817583.68,15171051.2
44,15510212.88,15988743.040000001,15758867.700000001,15821785.56,15757276.4,15805872.6,15751296.42,15528205.72,15886880.08,15455873.4
45,15522139.08,16008698.68,15780198.4,15864837.48,15771129.04,15843776.0,15769595.04,15565012.64,16359681.079999998,15512037.2
46,15526532.0,16100969.4,15864928.5,15889694.4,15839666.0,15880786.0,15776634.4,15584586.4,17292606.2,15537644.0
47,15543238.32,16116524.08,15874079.2,15900136.44,15893837.56,15899794.8,15825097.64,15597444.84,18291006.56,15547132.2
48,15549072.84,16118121.0,15895326.8,16151435.360000007,15895905.96,16254319.999999993,15879354.78,15607007.52,19246258.159999996,15558820.0
49,15554998.48,16412892.16,16003482.6,16586121.16,16143227.24,16585765.4,15887403.52,15616894.08,19810773.36,15574161.6
50,15562806.52,16807760.72,16007101.4,16585648.48,16580387.68,16596168.999999998,15945132.82,15626568.84,19830753.16,15579256.8
