index,77_1_www.blogger.com,77_2_www.blogger.com,77_3_www.blogger.com,77_4_www.blogger.com,77_5_www.blogger.com,77_6_www.blogger.com,77_7_www.blogger.com,77_8_www.blogger.com,77_9_www.blogger.com,77_10_www.blogger.com
1,67.0,67.0,-48.0,-48.0,67.0,67.0,-442.0,67.0,-442.0,67.0
2,454.24,1771.5,1598.56,-472.8000000000001,1651.6,-342.5200000000001,1328.8999999999999,1530.8,1437.92,1612.3999999999999
3,1901.08,3045.7999999999997,1124.9199999999983,1330.2,3216.24,1437.28,3104.2000000000003,3109.4,2875.84,3192.56
4,3361.12,5458.800000000001,2682.48,3136.7000000000003,4658.279999999999,3240.78,3130.999999999994,4782.6,4321.76,5449.32
5,4829.16,7353.8,4833.0,5114.2,4828.599999999999,5387.799999999999,4804.0,7245.600000000001,6899.639999999999,4854.88
6,7331.8,9073.0,6436.999999999996,4927.5,7181.4,5902.100000000005,7109.5,8551.0,8725.6,7514.8
7,9116.760000000002,10626.6,7525.759999999998,7037.400000000012,8489.6,7152.560000000009,8617.6,44453.9999999999,9982.4,9105.72
8,10811.28,13958.1,8410.120000000003,8409.00000000001,11883.76,8488.400000000007,8679.699999999999,88619.4,12077.319999999998,11961.72
9,14429.12,73752.39999999998,12223.56,11594.6,41018.72000000001,12281.36,11504.6,89921.8,16524.76,64381.240000000005
10,17400.44,91021.4,55663.23999999998,50100.20000000001,87153.56,80291.44,57435.39999999998,91377.2,19528.440000000006,87295.36
11,20726.2,92582.0,86711.8,86222.0,88606.8,89085.6,86390.0,92959.0,86113.80000000019,88963.2
12,93969.48,93839.9,88346.84,87646.3,90024.28,89395.36000000002,88088.7,91012.40000000001,96475.28,90378.92
13,96924.48,95329.40000000001,90138.88,89426.2,91618.72,90099.76,89467.8,89089.2,97441.16000000002,92077.52
14,98430.44,93146.7,91512.12,90826.3,91943.96,91627.82,91227.8,92273.2,97749.84000000003,93659.56
15,99974.32,91504.8,93225.84,92285.4,92271.76,90018.96,90700.2,96173.79999999996,98799.96,92120.44
16,101644.6,92831.5,92371.8,91275.5,90989.2,88852.1,92221.5,100766.0,100485.6,93850.4
17,100602.88,98622.6,94383.64,89891.6,91971.28,89964.84,91126.2,103324.19999999997,101525.68,94897.48
18,98717.56,101040.2,92923.36,91164.7,96243.36,92147.98,89851.6,104862.59999999999,102578.64,101161.04
19,99851.23999999999,105495.8,91496.44,95356.2,98212.64,96517.48,91110.2,107050.2,102945.24000000003,101097.36
20,103804.56,107262.1,94263.23999999998,97391.59999999999,100489.12,99117.44,93136.4,112301.6,105564.48,101202.11999999998
21,105464.8,112324.0,95011.40000000001,99432.0,100200.40000000001,100545.4,94997.0,109095.0,107869.40000000001,102116.8
22,107146.64,115594.1,98127.15999999997,101163.4,103471.76,101921.78,99125.59999999999,145431.99999999997,109315.32,103358.52
23,108999.88,117340.20000000001,103026.32,102263.80000000003,105108.64,103445.28,101358.8,188361.6,110898.04,105564.76
24,113197.92,124263.2,102647.52,102048.59999999999,107080.23999999999,105166.28,101168.7,205140.6,112506.51999999999,107711.68
25,113213.80000000002,121353.39999999998,104883.76,103814.59999999999,109042.95999999999,107590.04000000004,102921.59999999999,209427.99999999997,114613.28,109005.92
26,116252.0,160508.0,107141.0,107170.0,107850.0,107939.0,104548.0,214699.0,116696.0,116227.0
27,115114.15999999999,216602.6,109223.84,104081.4,119230.04,106379.20000000003,108272.6,213994.6,119730.48,115968.28
28,175790.2399999998,218912.19999999998,110535.48,122424.30000000006,118665.68,168734.31999999998,106020.3,215990.4,118903.4,113118.92
29,210098.28,218709.6,114003.52,154389.20000000027,117953.36,200590.92,108684.99999999997,249478.39999999982,119621.04,112425.24
30,211585.04,220331.1,113183.20000000001,185679.4,117044.40000000001,202109.14,145550.99999999994,296963.7999999996,119588.12,127816.12000000001
31,213536.19999999998,236942.0,111258.4,185374.0,115745.59999999999,204450.2,153768.0,333555.0,136071.60000000003,172394.2
32,215730.44,259203.59999999945,158851.91999999993,196221.80000000008,142319.31999999998,205956.62,183335.59999999998,336266.2,155102.20000000004,184156.6
33,216157.12,347008.2,205661.44,209557.0000000001,190709.80000000002,207632.08,202807.6,343886.4,170113.20000000004,224414.2
34,220438.59999999998,347379.3,207404.92,229148.20000000004,228725.96000000002,211130.32,204412.8,343819.60000000003,231357.04000000007,257489.16000000003
35,229122.76,349852.19999999995,208778.16,257976.60000000038,268663.08,210771.96,208055.6,362374.7999999999,257620.48,325011.8800000002
36,228857.4,355494.5,209842.0,310447.0,295643.8,210579.7,207788.0,367542.0,257361.2,333043.8
37,228220.96000000002,372615.4,211755.16,328098.4,335376.68,227309.88,206937.8,370644.4,257652.08000000002,333298.92
38,275029.0800000001,375371.0,211281.04,331948.2,336738.76,256719.0400000003,241905.3,370930.99999999994,254972.28,334819.2
39,307812.12,376673.39999999997,211197.08,333940.2,336804.44,307659.60000000003,264363.7999999999,377136.4,298136.6800000001,336406.64
40,347629.47999999986,377658.1,249388.76,334360.4,338640.88,333556.88000000006,288725.7,379493.6,349561.04,336011.12
41,353432.4,381789.0,291435.4,334727.0,339034.2,335420.4,333256.0,378265.0,351208.39999999997,339297.4
42,357812.48,383885.9,291831.36,334557.89999999997,341465.76,335411.74,333661.4,384699.8,352738.72,340627.68
43,361058.12,386083.19999999995,310776.83999999985,340937.6,360148.56,337163.08,334008.8,384888.6,357243.24,344562.19999999995
44,377620.6,389584.9,336684.27999999997,342023.2,362748.88,336937.77999999997,337288.6,389641.19999999995,359433.96,362493.56
45,378618.92,389708.6,339548.68,359773.4,363479.72000000003,340321.48,340331.4,390089.4,377114.36,363773.28
46,379899.4,392153.0,340434.2,360111.5,365637.19999999995,358587.7,342836.0,390585.0,378174.2,365329.8
47,382783.44,394035.4,344429.19999999995,361738.8,368422.84,360869.56,361176.99999999994,394714.2,379858.28,367749.32
48,382522.12,396128.0,361328.08,363307.7,368575.12,363101.94,361895.3,396614.99999999994,382321.8,367527.6
49,386536.24,398091.7999999999,363222.08,365521.19999999995,371571.16,363692.60000000003,363624.2,397315.8,381099.6400000001,368752.76
50,388132.24,398875.1,367112.16,365369.8,371381.84,367739.96,366835.8,400098.2,382746.56,371959.04
