index,306_1_www.sueddeutsche.de,306_2_www.sueddeutsche.de,306_3_www.sueddeutsche.de,306_4_www.sueddeutsche.de,306_5_www.sueddeutsche.de,306_6_www.sueddeutsche.de,306_7_www.sueddeutsche.de,306_8_www.sueddeutsche.de,306_9_www.sueddeutsche.de,306_10_www.sueddeutsche.de,307_1_www.sueddeutsche.de,307_2_www.sueddeutsche.de,307_3_www.sueddeutsche.de,307_4_www.sueddeutsche.de,307_5_www.sueddeutsche.de,307_6_www.sueddeutsche.de,307_7_www.sueddeutsche.de,307_8_www.sueddeutsche.de,307_9_www.sueddeutsche.de,307_10_www.sueddeutsche.de,308_1_www.sueddeutsche.de,308_2_www.sueddeutsche.de,308_3_www.sueddeutsche.de,308_4_www.sueddeutsche.de,308_5_www.sueddeutsche.de,308_6_www.sueddeutsche.de,308_7_www.sueddeutsche.de,308_8_www.sueddeutsche.de,308_9_www.sueddeutsche.de,308_10_www.sueddeutsche.de,309_1_www.sueddeutsche.de,309_2_www.sueddeutsche.de,309_3_www.sueddeutsche.de,309_4_www.sueddeutsche.de,309_5_www.sueddeutsche.de,309_6_www.sueddeutsche.de,309_7_www.sueddeutsche.de,309_8_www.sueddeutsche.de,309_9_www.sueddeutsche.de,309_10_www.sueddeutsche.de
1,67.0,-442.0,-442.0,-113.0,-442.0,-442.0,-113.0,-442.0,403.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0,-122.0,-442.0,-442.0,-113.0,290.0,-442.0,-113.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0,0.0,-442.0,67.0,290.0
2,85718.00000000007,57372.659999999996,40654.600000000006,47983.6,18415.52,18753.5,34971.100000000006,37789.12,75231.31999999999,18836.52,44142.14,16513.76,33228.71999999998,18618.920000000002,45141.56,20559.399999999994,54897.999999999956,78622.11999999998,45431.0,59731.5,90775.64000000001,94788.08000000003,66181.96000000002,50307.42,53198.5,151185.2799999999,50310.6,52632.8,58340.56,85924.48000000001,92339.79999999996,79652.11999999994,76435.95999999995,57526.20000000001,89493.1,42011.44,53841.82,28749.48,45352.839999999946,54499.960000000014
3,284825.60000000003,202251.64000000004,179360.36000000004,196007.19999999995,116281.28,74852.2,169261.92,170499.35999999993,296842.04,86240.11999999994,308603.76,178462.91999999995,252677.0,203856.8,268365.4,281514.32,351829.2,307916.48,293999.0,281761.8,261336.00000000003,285801.2,292329.44,251582.72,265730.0,361711.8,289385.6,263951.6,319927.2799999999,267822.72,269260.6,410466.0399999999,268474.08,342548.80000000005,263253.8,203014.0,212883.76,143356.80000000002,151198.4,265264.8
4,378055.6,345671.42,404061.64,366993.0,338972.72,196970.50000000003,332263.3,358392.84,514720.44000000006,286348.32,319680.86,376080.68,374006.86,322695.24000000005,445082.44,378585.94,378709.4,421525.78,447973.5,544960.88,621920.8,673419.5800000001,672524.2,505770.0,646558.5,740207.06,627799.6,506828.0999999992,624690.3999999999,654345.36,707026.6,605171.52,627813.42,602439.5599999999,614263.2000000001,413761.32,348771.56,242127.28000000006,283238.0,550367.24
5,645619.52,676578.4,598412.12,460655.99999999994,544833.92,350448.0,472409.52,559207.8799999999,698704.4,386309.36,430666.76,497404.04,391423.51999999996,378100.92,525767.96,566669.48,620798.0,700407.4,585834.0,606065.08,766548.12,765683.68,768249.72,758476.04,764584.0,775659.04,763370.6,760428.8,771850.04,769065.52,729413.8,722770.2799999999,725197.04,716254.16,721473.6,612559.2,654355.92,296582.60000000003,461488.32,659647.28
6,902680.4,788080.0,677935.5,691915.0,653280.1,391128.5,646707.5,726830.1999999997,799029.8,586298.6,722895.9000000001,590417.2,619177.8,504029.0,644363.4,650903.2,840347.0,717419.6,628883.0,656821.7,782683.2000000001,806165.4,803921.0,775124.9,784276.5,861812.1,777112.0,772878.5,799815.0,784399.2,866182.5,765525.7999999999,770146.2,734608.6,740420.5,717942.6,731754.8,347644.6,492677.99999999994,773267.8
7,925780.04,923587.92,849177.2000000001,911673.6,796072.08,488752.6000000004,781110.76,803739.72,851288.12,648868.96,906697.6000000001,644004.8799999999,859743.3599999998,625223.8,801612.76,826390.72,898009.4,850014.12,847222.0,920775.12,825907.84,859389.24,978679.36,819162.8,962581.0,888151.92,915563.3999999996,803473.9999999999,933432.4400000001,912943.8,882723.1999999998,929513.16,928310.28,854649.9200000007,910620.2,740155.6,776200.4400000001,392944.48,644963.08,929199.5599999999
8,977766.28,944664.58,925823.86,935960.8,914758.46,662782.5,805793.7000000001,925834.7999999999,954263.64,801406.1599999999,1056990.84,915379.32,915524.3,826068.6400000004,1048931.8800000001,927634.38,1059136.9999999998,1020831.7000000001,902334.5,937644.46,984370.46,950289.32,1003900.56,975324.74,980111.5,972353.38,938452.8,977125.6,1003431.32,986783.72,930911.9,949808.7999999999,974765.42,931234.32,944438.8,802047.72,869324.62,462099.6,701558.4,968428.0399999999
9,1058437.36,985420.92,943745.5599999999,968833.9999999999,929242.88,860137.8000000002,886426.04,940967.56,983090.3600000003,917075.12,1107624.44,928031.08,933533.6,911503.68,1059960.68,959251.92,1244004.3999999997,1262336.24,937587.0,983793.4,1014040.68,1037021.4,1140002.4,994042.92,1063147.0,1030127.4,959229.6,990944.2,1085173.92,1024008.8,1039672.3999999999,1066680.2,1056085.28,991086.1600000005,1009965.4,891575.64,924856.8400000005,561260.2000000001,835722.6399999997,1058392.32
10,1125536.84,1106080.3,979229.98,1071948.8,954058.8,922371.4,938314.7999999999,973005.2,1079172.36,930492.44,1190917.94,966905.5599999999,1067024.24,921444.52,1106906.44,1168015.76,1264282.8,1332326.88,1038874.0,1254227.18,1024688.36,1088074.8,1156587.08,1052541.4000000001,1105290.5,1068966.56,987383.4,1053382.3,1112820.16,1087733.44,1096682.8,1114399.72,1121380.04,1055006.4,1067814.6,961286.4400000001,1018374.38,617348.1599999999,906925.8799999999,1112167.76
11,1194992.8,1143927.8,1077570.6,1126804.0,1010102.0,939174.0,1011938.0,1031463.1999999998,1141127.2,944402.6,1243775.0,1145379.2,1273225.6,957301.2,1257146.6,1230637.2,1400498.0,1555962.3999999994,1262519.0,1278657.6,1064959.6,1131578.4,1213845.2,1084490.2,1132241.0,1110809.8,1059560.0,1056744.0,1174549.0,1146311.2,1139952.0,1121564.0,1157261.6,1081472.0,1120789.0,1027076.7999999999,1142838.2000000002,676209.6,1037069.8,1162333.0
12,1224670.24,1211945.68,1108914.7,1189848.2,1105968.64,965667.1,1074001.34,1098439.44,1216593.96,973924.2,1421000.02,1227985.96,1287145.54,1076764.04,1271292.04,1261740.54,1620272.6,1620532.14,1281098.5,1473574.92,1108283.9800000002,1148618.46,1220332.92,1111048.18,1174376.0,1169554.2399999998,1110808.2,1067756.7999999998,1219887.8,1178047.64,1203552.0,1169858.0399999998,1193336.42,1149446.64,1165256.3,1096474.92,1159719.94,704464.8,1067149.72,1186509.48
13,1261401.44,1229002.56,1147390.36,1207756.6,1115358.5599999998,1021745.2,1100734.52,1138526.92,1250913.48,1019751.12,1494463.48,1304842.12,1449386.92,1243154.48,1372568.24,1451482.56,1658226.8,1643693.36,1379871.0,1605992.04,1113680.48,1214596.2,1266335.08,1192143.84,1210929.0,1226820.28,1134189.0,1117616.9999999998,1247799.1199999999,1226841.2,1208133.8,1199715.6,1207625.3199999998,1158687.4000000001,1189357.6,1113811.36,1184136.9200000002,775799.6000000001,1101032.96,1295019.16
14,1302971.04,1301433.56,1194816.98,1255531.2,1147639.98,1054384.8,1132539.08,1164880.16,1328977.12,1044971.18,1644741.4000000001,1502264.44,1563885.24,1287928.08,1573827.2,1582659.46,1725296.2,1675970.16,1540655.0,1713031.48,1180925.22,1241235.1600000013,1282655.92,1206192.94,1238701.5,1248125.62,1155777.0,1211271.1,1342040.0799999996,1246089.0,1310273.9999999998,1291740.16,1302294.44,1195120.4800000002,1220642.3,1124444.48,1232672.58,892652.2000000001,1173726.52,1337866.36
15,1321978.8800000001,1372953.32,1240545.08,1322547.3999999997,1204721.16,1074075.8,1212368.24,1215454.68,1355200.04,1103447.4,1687700.04,1645016.64,1647561.76,1447828.44,1600659.84,1648067.68,1759117.4000000001,1734895.48,1692674.0,1815636.92,1230843.52,1341531.36,1360216.08,1241822.96,1326833.0,1291681.4,1318910.8,1205680.0,1363054.44,1334452.24,1327033.6,1308598.28,1323571.68,1217653.48,1304715.6,1180191.84,1267215.6,997599.24,1196787.84,1400136.36
16,1366848.5999999999,1381800.8,1292674.7,1348151.0,1216307.1,1087760.5,1231972.4000000001,1235235.7999999998,1399370.0000000002,1151750.1,1720150.0999999999,1688770.4,1691262.6,1576873.3,1672159.4,1704079.8,1787503.0,1881095.0,1693573.0,1826546.3,1335224.2999999998,1379474.1,1380009.2,1306451.9,1352047.0,1329156.5,1367503.0,1290894.0,1413349.9999999998,1350344.0,1391264.0,1347648.2,1334733.1,1293555.6,1319100.5,1189658.4,1272774.5,1038149.6000000007,1260050.4,1431373.4
17,1391708.2000000002,1420088.92,1369511.8,1392901.0,1256859.68,1168460.4,1242796.56,1273221.9599999997,1474387.88,1189459.5599999998,1772767.24,1744567.04,1724859.44,1613595.68,1705082.24,1714017.4,1840053.4,1894759.5199999998,1726126.0,1877755.4,1388485.08,1424404.08,1421932.04,1336171.52,1377681.0,1453275.08,1395345.4,1340185.2,1474366.6,1389986.44,1425066.4,1391079.2,1376478.96,1311644.4,1342720.8,1267412.0,1313866.16,1101956.24,1315179.24,1440222.84
